node_id,x_coord,y_coord,zone_id,geometry
6302,-151.595436,63.744066,6302.0,POINT (-151.595436 63.744066)
36495,-122.75077,48.998103,,POINT (-122.75077 48.998103)
33076,-117.59253,33.39638,,POINT (-117.59253 33.39638)
33075,-117.58411,33.38702,,POINT (-117.58411 33.38702)
33078,-117.65775,33.50287,,POINT (-117.65775 33.50287)
33077,-117.66814,33.46663,,POINT (-117.66814 33.46663)
33080,-117.66383,33.51816,,POINT (-117.66383 33.51816)
33079,-117.67296,33.54266,,POINT (-117.67296 33.54266)
33074,-117.40472,33.23502,,POINT (-117.40472 33.23502)
33696,-114.024972,28.648772,,POINT (-114.024972 28.648772)
33697,-114.150316,29.224787,,POINT (-114.150316 29.224787)
6407,-113.337754,28.449837,6407.0,POINT (-113.337754 28.449837)
33728,-115.832574,30.368347,,POINT (-115.832574 30.368347)
33729,-115.707229,30.069045,,POINT (-115.707229 30.069045)
33730,-115.288314,30.054927,,POINT (-115.288314 30.054927)
33733,-115.996296,30.708879,,POINT (-115.996296 30.708879)
32894,-115.994202,30.760828,,POINT (-115.994202 30.760828)
33727,-116.304266,31.458259,,POINT (-116.304266 31.458259)
33720,-116.162428,31.252136,,POINT (-116.162428 31.252136)
32895,-115.724304,31.395943,,POINT (-115.724304 31.395943)
6405,-115.278851,30.732647,6405.0,POINT (-115.278851 30.732647)
33333,-115.050774,31.436872,,POINT (-115.050774 31.436872)
33621,-117.057025,32.355514,,POINT (-117.057025 32.355514)
32998,-116.915199,32.231213,,POINT (-116.915199 32.231213)
33713,-117.015743,32.525103,,POINT (-117.015743 32.525103)
33694,-116.747535,32.006088,,POINT (-116.747535 32.006088)
33715,-116.729889,31.915363,,POINT (-116.729889 31.915363)
33716,-116.699775,31.902585,,POINT (-116.699775 31.902585)
33717,-116.611528,31.86465,,POINT (-116.611528 31.86465)
33625,-116.623596,32.029125,,POINT (-116.623596 32.029125)
33718,-116.314161,31.514731,,POINT (-116.314161 31.514731)
33738,-116.494118,31.901861,,POINT (-116.494118 31.901861)
32999,-116.876701,32.099602,,POINT (-116.876701 32.099602)
6401,-116.783189,32.26849,6401.0,POINT (-116.783189 32.26849)
34397,-84.393661,33.79562,,POINT (-84.393661 33.79562)
34401,-84.391184,33.79177,,POINT (-84.391184 33.79177)
34402,-84.389948,33.800308,,POINT (-84.389948 33.800308)
34403,-84.360684,33.818047,,POINT (-84.360684 33.818047)
33984,-84.31925,33.677135,,POINT (-84.31925 33.677135)
34404,-84.245775,33.709976,,POINT (-84.245775 33.709976)
34385,-84.344784,33.745189,,POINT (-84.344784 33.745189)
34405,-84.248889,33.715561,,POINT (-84.248889 33.715561)
34406,-84.275431,33.574434,,POINT (-84.275431 33.574434)
34407,-84.269029,33.557982,,POINT (-84.269029 33.557982)
34408,-84.268204,33.553261,,POINT (-84.268204 33.553261)
34409,-84.276787,33.577591,,POINT (-84.276787 33.577591)
33978,-84.278221,33.580921,,POINT (-84.278221 33.580921)
34410,-84.242464,33.714463,,POINT (-84.242464 33.714463)
34411,-84.238927,33.718784,,POINT (-84.238927 33.718784)
49783,-84.236401,33.713931,,POINT (-84.236401 33.713931)
