name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_FFTT1,VDF_cap1
,0,5565454,1655,533,1,238.5131155,1,,,motorway,1,"LINESTRING (-112.1148898 33.6420933, -112.1149666 33.6422813, -112.1150283 33.6424543, -112.1150871 33.6426574, -112.1151228 33.6428195, -112.1151355 33.6429249, -112.1151465 33.6430133, -112.1151575 33.6431437, -112.1151625 33.6434665, -112.1151462 33.6437758, -112.1151735 33.6442095)",auto,0,1,,
,1,5567209,526,529,1,288.9866487,2,,,motorway,1,"LINESTRING (-112.1159268 33.6346955, -112.1157912 33.6352773, -112.1157605 33.6356867, -112.1157233 33.6360646, -112.1156541 33.6366448, -112.1155806 33.6370543, -112.1155219 33.6372686)",auto,0,1,,
East Deer Valley Road,2,5569117,90071,3084,1,139.0969813,2,,,secondary,4,"LINESTRING (-111.9601649 33.6763071, -111.9602511 33.6763313, -111.9603372 33.6763448, -111.9613958 33.6763433, -111.961528 33.6763431, -111.9616618 33.676343)",auto,0,0,,
,3,5573783,5,3617,1,239.8434692,1,,,motorway,1,"LINESTRING (-112.1154567 33.6442126, -112.1155568 33.6438109, -112.1156093 33.6431796, -112.1156202 33.6429884, -112.1156511 33.6428258, -112.1157045 33.6426299, -112.1157723 33.6424387, -112.1159042 33.6421664, -112.1159399 33.6421097)",auto,0,1,,
,4,5575041,468,748,1,201.5612694,2,,,motorway,1,"LINESTRING (-112.1112736 33.6851721, -112.1115685 33.6854723, -112.1116762 33.6856141, -112.1117857 33.6857745, -112.1119311 33.6860468, -112.1120285 33.686347, -112.112107 33.6868062)",auto,0,1,,
West Bell Road,5,5590847,2062,90097,1,86.67765427,4,64.0,,primary,3,"LINESTRING (-112.0819169 33.6402995, -112.0821322 33.6402985, -112.0827265 33.6402959, -112.0828532 33.6402953)",auto,0,0,,
West Beardsley Road,7,5592814,90037,723,1,119.4759893,3,,,secondary,4,"LINESTRING (-112.0829722 33.6691819, -112.0831005 33.6691772, -112.0837915 33.6691672, -112.083864 33.6691677, -112.084263 33.6691702)",auto,0,0,,
West Union Hills Drive,8,5601438,2851,156,1,107.0184001,2,,,secondary,4,"LINESTRING (-112.0748757 33.6547223, -112.0760318 33.6547077)",auto,1,0,,
West Union Hills Drive,9,5601438,156,2851,1,107.0184001,2,,,secondary,4,"LINESTRING (-112.0760318 33.6547077, -112.0748757 33.6547223)",auto,1,0,,
West Union Hills Drive,10,5601438,156,78,1,149.8085192,2,,,secondary,4,"LINESTRING (-112.0760318 33.6547077, -112.0771483 33.6546955, -112.0776502 33.65469)",auto,1,0,,
West Union Hills Drive,11,5601438,78,156,1,149.8085192,2,,,secondary,4,"LINESTRING (-112.0776502 33.65469, -112.0771483 33.6546955, -112.0760318 33.6547077)",auto,1,0,,
West Union Hills Drive,12,5601438,78,157,1,101.49641,2,,,secondary,4,"LINESTRING (-112.0776502 33.65469, -112.0787466 33.6546738)",auto,1,0,,
West Union Hills Drive,13,5601438,157,78,1,101.49641,2,,,secondary,4,"LINESTRING (-112.0787466 33.6546738, -112.0776502 33.65469)",auto,1,0,,
East Pinnacle Peak Road,14,5603428,1570,1914,1,1296.57103,1,80.0,,secondary,4,"LINESTRING (-112.0193643 33.6986795, -112.0175682 33.6987069, -112.0174264 33.6987085, -112.015108 33.698734, -112.0142332 33.6987395, -112.0125281 33.6987503, -112.007469 33.6987548, -112.0053495 33.69875)",auto,1,0,,
East Pinnacle Peak Road,15,5603428,1914,1570,1,1296.57103,1,80.0,,secondary,4,"LINESTRING (-112.0053495 33.69875, -112.007469 33.6987548, -112.0125281 33.6987503, -112.0142332 33.6987395, -112.015108 33.698734, -112.0174264 33.6987085, -112.0175682 33.6987069, -112.0193643 33.6986795)",auto,1,0,,
East Pinnacle Peak Road,16,5603428,1914,3425,1,481.9872346,1,80.0,,secondary,4,"LINESTRING (-112.0053495 33.69875, -112.005047 33.698752, -112.003871 33.698759, -112.0028192 33.6987575, -112.0007851 33.6987484, -112.0001395 33.6987447)",auto,1,0,,
East Pinnacle Peak Road,17,5603428,3425,1914,1,481.9872346,1,80.0,,secondary,4,"LINESTRING (-112.0001395 33.6987447, -112.0007851 33.6987484, -112.0028192 33.6987575, -112.003871 33.698759, -112.005047 33.698752, -112.0053495 33.69875)",auto,1,0,,
,18,5627541,913,914,1,105.5823879,1,,,secondary,4,"LINESTRING (-111.9242178 33.6695706, -111.9239338 33.6696413, -111.9233626 33.6696663, -111.9232632 33.6696818, -111.923204 33.6697082, -111.9231909 33.669744, -111.9231856 33.6697931)",auto,0,1,,
