link_id_tmc,from_node_id_tmc,to_node_id_tmc,bearing_angle_tmc,geometry_tmc,name_base,link_id_base,from_node_id_base,to_node_id_base,geometry_base,geometry_tmc_base,distance
53AB,6075,35481,0.2080045242520896,"LINESTRING (-111.898553 33.554387, -111.898542 33.556912)",,198383BA,204298,210163,"LINESTRING (-111.901683 33.549013, -111.898553 33.554387)","MULTILINESTRING ((-111.898553 33.554387, -111.898542 33.556912), (-111.901683 33.549013, -111.898553 33.554387))",0.0
88AB,6024,6075,94.16305291560695,"LINESTRING (-111.905128 33.554786, -111.898553 33.554387)",,187940AB,210193,210163,"LINESTRING (-111.910303 33.562255, -111.898553 33.554387)","MULTILINESTRING ((-111.905128 33.554786, -111.898553 33.554387), (-111.910303 33.562255, -111.898553 33.554387))",0.0029940923872230525
90AB,6133,6134,37.186860774519175,"LINESTRING (-112.271547 33.544788, -112.258172 33.559478)",,190422AB,208565,210117,"LINESTRING (-112.271407 33.545084, -112.271012 33.546587)","MULTILINESTRING ((-112.271547 33.544788, -112.258172 33.559478), (-112.271407 33.545084, -112.271012 33.546587))",9.575811261181104e-05
90AB,6133,6134,37.186860774519175,"LINESTRING (-112.271547 33.544788, -112.258172 33.559478)",,187984AB,210086,210085,"LINESTRING (-112.271538 33.545075, -112.259558 33.557993)","MULTILINESTRING ((-112.271547 33.544788, -112.258172 33.559478), (-112.271538 33.545075, -112.259558 33.557993))",0.0001521400169580647
90AB,6133,6134,37.186860774519175,"LINESTRING (-112.271547 33.544788, -112.258172 33.559478)",,190431AB,210117,208564,"LINESTRING (-112.271012 33.546587, -112.265126 33.55129)","MULTILINESTRING ((-112.271547 33.544788, -112.258172 33.559478), (-112.271012 33.546587, -112.265126 33.55129))",0.0001332594078981985
90AB,6133,6134,37.186860774519175,"LINESTRING (-112.271547 33.544788, -112.258172 33.559478)",,187965AB,210123,210122,"LINESTRING (-112.264997 33.551522, -112.262989 33.554448)","MULTILINESTRING ((-112.271547 33.544788, -112.258172 33.559478), (-112.264997 33.551522, -112.262989 33.554448))",0.0
90AB,6133,6134,37.186860774519175,"LINESTRING (-112.271547 33.544788, -112.258172 33.559478)",,201943AB,210116,202282,"LINESTRING (-112.261287 33.55627, -112.259495 33.557918)","MULTILINESTRING ((-112.271547 33.544788, -112.258172 33.559478), (-112.261287 33.55627, -112.259495 33.557918))",0.0
90AB,6133,6134,37.186860774519175,"LINESTRING (-112.271547 33.544788, -112.258172 33.559478)",,201936AB,210085,202289,"LINESTRING (-112.259558 33.557993, -112.257638 33.573353)","MULTILINESTRING ((-112.271547 33.544788, -112.258172 33.559478), (-112.259558 33.557993, -112.257638 33.573353))",4.61409212590945e-05
91AB,6135,6136,217.62960837365586,"LINESTRING (-112.258343 33.559467, -112.271663 33.545066)",,187985AB,210084,210083,"LINESTRING (-112.259638 33.558067, -112.271664 33.545093)","MULTILINESTRING ((-112.258343 33.559467, -112.271663 33.545066), (-112.259638 33.558067, -112.271664 33.545093))",6.601549533466193e-08
95AB,6142,6143,100.22030676287397,"LINESTRING (-113.333964 33.564801, -113.161698 33.538794)",,187797AB,210267,210266,"LINESTRING (-113.347309 33.567847, -113.161839 33.538839)","MULTILINESTRING ((-113.333964 33.564801, -113.161698 33.538794), (-113.347309 33.567847, -113.161839 33.538839))",0.0008548285130803747
95AB,6142,6143,100.22030676287397,"LINESTRING (-113.333964 33.564801, -113.161698 33.538794)",,187799AB,210266,210263,"LINESTRING (-113.161839 33.538839, -113.155825 33.535525)","MULTILINESTRING ((-113.333964 33.564801, -113.161698 33.538794), (-113.161839 33.538839, -113.155825 33.535525))",0.0
122AB,6190,6191,258.84961722576185,"LINESTRING (-113.218608 32.857961, -113.333647 32.838857)",,187863AB,210226,215015,"LINESTRING (-113.218608 32.857961, -113.333647 32.838857)","MULTILINESTRING ((-113.218608 32.857961, -113.333647 32.838857), (-113.218608 32.857961, -113.333647 32.838857))",0.0
122AB,6190,6191,258.84961722576185,"LINESTRING (-113.218608 32.857961, -113.333647 32.838857)",,176687AB,215015,223394,"LINESTRING (-113.333647 32.838857, -113.43809 32.825248)","MULTILINESTRING ((-113.218608 32.857961, -113.333647 32.838857), (-113.333647 32.838857, -113.43809 32.825248))",0.0
28773AB,22963,22964,271.613948682599,"LINESTRING (-112.138550 32.834940, -112.200355 32.836388)",,166850AB,215375,215374,"LINESTRING (-112.13855 32.83494, -112.214343 32.837389)","MULTILINESTRING ((-112.138550 32.834940, -112.200355 32.836388), (-112.13855 32.83494, -112.214343 32.837389))",0.0
28779AB,22975,22976,337.7432467836212,"LINESTRING (-111.266421 32.501639, -111.268844 32.506632)",,178718AB,213529,213809,"LINESTRING (-111.260894 32.49414, -111.268844 32.506632)","MULTILINESTRING ((-111.266421 32.501639, -111.268844 32.506632), (-111.260894 32.49414, -111.268844 32.506632))",0.0005729389999187887
28779AB,22975,22976,337.7432467836212,"LINESTRING (-111.266421 32.501639, -111.268844 32.506632)",,178911AB,214998,213809,"LINESTRING (-111.268424 32.505957, -111.268844 32.506632)","MULTILINESTRING ((-111.266421 32.501639, -111.268844 32.506632), (-111.268424 32.505957, -111.268844 32.506632))",5.805471698760998e-05
28779AB,22975,22976,337.7432467836212,"LINESTRING (-111.266421 32.501639, -111.268844 32.506632)",,178429AB,213809,214100,"LINESTRING (-111.268844 32.506632, -111.271701 32.512008)","MULTILINESTRING ((-111.266421 32.501639, -111.268844 32.506632), (-111.268844 32.506632, -111.271701 32.512008))",0.0
