node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry
357,,-112.283167,33.556153,,,357,0.100000,0.100000,"POINT (-112.283167 33.556153)"
361,,-112.245787,33.558846,,,361,0.100000,0.100000,"POINT (-112.245787 33.558846)"
364,,-112.227139,33.559406,,,364,0.100000,0.100000,"POINT (-112.227139 33.559406)"
366,,-112.215273,33.559671,,,366,0.100000,0.100000,"POINT (-112.215273 33.559671)"
405,,-112.401398,33.555703,,,405,0.100000,0.100000,"POINT (-112.401398 33.555703)"
410,,-112.377550,33.556057,,,410,0.100000,0.100000,"POINT (-112.377550 33.556057)"
438,,-112.195941,33.560151,,,438,0.100000,0.100000,"POINT (-112.195941 33.560151)"
444,,-112.177745,33.560085,,,444,0.100000,0.100000,"POINT (-112.177745 33.560085)"
450,,-112.159557,33.560247,,,450,0.100000,0.100000,"POINT (-112.159557 33.560247)"
482,,-111.896973,33.564185,,,482,0.100000,0.100000,"POINT (-111.896973 33.564185)"
608,,-112.146198,33.560245,,,608,0.100000,0.100000,"POINT (-112.146198 33.560245)"
611,,-112.126194,33.560029,,,611,0.100000,0.100000,"POINT (-112.126194 33.560029)"
614,,-112.111430,33.561727,,,614,0.100000,0.100000,"POINT (-112.111430 33.561727)"
618,,-112.086585,33.559944,,,618,0.100000,0.100000,"POINT (-112.086585 33.559944)"
621,,-112.077531,33.560226,,,621,0.100000,0.100000,"POINT (-112.077531 33.560226)"
629,,-112.059005,33.557350,,,629,0.100000,0.100000,"POINT (-112.059005 33.557350)"
703,,-112.043324,33.547422,,,703,0.100000,0.100000,"POINT (-112.043324 33.547422)"
1035,,-111.952763,33.557138,,,1035,0.100000,0.100000,"POINT (-111.952763 33.557138)"
1314,,-111.820665,33.560984,,,1314,0.100000,0.100000,"POINT (-111.820665 33.560984)"
1788,,-111.913177,33.553652,,,1788,0.100000,0.100000,"POINT (-111.913177 33.553652)"
2861,,-112.069525,33.556953,,,2861,0.100000,0.100000,"POINT (-112.069525 33.556953)"
2880,,-112.413991,33.555652,,,2880,0.100000,0.100000,"POINT (-112.413991 33.555652)"
2891,,-111.932986,33.557030,,,2891,0.100000,0.100000,"POINT (-111.932986 33.557030)"
3001,,-112.119014,33.560157,,,3001,0.100000,0.100000,"POINT (-112.119014 33.560157)"
3002,,-112.104186,33.557002,,,3002,0.100000,0.100000,"POINT (-112.104186 33.557002)"
3004,,-112.094821,33.560410,,,3004,0.100000,0.100000,"POINT (-112.094821 33.560410)"
2967,,-111.919428,33.556094,,,2967,0.100000,0.100000,"POINT (-111.919428 33.556094)"
2775,,-111.421025,33.643596,,,2775,0.100000,0.100000,"POINT (-111.421025 33.643596)"
392,,-112.453152,33.558418,,,392,0.100000,0.100000,"POINT (-112.453152 33.558418)"
1301,,-111.886633,33.558766,,,1301,0.100000,0.100000,"POINT (-111.886633 33.558766)"
707,,-112.017645,33.538369,,,707,0.100000,0.100000,"POINT (-112.017645 33.538369)"
3258,,-112.465886,33.558995,,,3258,0.100000,0.100000,"POINT (-112.465886 33.558995)"
3298,,-112.138721,33.560106,,,3298,0.100000,0.100000,"POINT (-112.138721 33.560106)"
2724,,-113.203882,33.496437,,,2724,0.100000,0.100000,"POINT (-113.203882 33.496437)"
13,,-113.374049,32.830462,,,13,0.100000,0.100000,"POINT (-113.374049 32.830462)"
2200,,-111.131378,33.038314,,,2200,0.100000,0.100000,"POINT (-111.131378 33.038314)"
2131,,-111.150717,32.561590,,,2131,0.100000,0.100000,"POINT (-111.150717 32.561590)"
2186,,-111.081126,32.838506,,,2186,0.100000,0.100000,"POINT (-111.081126 32.838506)"
2189,,-111.178187,32.930126,,,2189,0.100000,0.100000,"POINT (-111.178187 32.930126)"
440,,-112.200422,33.548496,,,440,0.100000,0.100000,"POINT (-112.200422 33.548496)"
3022,,-112.196569,33.542287,,,3022,0.100000,0.100000,"POINT (-112.196569 33.542287)"
442,,-112.194539,33.519724,,,442,0.100000,0.100000,"POINT (-112.194539 33.519724)"
731,,-112.194022,33.501797,,,731,0.100000,0.100000,"POINT (-112.194022 33.501797)"
733,,-112.192805,33.476272,,,733,0.100000,0.100000,"POINT (-112.192805 33.476272)"
734,,-112.193777,33.454006,,,734,0.100000,0.100000,"POINT (-112.193777 33.454006)"
880,,-112.194433,33.444240,,,880,0.100000,0.100000,"POINT (-112.194433 33.444240)"
881,,-112.194538,33.429775,,,881,0.100000,0.100000,"POINT (-112.194538 33.429775)"
2736,,-112.197429,33.415837,,,2736,0.100000,0.100000,"POINT (-112.197429 33.415837)"
2860,,-112.197887,33.403272,,,2860,0.100000,0.100000,"POINT (-112.197887 33.403272)"
3023,,-112.193230,33.535507,,,3023,0.100000,0.100000,"POINT (-112.193230 33.535507)"
441,,-112.195173,33.528104,,,441,0.100000,0.100000,"POINT (-112.195173 33.528104)"
958,,-112.197200,33.358641,,,958,0.100000,0.100000,"POINT (-112.197200 33.358641)"
732,,-112.199085,33.487195,,,732,0.100000,0.100000,"POINT (-112.199085 33.487195)"
146,,-112.194630,33.468776,,,146,0.100000,0.100000,"POINT (-112.194630 33.468776)"
3318,,-112.193544,33.384470,,,3318,0.100000,0.100000,"POINT (-112.193544 33.384470)"
3420,,-112.195872,33.394279,,,3420,0.100000,0.100000,"POINT (-112.195872 33.394279)"
1,,-112.877538,32.485177,,,1,0.100000,0.100000,"POINT (-112.877538 32.485177)"
1924,,-112.696939,33.277679,,,1924,0.100000,0.100000,"POINT (-112.696939 33.277679)"
1968,,-112.389635,33.066346,,,1968,0.100000,0.100000,"POINT (-112.389635 33.066346)"
2693,,-112.572600,33.082789,,,2693,0.100000,0.100000,"POINT (-112.572600 33.082789)"
2778,,-112.740296,33.441987,,,2778,0.100000,0.100000,"POINT (-112.740296 33.441987)"
2838,,-112.692011,32.893060,,,2838,0.100000,0.100000,"POINT (-112.692011 32.893060)"
2773,,-112.242957,33.012020,,,2773,0.100000,0.100000,"POINT (-112.242957 33.012020)"
1831,,-112.726176,33.487355,,,1831,0.100000,0.100000,"POINT (-112.726176 33.487355)"
2769,,-112.389298,32.545413,,,2769,0.100000,0.100000,"POINT (-112.389298 32.545413)"
2802,,-112.717410,32.952119,,,2802,0.100000,0.100000,"POINT (-112.717410 32.952119)"
120,,-112.732475,33.417372,,,120,0.100000,0.100000,"POINT (-112.732475 33.417372)"
1792,,-112.726367,33.542935,,,1792,0.100000,0.100000,"POINT (-112.726367 33.542935)"
1791,,-112.727704,33.530991,,,1791,0.100000,0.100000,"POINT (-112.727704 33.530991)"
3259,,-113.010048,33.051083,,,3259,0.100000,0.100000,"POINT (-113.010048 33.051083)"
3361,,-112.612670,32.648182,,,3361,0.100000,0.100000,"POINT (-112.612670 32.648182)"
3432,,-112.716535,33.151298,,,3432,0.100000,0.100000,"POINT (-112.716535 33.151298)"
3126,,-113.112234,32.927729,,,3126,0.100000,0.100000,"POINT (-113.112234 32.927729)"
2768,,-113.094444,32.658677,,,2768,0.100000,0.100000,"POINT (-113.094444 32.658677)"
2801,,-113.152972,32.844023,,,2801,0.100000,0.100000,"POINT (-113.152972 32.844023)"
2835,,-112.919257,32.953809,,,2835,0.100000,0.100000,"POINT (-112.919257 32.953809)"
2761,,-112.917935,33.007968,,,2761,0.100000,0.100000,"POINT (-112.917935 33.007968)"
2770,,-112.727651,32.835278,,,2770,0.100000,0.100000,"POINT (-112.727651 32.835278)"
2762,,-112.772871,32.978271,,,2762,0.100000,0.100000,"POINT (-112.772871 32.978271)"
2767,,-112.770121,32.922595,,,2767,0.100000,0.100000,"POINT (-112.770121 32.922595)"
2834,,-112.830529,32.955868,,,2834,0.100000,0.100000,"POINT (-112.830529 32.955868)"
1971,,-112.771728,32.954047,,,1971,0.100000,0.100000,"POINT (-112.771728 32.954047)"
2842,,-112.833236,32.916224,,,2842,0.100000,0.100000,"POINT (-112.833236 32.916224)"
2760,,-112.840535,33.009552,,,2760,0.100000,0.100000,"POINT (-112.840535 33.009552)"
2864,,-112.726598,32.926226,,,2864,0.100000,0.100000,"POINT (-112.726598 32.926226)"
104,,-113.017305,33.532985,,,104,0.100000,0.100000,"POINT (-113.017305 33.532985)"
3356,,-112.990275,33.292143,,,3356,0.100000,0.100000,"POINT (-112.990275 33.292143)"
