name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,13365812,,,,,motorway,0,-111.9259305,33.6582103,,,
,1,41191954,,,,,primary,0,-112.030863,33.6504442,,,
,2,41208998,,,,,motorway,0,-112.1774773,33.6684651,,,
,4,41209007,motorway_junction,,,,motorway,0,-112.1624334,33.6695704,,,
,5,41263216,motorway_junction,,,,motorway,0,-112.1154567,33.6442126,,,
,6,41278432,,,,,motorway,0,-112.1160577,33.6363761,,,
,7,41288413,,,,,secondary,0,-111.9928548,33.6987283,,,
,8,41291597,,,,,primary,0,-112.0549291,33.6404371,,,
,9,41302748,motorway_junction,,,,motorway,0,-112.1129555,33.6893094,,,
,10,41311851,,,,,secondary,0,-112.2031116,33.6740222,,,
,11,41316132,,,,,secondary,0,-112.1144165,33.6506373,,,
,12,41349396,,,,,motorway,0,-112.1142257,33.6602997,,,
,13,41388727,,,,,primary,0,-112.0308295,33.6376401,,,
,14,41422776,,,,,primary,0,-112.031104,33.6741139,,,
,15,41438470,,,,,primary,0,-112.0411347,33.6405213,,,
,16,41451429,,,,,secondary,0,-112.0357922,33.6550041,,,
,17,41451575,,,,,motorway,0,-112.1132094,33.6677412,,,
,18,41494415,,,,,secondary,0,-112.013525,33.6442374,,,
,19,41494496,,,,,secondary,0,-111.9600482,33.6441749,,,
,20,41497329,,,,,primary,0,-112.0998515,33.6655994,,,
,21,41497336,traffic_signals,,signal,,secondary,0,-112.1346224,33.6656459,,,
,22,41497362,,,,,secondary,0,-112.152022,33.6655288,,,
,23,41502937,,,,,secondary,0,-112.2026713,33.6352726,,,
,24,41504328,traffic_signals,,signal,,primary,0,-111.969514,33.6947032,,,
,25,41506424,,,,,primary,0,-111.947032,33.6403843,,,
,26,41511923,,,,,secondary,0,-112.11724,33.6750505,,,
,27,41517093,,,,,primary,0,-111.9253748,33.6346327,,,
,31,41517125,traffic_signals,,signal,,primary,0,-111.9253675,33.6695719,,,
,32,41517128,traffic_signals,,signal,,primary,0,-111.9254224,33.6769388,,,
,33,41517136,traffic_signals,,signal,,primary,0,-111.9253878,33.6842156,,,
,34,41517137,,,,,primary,0,-111.9254291,33.6878256,,,
,35,41517140,traffic_signals,,signal,,primary,0,-111.9253485,33.6914633,,,
,36,41517142,,,,,primary,0,-111.9253312,33.6948629,,,
,37,41517146,,,,,primary,0,-111.9253106,33.7041111,,,
,38,41518079,,,,,primary,0,-112.124984,33.6398201,,,
,39,41518187,traffic_signals,,signal,,secondary,0,-112.1260608,33.6838144,,,
,40,41518262,,,,,motorway,0,-112.1275496,33.6688598,,,
,41,41518292,,,,,secondary,0,-112.1258211,33.6546523,,,
,42,41518342,,,,,primary,0,-112.1236024,33.6398407,,,
,44,41527391,,,,,primary,0,-112.0762608,33.6403236,,,
,45,41527401,,,,,primary,0,-112.0784942,33.6403181,,,
,46,41527414,,,,,primary,0,-112.087133,33.6402776,,,
,48,41527420,,,,,primary,0,-112.0942279,33.6402447,,,
