tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
115+08703,QUEEN CREEK RD,EASTBOUND,S MCQUEEN RD,AZ,MARICOPA,85286,33.26206,-111.84127,33.26232,-111.82424,0.983876,10.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+08704,QUEEN CREEK RD,EASTBOUND,S GILBERT RD,AZ,MARICOPA,85286,33.26232,-111.82402,33.26279,-111.78967,1.985928,12.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+08705,QUEEN CREEK RD,EASTBOUND,S VAL VISTA DR,AZ,MARICOPA,85297,33.26279,-111.78946,33.26316,-111.75551,1.962083,14.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+08700,QUEEN CREEK RD,EASTBOUND,S DOBSON RD,AZ,MARICOPA,85248,33.26141,-111.88868,33.26153,-111.88114,0.435621,4.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+08701,QUEEN CREEK RD,EASTBOUND,S ALMA SCHOOL RD,AZ,MARICOPA,85248,33.26153,-111.88095,33.26185,-111.85868,1.286592,6.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+08702,QUEEN CREEK RD,EASTBOUND,AZ-87/S ARIZONA AVE,AZ,MARICOPA,85248,33.26185,-111.8585,33.26206,-111.84143,0.98615,8.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+04181,I-10,WESTBOUND,BASELINE RD/EXIT 155,AZ,MARICOPA,85283,33.35384,-111.97098,33.37266,-111.96784,1.315642,1119.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+07213,I-10,WESTBOUND,AZ-202,AZ,MARICOPA,85226,33.28424,-111.96938,33.29069,-111.97152,0.463298,1108.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115P05165,I-10,WESTBOUND,PECOS RD/EXIT 161,AZ,MARICOPA,85226,33.29577,-111.97189,33.29999,-111.97191,0.291536,1110.0,America/Phoenix,P1.3,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
115+07299,AZ-347,NORTHBOUND,BELTLINE RD/W RIGGS RD,AZ,PINAL,85121,33.1234,-112.01747,33.21922,-111.98879,6.911296,6.0,America/Phoenix,P1.11,USA,2018-12-03 12:00:00-05:00,2019-04-16 17:00:00-04:00
