link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000001,115+07298,AZ-347_NORTHBOUND,5.0,100000001,100000002,1,,"LINESTRING (-112.04406999999999 33.07245,-112.01746999999999 33.1234)",1,3.8416019999999995,,,,,
100000002,115+07299,AZ-347_NORTHBOUND,6.0,100000002,100000003,1,,"LINESTRING (-112.01746999999999 33.1234,-111.98879 33.21922)",1,6.911296000000001,,,,,
100000003,115+07300,AZ-347_NORTHBOUND,7.0,100000003,100000004,1,,"LINESTRING (-111.98879 33.21922,-111.9493 33.2549)",1,3.929607,,,,,
100000004,115P07300,AZ-347_NORTHBOUND,8.0,100000004,100000005,1,,"LINESTRING (-111.9493 33.2549,-111.94708999999999 33.25611)",1,0.152597,,,,,
100000005,115N07300,AZ-347_SOUTHBOUND,3.0,100000006,100000007,1,,"LINESTRING (-111.94718999999999 33.256240000000005,-111.9494 33.25503)",1,0.1526,,,,,
100000006,115-07299,AZ-347_SOUTHBOUND,4.0,100000007,100000008,1,,"LINESTRING (-111.9494 33.25503,-111.98902 33.219229999999996)",1,3.940003,,,,,
100000007,115-07298,AZ-347_SOUTHBOUND,5.0,100000008,100000009,1,,"LINESTRING (-111.98902 33.219229999999996,-112.01768999999999 33.123490000000004)",1,6.905722999999999,,,,,
100000008,115-07297,AZ-347_SOUTHBOUND,6.0,100000009,100000001,1,,"LINESTRING (-112.01768999999999 33.123490000000004,-112.04431000000001 33.07245)",1,3.847756,,,,,
100000009,115-04180,I-10_EASTBOUND,432.0,100000011,100000012,1,,"LINESTRING (-111.96813 33.372659999999996,-111.97138000000001 33.3533)",1,1.353587,,interstate,,,
100000010,115N04180,I-10_EASTBOUND,433.0,100000012,100000013,1,,"LINESTRING (-111.97138000000001 33.3533,-111.97237 33.34415)",1,0.635206,,interstate,,,
100000011,115-04179,I-10_EASTBOUND,434.0,100000013,100000014,1,,"LINESTRING (-111.97237 33.34415,-111.97235 33.33835)",1,0.400669,,interstate,,,
100000012,115N04179,I-10_EASTBOUND,435.0,100000014,100000015,1,,"LINESTRING (-111.97235 33.33835,-111.97233999999999 33.32936)",1,0.621031,,interstate,,,
100000013,115-04178,I-10_EASTBOUND,436.0,100000015,100000016,1,,"LINESTRING (-111.97233999999999 33.32936,-111.97237 33.325590000000005)",1,0.26044,,interstate,,,
100000014,115N04178,I-10_EASTBOUND,437.0,100000016,100000017,1,,"LINESTRING (-111.97237 33.325590000000005,-111.97241000000001 33.31491)",1,0.737807,,interstate,,,
100000015,115-04177,I-10_EASTBOUND,438.0,100000017,100000018,1,,"LINESTRING (-111.97241000000001 33.31491,-111.97238999999999 33.31095)",1,0.273646,,interstate,,,
100000016,115N04177,I-10_EASTBOUND,439.0,100000018,100000019,1,,"LINESTRING (-111.97238999999999 33.31095,-111.97249 33.29995)",1,0.632969,,interstate,,,
100000017,115N05165,I-10_EASTBOUND,440.0,100000019,100000020,1,,"LINESTRING (-111.97249 33.29995,-111.97246000000001 33.301790000000004)",1,0.260452,,interstate,,,
100000018,115-05165,I-10_EASTBOUND,440.001,100000020,100000021,1,,"LINESTRING (-111.97246000000001 33.301790000000004,-111.97131999999999 33.28853)",1,0.12712,,interstate,,,
100000019,115-04176,I-10_EASTBOUND,441.0,100000021,100000022,1,,"LINESTRING (-111.97131999999999 33.28853,-111.96936000000001 33.28349)",1,0.366605,,interstate,,,
100000020,115N04176,I-10_EASTBOUND,442.0,100000022,100000023,1,,"LINESTRING (-111.96936000000001 33.28349,-111.96394 33.27561)",1,0.628893,,interstate,,,
100000021,115-04175,I-10_EASTBOUND,443.0,100000023,100000024,1,,"LINESTRING (-111.96394 33.27561,-111.95196000000001 33.260090000000005)",1,1.276054,,interstate,,,
