link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000001,115-06312,AZ-260_EASTBOUND,53.0,100000001,100000002,1,,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",1,1.575431,,,,,
100000002,115-06001,AZ-260_EASTBOUND,54.0,100000002,100000003,1,,"LINESTRING (-110.03542 34.25295,-110.02873999999998 34.25434)",1,0.393895,,,,,
100000003,115+06312,AZ-260_WESTBOUND,19.0,100000003,100000002,1,,"LINESTRING (-110.02873999999998 34.25434,-110.03542 34.25295)",1,0.393895,,,,,
100000004,115+06000,AZ-260_WESTBOUND,20.0,100000002,100000001,1,,"LINESTRING (-110.03542 34.25295,-110.05868999999998 34.2411)",1,1.575431,,,,,
100000005,115+06256,US-60_EASTBOUND,132.0,100000007,100000008,1,,"LINESTRING (-110.25578 34.00392,-110.12534 34.12155)",1,11.969027,,,,,
100000006,115+05943,US-60_EASTBOUND,133.0,100000008,100000001,1,,"LINESTRING (-110.12534 34.12155,-110.05868999999998 34.2411)",1,9.469529,,,,,
100000007,115+06257,US-60_EASTBOUND,134.0,100000001,100000002,1,,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",1,1.575431,,,,,
100000008,115+05944,US-60_EASTBOUND,135.0,100000002,100000003,1,,"LINESTRING (-110.03542 34.25295,-110.02873999999998 34.25434)",1,0.393895,,,,,
100000009,115+05945,US-60_EASTBOUND,136.0,100000003,100000012,1,,"LINESTRING (-110.02873999999998 34.25434,-110.01807 34.25723)",1,0.641138,,,,,
100000010,115+06258,US-60_EASTBOUND,137.0,100000012,100000013,1,,"LINESTRING (-110.01807 34.25723,-109.93511000000001 34.2688)",1,4.809561,,,,,
100000011,115+05946,US-60_EASTBOUND,138.0,100000013,100000014,1,,"LINESTRING (-109.93511000000001 34.2688,-109.83731999999999 34.28588)",1,5.705426,,,,,
100000012,115P05946,US-60_EASTBOUND,138.5,100000014,100000015,1,,"LINESTRING (-109.83731999999999 34.28588,-109.83198 34.28628)",1,0.306234,,,,,
100000013,115+06259,US-60_EASTBOUND,139.0,100000015,100000016,1,,"LINESTRING (-109.83198 34.28628,-109.69312 34.272240000000004)",1,8.068349000000001,,,,,
100000014,115+06642,US-60_EASTBOUND,140.0,100000016,100000017,1,,"LINESTRING (-109.69312 34.272240000000004,-109.67355 34.27163)",1,1.1181459999999999,,,,,
100000015,115+06260,US-60_EASTBOUND,141.0,100000017,100000018,1,,"LINESTRING (-109.67355 34.27163,-109.51154 34.240120000000005)",1,9.769969999999999,,,,,
100000016,115+06261,US-60_EASTBOUND,142.0,100000018,100000019,1,,"LINESTRING (-109.51154 34.240120000000005,-109.33621000000001 34.187020000000004)",1,10.892511,,,,,
100000017,115-06260,US-60_WESTBOUND,459.0,100000019,100000018,1,,"LINESTRING (-109.33621000000001 34.187020000000004,-109.51154 34.240120000000005)",1,10.892511,,,,,
100000018,115-06642,US-60_WESTBOUND,460.0,100000018,100000017,1,,"LINESTRING (-109.51154 34.240120000000005,-109.67355 34.27163)",1,9.769969999999999,,,,,
100000019,115-06259,US-60_WESTBOUND,461.0,100000017,100000016,1,,"LINESTRING (-109.67355 34.27163,-109.69312 34.272240000000004)",1,1.1181459999999999,,,,,
100000020,115-05946,US-60_WESTBOUND,462.0,100000016,100000015,1,,"LINESTRING (-109.69312 34.272240000000004,-109.83198 34.28628)",1,8.068349000000001,,,,,
100000021,115N05946,US-60_WESTBOUND,462.5,100000015,100000014,1,,"LINESTRING (-109.83198 34.28628,-109.83731999999999 34.28588)",1,0.306234,,,,,
100000022,115-06258,US-60_WESTBOUND,463.0,100000014,100000013,1,,"LINESTRING (-109.83731999999999 34.28588,-109.93511000000001 34.2688)",1,5.705426,,,,,
100000023,115-05945,US-60_WESTBOUND,464.0,100000013,100000012,1,,"LINESTRING (-109.93511000000001 34.2688,-110.01807 34.25723)",1,4.809561,,,,,
100000024,115-05944,US-60_WESTBOUND,465.0,100000012,100000003,1,,"LINESTRING (-110.01807 34.25723,-110.02873999999998 34.25434)",1,0.641138,,,,,
100000025,115-06257,US-60_WESTBOUND,466.0,100000003,100000002,1,,"LINESTRING (-110.02873999999998 34.25434,-110.03542 34.25295)",1,0.393895,,,,,
100000026,115-05943,US-60_WESTBOUND,467.0,100000002,100000001,1,,"LINESTRING (-110.03542 34.25295,-110.05868999999998 34.2411)",1,1.575431,,,,,
100000027,115-06256,US-60_WESTBOUND,468.0,100000001,100000008,1,,"LINESTRING (-110.05868999999998 34.2411,-110.12534 34.12155)",1,9.469529,,,,,
100000028,115-05942,US-60_WESTBOUND,469.0,100000008,100000007,1,,"LINESTRING (-110.12534 34.12155,-110.25578 34.00392)",1,11.969027,,,,,
