link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000001,115+06136,AZ-303-LOOP_NORTHBOUND,6.0,100000001,100000002,1,,"LINESTRING (-112.41797 33.56693,-112.41787 33.604279999999996)",1,2.580191,,,,,
100000002,115+05688,AZ-303-LOOP_NORTHBOUND,7.0,100000002,100000003,1,,"LINESTRING (-112.41787 33.604279999999996,-112.41783999999998 33.61902)",1,1.0182440000000001,,,,,
100000003,115+05689,AZ-303-LOOP_NORTHBOUND,8.0,100000003,100000004,1,,"LINESTRING (-112.41783999999998 33.61902,-112.4178 33.63382)",1,1.02239,,,,,
100000004,115P05689,AZ-303-LOOP_NORTHBOUND,9.0,100000004,100000005,1,,"LINESTRING (-112.4178 33.63382,-112.4178 33.643879999999996)",1,0.6949850000000001,,,,,
100000005,115+05691,AZ-303-LOOP_NORTHBOUND,10.0,100000005,100000006,1,,"LINESTRING (-112.4178 33.643879999999996,-112.40881999999999 33.675259999999994)",1,2.2831770000000002,,,,,
100000006,115P05691,AZ-303-LOOP_NORTHBOUND,10.1,100000006,100000007,1,,"LINESTRING (-112.40881999999999 33.675259999999994,-112.40348999999999 33.68054)",1,0.47688800000000003,,,,,
100000007,115+11083,AZ-303-LOOP_NORTHBOUND,11.0,100000007,100000008,1,,"LINESTRING (-112.40348999999999 33.68054,-112.34185 33.69836)",1,3.94731,,,,,
100000008,115P11083,AZ-303-LOOP_NORTHBOUND,12.0,100000008,100000009,1,,"LINESTRING (-112.34185 33.69836,-112.32862 33.69825)",1,0.760428,,,,,
100000009,115+07707,AZ-303-LOOP_NORTHBOUND,13.0,100000009,100000010,1,,"LINESTRING (-112.32862 33.69825,-112.31245 33.70879)",1,1.316662,,,,,
100000010,115P07707,AZ-303-LOOP_NORTHBOUND,14.0,100000010,100000011,1,,"LINESTRING (-112.31245 33.70879,-112.30986999999999 33.71881)",1,0.709932,,,,,
100000011,115+11112,AZ-303-LOOP_NORTHBOUND,14.001,100000011,100000006,1,,"LINESTRING (-112.30986999999999 33.71881,-112.40881999999999 33.675259999999994)",1,5.318338,,,,,
100000012,115P05691,AZ-303-LOOP_NORTHBOUND,15.0,100000006,100000007,1,,"LINESTRING (-112.40881999999999 33.675259999999994,-112.40348999999999 33.68054)",1,0.47688800000000003,,,,,
100000013,115N05691,AZ-303-LOOP_SOUTHBOUND,1.0,100000014,100000015,1,,"LINESTRING (-112.40443 33.68011,-112.31024 33.71894)",1,0.332125,,,,,
100000014,115N07707,AZ-303-LOOP_SOUTHBOUND,2.0,100000015,100000016,1,,"LINESTRING (-112.31024 33.71894,-112.25596000000002 33.76915)",1,0.703544,,,,,
100000015,115-07707,AZ-303-LOOP_SOUTHBOUND,2.001,100000016,100000015,1,,"LINESTRING (-112.25596000000002 33.76915,-112.31024 33.71894)",1,5.388301,,,,,
100000016,115N07707,AZ-303-LOOP_SOUTHBOUND,2.002,100000015,100000018,1,,"LINESTRING (-112.31024 33.71894,-112.31278999999999 33.70901)",1,0.703544,,,,,
