name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115+07298,AZ-347_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.04406999999999 33.07245,-112.01746999999999 33.1234)",177401AB,214934,215171,1,"LINESTRING (-112.044124 33.072481, -112.047749 33.065226)","MULTILINESTRING ((-112.04406999999999 33.07245,-112.01746999999999 33.1234), (-112.044124 33.072481, -112.047749 33.065226))",3.082381305990909e-05
115+07298,AZ-347_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.04406999999999 33.07245,-112.01746999999999 33.1234)",186659BA,214934,213341,1,"LINESTRING (-112.044124 33.072481, -112.038215 33.083879)","MULTILINESTRING ((-112.04406999999999 33.07245,-112.01746999999999 33.1234), (-112.044124 33.072481, -112.038215 33.083879))",7.874634507649663e-05
115+07298,AZ-347_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.04406999999999 33.07245,-112.01746999999999 33.1234)",176042BA,215169,215836,1,"LINESTRING (-112.037426 33.085324, -112.021559 33.115741)","MULTILINESTRING ((-112.04406999999999 33.07245,-112.01746999999999 33.1234), (-112.037426 33.085324, -112.021559 33.115741))",6.942576864373257e-05
115+07298,AZ-347_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.04406999999999 33.07245,-112.01746999999999 33.1234)",176042AB,215836,215169,1,"LINESTRING (-112.021559 33.115741, -112.037426 33.085324)","MULTILINESTRING ((-112.04406999999999 33.07245,-112.01746999999999 33.1234), (-112.021559 33.115741, -112.037426 33.085324))",7.52719880789026e-05
115+07298,AZ-347_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.04406999999999 33.07245,-112.01746999999999 33.1234)",164638AB,215446,215836,1,"LINESTRING (-112.017544 33.123425, -112.021559 33.115741)","MULTILINESTRING ((-112.04406999999999 33.07245,-112.01746999999999 33.1234), (-112.017544 33.123425, -112.021559 33.115741))",7.91231822012086e-05
115+07299,AZ-347_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.01746999999999 33.1234,-111.98879 33.21922)",164638AB,215446,215836,2,"LINESTRING (-112.017544 33.123425, -112.021559 33.115741)","MULTILINESTRING ((-112.01746999999999 33.1234,-111.98879 33.21922), (-112.017544 33.123425, -112.021559 33.115741))",2.5773674528735093e-06
115+07299,AZ-347_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.01746999999999 33.1234,-111.98879 33.21922)",164639AB,215446,215756,2,"LINESTRING (-112.017544 33.123425, -112.007703 33.156446)","MULTILINESTRING ((-112.01746999999999 33.1234,-111.98879 33.21922), (-112.017544 33.123425, -112.007703 33.156446))",8.989216415856944e-05
115+07299,AZ-347_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.01746999999999 33.1234,-111.98879 33.21922)",164639BA,215756,215446,2,"LINESTRING (-112.007703 33.156446, -112.017544 33.123425)","MULTILINESTRING ((-112.01746999999999 33.1234,-111.98879 33.21922), (-112.007703 33.156446, -112.017544 33.123425))",0.00011356080180463594
115+07299,AZ-347_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.01746999999999 33.1234,-111.98879 33.21922)",165179BA,215770,215756,2,"LINESTRING (-112.007721 33.167289, -112.007703 33.156446)","MULTILINESTRING ((-112.01746999999999 33.1234,-111.98879 33.21922), (-112.007721 33.167289, -112.007703 33.156446))",0.0017137660606495167
115+07299,AZ-347_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.01746999999999 33.1234,-111.98879 33.21922)",173977AB,215770,215074,2,"LINESTRING (-112.007721 33.167289, -111.993469 33.205058)","MULTILINESTRING ((-112.01746999999999 33.1234,-111.98879 33.21922), (-112.007721 33.167289, -111.993469 33.205058))",0.002875760773623934
