name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",145776BA,223968,223969,1,"LINESTRING (-110.058714 34.241201, -110.061604 34.238528)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.058714 34.241201, -110.061604 34.238528))",9.044342683412589e-05
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",152234AB,224816,218388,1,"LINESTRING (-110.056719 34.242581, -110.050995 34.242028)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.056719 34.242581, -110.050995 34.242028))",0.00026039417859668334
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",145097BA,224815,224816,1,"LINESTRING (-110.051468 34.245622, -110.056719 34.242581)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.051468 34.245622, -110.056719 34.242581))",0.000575290252246793
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",145097AB,224816,224815,1,"LINESTRING (-110.056719 34.242581, -110.051468 34.245622)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.056719 34.242581, -110.051468 34.245622))",0.0003651166956178463
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",152231AB,224815,218393,1,"LINESTRING (-110.051468 34.245622, -110.042678 34.245763)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.051468 34.245622, -110.042678 34.245763))",0.00018451482912009402
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",152232AB,218387,218403,1,"LINESTRING (-110.05133 34.245696, -110.042612 34.25041)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.05133 34.245696, -110.042612 34.25041))",0.0008643165588242427
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",152816BA,218392,218396,1,"LINESTRING (-110.041818 34.249579, -110.059427 34.249167)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.041818 34.249579, -110.059427 34.249167))",0.00017031286483907123
115-06312,AZ-260_EASTBOUND,0,100000001,100000002,1,"LINESTRING (-110.05868999999998 34.2411,-110.03542 34.25295)",152219AB,218402,218398,1,"LINESTRING (-110.042113 34.250681, -110.033716 34.253198)","MULTILINESTRING ((-110.05868999999998 34.2411,-110.03542 34.25295), (-110.042113 34.250681, -110.033716 34.253198))",0.0006822013063589018
115-06001,AZ-260_EASTBOUND,1,100000002,100000003,2,"LINESTRING (-110.03542 34.25295,-110.02873999999998 34.25434)",152219AB,218402,218398,2,"LINESTRING (-110.042113 34.250681, -110.033716 34.253198)","MULTILINESTRING ((-110.03542 34.25295,-110.02873999999998 34.25434), (-110.042113 34.250681, -110.033716 34.253198))",0.0002517090174852646
115-06001,AZ-260_EASTBOUND,1,100000002,100000003,2,"LINESTRING (-110.03542 34.25295,-110.02873999999998 34.25434)",152219BA,218398,218402,2,"LINESTRING (-110.033716 34.253198, -110.042113 34.250681)","MULTILINESTRING ((-110.03542 34.25295,-110.02873999999998 34.25434), (-110.033716 34.253198, -110.042113 34.250681))",0.00013439990641086146
