name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115+06136,AZ-303-LOOP_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.41797 33.56693,-112.41787 33.604279999999996)",201172AB,202666,202665,1,"LINESTRING (-112.417959 33.560836, -112.417834 33.578744)","MULTILINESTRING ((-112.41797 33.56693,-112.41787 33.604279999999996), (-112.417959 33.560836, -112.417834 33.578744))",5.353555087057071e-05
115+06136,AZ-303-LOOP_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.41797 33.56693,-112.41787 33.604279999999996)",201186AB,202665,202683,1,"LINESTRING (-112.417834 33.578744, -112.417939 33.582587)","MULTILINESTRING ((-112.41797 33.56693,-112.41787 33.604279999999996), (-112.417834 33.578744, -112.417939 33.582587))",1.0586213289817457e-05
115+06136,AZ-303-LOOP_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.41797 33.56693,-112.41787 33.604279999999996)",201136AB,202683,202682,1,"LINESTRING (-112.417939 33.582587, -112.418151 33.593325)","MULTILINESTRING ((-112.41797 33.56693,-112.41787 33.604279999999996), (-112.417939 33.582587, -112.418151 33.593325))",7.856896912901735e-05
115+06136,AZ-303-LOOP_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.41797 33.56693,-112.41787 33.604279999999996)",201226AB,202640,202636,1,"LINESTRING (-112.417838 33.595242, -112.418154 33.596872)","MULTILINESTRING ((-112.41797 33.56693,-112.41787 33.604279999999996), (-112.417838 33.595242, -112.418154 33.596872))",0.0002473746234810065
115+06136,AZ-303-LOOP_NORTHBOUND,0,100000001,100000002,1,"LINESTRING (-112.41797 33.56693,-112.41787 33.604279999999996)",201215AB,202647,202646,1,"LINESTRING (-112.418211 33.597164, -112.418554 33.607804)","MULTILINESTRING ((-112.41797 33.56693,-112.41787 33.604279999999996), (-112.418211 33.597164, -112.418554 33.607804))",0.0004397643178807965
115+05688,AZ-303-LOOP_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.41787 33.604279999999996,-112.41783999999998 33.61902)",201215AB,202647,202646,2,"LINESTRING (-112.418211 33.597164, -112.418554 33.607804)","MULTILINESTRING ((-112.41787 33.604279999999996,-112.41783999999998 33.61902), (-112.418211 33.597164, -112.418554 33.607804))",0.0005701012167688622
115+05688,AZ-303-LOOP_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.41787 33.604279999999996,-112.41783999999998 33.61902)",201247AB,202646,202626,2,"LINESTRING (-112.418554 33.607804, -112.418168 33.609317)","MULTILINESTRING ((-112.41787 33.604279999999996,-112.41783999999998 33.61902), (-112.418554 33.607804, -112.418168 33.609317))",0.0004495023223473888
115+05688,AZ-303-LOOP_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.41787 33.604279999999996,-112.41783999999998 33.61902)",201246AB,202645,202627,2,"LINESTRING (-112.418063 33.609727, -112.418333 33.611256)","MULTILINESTRING ((-112.41787 33.604279999999996,-112.41783999999998 33.61902), (-112.418063 33.609727, -112.418333 33.611256))",0.000279955746056391
115+05688,AZ-303-LOOP_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.41787 33.604279999999996,-112.41783999999998 33.61902)",201251AB,202627,202713,2,"LINESTRING (-112.418333 33.611256, -112.418402 33.611647)","MULTILINESTRING ((-112.41787 33.604279999999996,-112.41783999999998 33.61902), (-112.418333 33.611256, -112.418402 33.611647))",0.0005391979626873612
115+05688,AZ-303-LOOP_NORTHBOUND,1,100000002,100000003,2,"LINESTRING (-112.41787 33.604279999999996,-112.41783999999998 33.61902)",201115AB,202713,202712,2,"LINESTRING (-112.418402 33.611647, -112.41845 33.622355)","MULTILINESTRING ((-112.41787 33.604279999999996,-112.41783999999998 33.61902), (-112.418402 33.611647, -112.41845 33.622355))",0.000556615251970804
