node_id,x_coord,y_coord,Centroid,zone_id,geometry
255090,-109.561421,31.328713,, ,POINT(-109.561421 31.328713)
255089,-109.560345,31.335175,,,POINT(-109.560345 31.335175)
255088,-108.938449,32.121988,,,POINT(-108.938449 32.121988)
255087,-108.954814,32.236568,,,POINT(-108.954814 32.236568)
255086,-108.879394,32.123474,,,POINT(-108.879394 32.123474)
255085,-108.797579,31.950003,,,POINT(-108.797579 31.950003)
255084,-108.557448,31.97589,,,POINT(-108.557448 31.97589)
255083,-108.880715,32.279415,,,POINT(-108.880715 32.279415)
255082,-108.75171,32.35362,,,POINT(-108.75171 32.35362)
255081,-109.045897,36.139878,,,POINT(-109.045897 36.139878)
255080,-109.000742,36.027753,,,POINT(-109.000742 36.027753)
255079,-108.7076,32.3815,,,POINT(-108.7076 32.3815)
255078,-108.27326,32.781332,,,POINT(-108.27326 32.781332)
255077,-108.86133,33.69545,,,POINT(-108.86133 33.69545)
255076,-108.631281,33.835499,,,POINT(-108.631281 33.835499)
255075,-108.520041,34.341553,,,POINT(-108.520041 34.341553)
255074,-107.990383,34.707598,,,POINT(-107.990383 34.707598)
255073,-108.400786,34.597657,,,POINT(-108.400786 34.597657)
255072,-108.150743,34.346476,,,POINT(-108.150743 34.346476)
255071,-108.675017,34.652378,,,POINT(-108.675017 34.652378)
255070,-108.382359,34.513919,,,POINT(-108.382359 34.513919)
6401,-116.783189,32.26849,6401,6401,POINT(-116.783189 32.26849)
255069,-116.94734,32.566872,,,POINT(-116.94734 32.566872)
6405,-115.278851,30.732647,6405,6405,POINT(-115.278851 30.732647)
255068,-115.994202,30.760828,,,POINT(-115.994202 30.760828)
255067,-115.724304,31.395943,,,POINT(-115.724304 31.395943)
255066,-108.148238,34.305506,,,POINT(-108.148238 34.305506)
255065,-108.49429,34.3427,,,POINT(-108.49429 34.3427)
255064,-107.76953,35.08443,,,POINT(-107.76953 35.08443)
255063,-108.429771,34.48254,,,POINT(-108.429771 34.48254)
255062,-108.699264,34.442476,,,POINT(-108.699264 34.442476)
255061,-108.81389,34.23979,,,POINT(-108.81389 34.23979)
255060,-108.69675,35.114183,,,POINT(-108.69675 35.114183)
255059,-108.747546,35.155749,,,POINT(-108.747546 35.155749)
255091,-108.760507,35.094773,,,POINT(-108.760507 35.094773)
255058,-108.75916,35.52843,,,POINT(-108.75916 35.52843)
255057,-108.920374,35.537079,,,POINT(-108.920374 35.537079)
255056,-108.858946,35.496672,,,POINT(-108.858946 35.496672)
255055,-108.922715,35.474672,,,POINT(-108.922715 35.474672)
255054,-109.046698,35.362523,,,POINT(-109.046698 35.362523)
255053,-108.93886,35.626592,,,POINT(-108.93886 35.626592)
255052,-108.78029,35.62944,,,POINT(-108.78029 35.62944)
255051,-108.902294,35.926919,,,POINT(-108.902294 35.926919)
255050,-108.770731,35.778937,,,POINT(-108.770731 35.778937)
255049,-108.753739,35.855579,,,POINT(-108.753739 35.855579)
255048,-108.76765,35.7982,,,POINT(-108.76765 35.7982)
255047,-109.046041,35.914285,,,POINT(-109.046041 35.914285)
255046,-108.70655,36.14392,,,POINT(-108.70655 36.14392)
255045,-108.68227,36.06793,,,POINT(-108.68227 36.06793)
255044,-109.00007,35.99689,,,POINT(-109.00007 35.99689)
255043,-108.772979,36.231368,,,POINT(-108.772979 36.231368)
255042,-108.71096,36.178649,,,POINT(-108.71096 36.178649)
255041,-108.705882,36.277825,,,POINT(-108.705882 36.277825)
255040,-108.889757,36.231794,,,POINT(-108.889757 36.231794)
255039,-108.800872,36.231732,,,POINT(-108.800872 36.231732)
255038,-108.743998,36.288501,,,POINT(-108.743998 36.288501)
255037,-108.70599,36.28951,,,POINT(-108.70599 36.28951)
255036,-108.764287,36.300373,,,POINT(-108.764287 36.300373)
255035,-108.710126,36.32731,,,POINT(-108.710126 36.32731)
255034,-108.816025,36.274414,,,POINT(-108.816025 36.274414)
255033,-108.719735,36.403942,,,POINT(-108.719735 36.403942)
255032,-108.871005,36.456571,,,POINT(-108.871005 36.456571)
255031,-108.720639,36.420178,,,POINT(-108.720639 36.420178)
255030,-108.724337,36.485145,,,POINT(-108.724337 36.485145)
255029,-108.965481,36.583338,,,POINT(-108.965481 36.583338)
255028,-108.706875,36.670963,,,POINT(-108.706875 36.670963)
255027,-108.70422,36.61185,,,POINT(-108.70422 36.61185)
255026,-109.263753,36.404198,,,POINT(-109.263753 36.404198)
255025,-109.362539,36.999197,,,POINT(-109.362539 36.999197)
255024,-109.306224,37.262724,,,POINT(-109.306224 37.262724)
255023,-114.440166,34.042695,,,POINT(-114.440166 34.042695)
255022,-114.435369,34.042616,,,POINT(-114.435369 34.042616)
