name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,281233,,,0,,,,-77.1429305,39.0212578,,,
,1,281236,,,0,,,,-77.1416847,39.0246814,,,
,2,281247,,,0,,,,-77.1446471,39.0366108,,,
,3,281260,motorway_junction,,0,,,,-77.1506759,39.047928,,,
,4,281305,,,0,,,,-77.2126007,39.1407879,,,
,5,281313,,,0,,,,-77.2281497,39.1584835,,,
,6,281323,motorway_junction,,0,,,,-77.2515329,39.1811582,,,
,8,281365,,,0,,,,-77.3031194,39.1514268,,,
,9,31471333,motorway_junction,,0,,,,-77.4286147,39.3979322,,,
,10,31471342,,,0,,,,-77.4099104,39.3820329,,,
,11,31471380,,,0,,,,-77.3543588,39.3212362,,,
,12,31471396,,,0,,,,-77.3341374,39.2957897,,,
,13,31471397,,,0,,,,-77.3339895,39.2956369,,,
,14,31471408,,,0,,,,-77.3237931,39.2779918,,,
,15,31471409,,,0,,,,-77.320929,39.2750739,,,
,16,31471444,,,0,,,,-77.263605,39.1978882,,,
,17,31471452,,,0,,,,-77.2516907,39.1810111,,,
,18,31471454,,,0,,,,-77.2487454,39.1774488,,,
,19,31471467,,,0,,,,-77.2217235,39.1532939,,,
,20,31471489,motorway_junction,,0,,,,-77.183483,39.106612,,,
,21,31471499,,,0,,,,-77.1743909,39.0885442,,,
,22,31471502,motorway_junction,,0,,,,-77.1717387,39.0815555,,,
,23,31471539,,,0,,,,-77.1510697,39.047947,,,
,24,31471544,motorway_junction,,0,,,,-77.1445958,39.0356115,,,
,25,31471552,,,0,,,,-77.1418456,39.0275826,,,
,26,32872787,,,0,,,,-77.4420619,39.3998041,,,
,27,32872828,,,0,,,,-77.4418564,39.4000288,,,
,28,32872831,,,0,,,,-77.4227839,39.3981013,,,
,29,32872846,motorway_junction,,0,,,,-77.4348598,39.4050038,,,
,30,32872926,motorway_junction,,0,,,,-77.435514,39.4078283,,,
,31,37053872,turning_circle,,0,,,,-77.0899777,39.3450931,,,
,32,37058115,turning_circle,,0,,,,-77.1220142,39.2903489,,,
,33,37077640,turning_circle,,0,,,,-77.1166025,39.3432103,,,
,34,37077707,turning_circle,,0,,,,-77.1294823,39.3009917,,,
,35,37082338,turning_circle,,0,,,,-77.1392133,39.3166998,,,
,36,37082544,,,0,,,,-77.1429603,39.3154972,,,
,37,37082605,turning_circle,,0,,,,-77.1361569,39.314938,,,
,38,37103654,turning_circle,,0,,,,-77.1199183,39.3507852,,,
,39,37120500,turning_circle,,0,,,,-77.1140548,39.2874218,,,
,40,37123881,,,0,,,,-77.1283302,39.3002518,,,
,41,37124022,,,0,,,,-77.1304929,39.2963079,,,
,42,37124029,,,0,,,,-77.1301977,39.2959411,,,
,43,37130516,turning_circle,,0,,,,-77.1169111,39.346851,,,
,44,37142116,turning_circle,,0,,,,-77.1262117,39.3496843,,,
,45,37145275,turning_circle,,0,,,,-77.1244895,39.3402076,,,
,46,37145309,,,0,,,,-77.1230814,39.3430163,,,
,47,37148658,turning_circle,,0,,,,-77.1179628,39.2884826,,,
,48,37148689,turning_circle,,0,,,,-77.1185716,39.2912809,,,
,49,37165338,,,0,,,,-77.1371634,39.3575274,,,
,50,37165351,,,0,,,,-77.1372827,39.357574,,,
,51,37165368,,,0,,,,-77.1386913,39.3574622,,,
,52,37167578,,,0,,,,-77.123512,39.3431486,,,
,53,37167583,,,0,,,,-77.1228476,39.3444128,,,
,54,37174164,,,0,,,,-77.0910822,39.3421117,,,
,55,37182019,turning_circle,,0,,,,-77.1197259,39.3441665,,,
,56,37183447,,,0,,,,-77.137612,39.3119466,,,
,57,37183489,,,0,,,,-77.1446582,39.2947044,,,
,58,37184003,,,0,,,,-77.1158975,39.2920895,,,
,59,37185715,,,0,,,,-77.1268695,39.3235455,,,
,60,37185763,,,0,,,,-77.1432324,39.322867,,,
,61,37187906,,,0,,,,-77.0963277,39.3435515,,,
,62,37187939,,,0,,,,-77.1066634,39.3383864,,,
,63,37187946,,,0,,,,-77.1095094,39.3389111,,,
,64,37187949,,,0,,,,-77.1175238,39.3413558,,,
,65,37187950,,,0,,,,-77.1206929,39.342309,,,
,66,37187971,,,0,,,,-77.1338555,39.3472583,,,
,67,37190572,,,0,,,,-77.1044855,39.3451997,,,
,68,37190598,,,0,,,,-77.1113906,39.3318389,,,
,69,37190624,,,0,,,,-77.1189022,39.3220931,,,
,70,37195530,,,0,,,,-77.1037371,39.3158419,,,
,71,37196373,,,0,,,,-77.1309306,39.352873,,,
,72,37196389,,,0,,,,-77.1249181,39.3518469,,,
,73,37196392,,,0,,,,-77.1229098,39.3512657,,,
,74,37196397,,,0,,,,-77.1200935,39.3504348,,,
,75,37196405,,,0,,,,-77.1168012,39.3494612,,,
,76,37196421,,,0,,,,-77.1096794,39.3463008,,,
,77,37197245,,,0,,,,-77.1252001,39.3021976,,,
,78,37197249,,,0,,,,-77.125062,39.3021509,,,
,79,37197253,,,0,,,,-77.120341,39.300646,,,
,80,37200044,,,0,,,,-77.1256505,39.3231678,,,
,81,37200061,,,0,,,,-77.1453314,39.3393666,,,
,82,37200114,,,0,,,,-77.1445173,39.3212265,,,
,83,37200231,,,0,,,,-77.1087582,39.3104059,,,
,84,37200238,,,0,,,,-77.1010897,39.3045991,,,
,85,37200709,,,0,,,,-77.1378339,39.3567061,,,
,86,37201245,,,0,,,,-77.1038242,39.3677429,,,
