tmc,road,direction,intersection,state,county,zip,y_coord,x_coord,end_latitude,end_longitude,miles,road_order,timezone_name,type,country,active_start_date,active_end_date
110P04102,I-270,NORTHBOUND,I-495/MD-355,MD,MONTGOMERY,20814,39.01887,-77.10289,39.02103,-77.10507,0.190071,1,America/New_York,P1.1,USA,2019-10-31 15:30:00-04:00,
110+04103,I-270,NORTHBOUND,MD-187/OLD GEORGETOWN RD/EXIT 1,MD,MONTGOMERY,20814,39.02103,-77.10507,39.03014,-77.12297,1.215464,2,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04103,I-270,NORTHBOUND,MD-187/OLD GEORGETOWN RD/EXIT 1,MD,MONTGOMERY,20814,39.03014,-77.12297,39.03093,-77.12763,0.256706,3,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04104,I-270,NORTHBOUND,I-270-SPUR,MD,MONTGOMERY,20817,39.03093,-77.12763,39.03257,-77.13789,0.563975,4,America/New_York,P1.1,USA,2019-10-31 15:30:00-04:00,
110P04104,I-270,NORTHBOUND,I-270-SPUR,MD,MONTGOMERY,20817,39.03257,-77.13789,39.0378,-77.14535,0.560561,5,America/New_York,P1.1,USA,2019-10-31 15:30:00-04:00,
110+04105,I-270,NORTHBOUND,MONTROSE RD/EXIT 4,MD,MONTGOMERY,20852,39.0378,-77.14535,39.04895,-77.15117,0.83048,6,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04105,I-270,NORTHBOUND,MONTROSE RD/EXIT 4,MD,MONTGOMERY,20852,39.04895,-77.15117,39.06031,-77.1554,0.81702,7,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04106,I-270,NORTHBOUND,MD-189/FALLS RD/EXIT 5,MD,MONTGOMERY,20850,39.06031,-77.1554,39.07017,-77.15997,0.73,8,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04106,I-270,NORTHBOUND,MD-189/FALLS RD/EXIT 5,MD,MONTGOMERY,20850,39.07017,-77.15997,39.07599,-77.16702,0.552687,9,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04107,I-270,NORTHBOUND,MD-28/MONTGOMERY AVE/EXIT 6,MD,MONTGOMERY,20850,39.07599,-77.16702,39.08253,-77.17198,0.525904,10,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04107,I-270,NORTHBOUND,MD-28/MONTGOMERY AVE/EXIT 6,MD,MONTGOMERY,20850,39.08253,-77.17198,39.09087,-77.17492,0.596912,11,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04108,I-270,NORTHBOUND,SHADY GROVE RD/EXIT 8,MD,MONTGOMERY,20850,39.09087,-77.17492,39.10923,-77.1859,1.412019,12,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04108,I-270,NORTHBOUND,SHADY GROVE RD/EXIT 8,MD,MONTGOMERY,20850,39.10923,-77.1859,39.11357,-77.19055,0.390046,13,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04109,I-270,NORTHBOUND,I-370/SAM EIG HWY/EXIT 9,MD,MONTGOMERY,20850,39.11357,-77.19055,39.11658,-77.19375,0.269609,14,America/New_York,P1.1,USA,2019-10-31 15:30:00-04:00,
110P04109,I-270,NORTHBOUND,I-370/SAM EIG HWY/EXIT 9,MD,MONTGOMERY,20850,39.11658,-77.19375,39.12995,-77.20494,1.103247,15,America/New_York,P1.1,USA,2019-10-31 15:30:00-04:00,
110+04110,I-270,NORTHBOUND,MD-117/EXIT 10,MD,MONTGOMERY,20878,39.12995,-77.20494,39.1368,-77.21058,0.562547,16,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04110,I-270,NORTHBOUND,MD-117/EXIT 10,MD,MONTGOMERY,20878,39.1368,-77.21058,39.14051,-77.2125,0.276117,17,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04111,I-270,NORTHBOUND,MD-124/QUINCE ORCHARD/EXIT 11,MD,MONTGOMERY,20878,39.14051,-77.2125,39.14634,-77.21506,0.425469,18,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04111,I-270,NORTHBOUND,MD-124/QUINCE ORCHARD/EXIT 11,MD,MONTGOMERY,20878,39.14634,-77.21506,39.15444,-77.22278,0.700193,19,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04112,I-270,NORTHBOUND,MIDDLEBROOK RD/EXIT 13,MD,MONTGOMERY,20874,39.15444,-77.22278,39.17322,-77.2454,1.811172,20,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04112,I-270,NORTHBOUND,MIDDLEBROOK RD/EXIT 13,MD,MONTGOMERY,20874,39.17322,-77.2454,39.17589,-77.24726,0.209529,21,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04113,I-270,NORTHBOUND,MD-118/EXIT 15,MD,MONTGOMERY,20841,39.17589,-77.24726,39.18146,-77.25181,0.455536,22,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04113,I-270,NORTHBOUND,MD-118/EXIT 15,MD,MONTGOMERY,20841,39.18146,-77.25181,39.18789,-77.25746,0.5381,23,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04114,I-270,NORTHBOUND,FATHER HURLEY BLVD/EXIT 16,MD,MONTGOMERY,20841,39.18789,-77.25746,39.19355,-77.26032,0.420018,24,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04114,I-270,NORTHBOUND,FATHER HURLEY BLVD/EXIT 16,MD,MONTGOMERY,20841,39.19355,-77.26032,39.20057,-77.26596,0.574461,25,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04115,I-270,NORTHBOUND,MD-121,MD,MONTGOMERY,20841,39.20057,-77.26596,39.22877,-77.28293,2.188593,26,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04115,I-270,NORTHBOUND,MD-121,MD,MONTGOMERY,20841,39.22877,-77.28293,39.23112,-77.28431,0.178229,27,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04116,I-270,NORTHBOUND,MD-109/EXIT 22,MD,MONTGOMERY,20842,39.23112,-77.28431,39.27808,-77.32362,3.912122,28,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04116,I-270,NORTHBOUND,MD-109/EXIT 22,MD,MONTGOMERY,20842,39.27808,-77.32362,39.28016,-77.32455,0.15209,29,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04117,I-270,NORTHBOUND,MD-80/EXIT 26,MD,FREDERICK,21704,39.28016,-77.32455,39.32372,-77.35722,3.573292,30,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04117,I-270,NORTHBOUND,MD-80/EXIT 26,MD,FREDERICK,21704,39.32372,-77.35722,39.32421,-77.35901,0.101847,31,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04118,I-270,NORTHBOUND,MD-85/EXIT 31,MD,FREDERICK,21703,39.32421,-77.35901,39.37993,-77.40793,4.816456,32,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04118,I-270,NORTHBOUND,MD-85/EXIT 31,MD,FREDERICK,21703,39.37993,-77.40793,39.38438,-77.41179,0.370292,33,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110+04119,I-270,NORTHBOUND,I-70/BALTIMORE NATL PIKE/EXIT 32,MD,FREDERICK,21703,39.38438,-77.41179,39.39077,-77.4174,0.533441,34,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
110P04119,I-270,NORTHBOUND,I-70/BALTIMORE NATL PIKE/EXIT 32,MD,FREDERICK,21703,39.39077,-77.4174,39.39932,-77.42562,0.736331,35,America/New_York,P1.3,USA,2019-10-31 15:30:00-04:00,
