tmc,road,direction,intersection,state,county,zip,start_latitude,start_longitude,end_latitude,end_longitude,miles,road_order
110N05711,VA-7,EASTBOUND,VA-228/DRANESVILLE RD,VA,FAIRFAX COUNTY,20170,39.014400000000,-77.371500000000,39.014100000000,-77.370900000000,0.038620,38
110-05710,VA-7,EASTBOUND,VA-7100/HOLLY KNOLL DR,VA,FAIRFAX COUNTY,20170,39.014100000000,-77.370900000000,39.012700000000,-77.368400000000,0.164895,39
110N05710,VA-7,EASTBOUND,VA-7100/HOLLY KNOLL DR,VA,FAIRFAX COUNTY,20170,39.012700000000,-77.368400000000,39.008600000000,-77.360500000000,0.512158,40
110-05709,VA-7,EASTBOUND,SUGARLAND RD,VA,FAIRFAX COUNTY,20170,39.008600000000,-77.360500000000,39.002800000000,-77.350200000000,0.682589,41
110-05708,VA-7,EASTBOUND,VA-193/GEORGETOWN PIKE,VA,FAIRFAX COUNTY,20170,39.002800000000,-77.350200000000,39.000500000000,-77.345500000000,0.296731,42
110N05708,VA-7,EASTBOUND,VA-193/GEORGETOWN PIKE,VA,FAIRFAX COUNTY,20170,39.000500000000,-77.345500000000,39.000500000000,-77.345400000000,0.006842,42.1
110-05707,VA-7,EASTBOUND,RESTON PKWY,VA,FAIRFAX COUNTY,20170,39.000500000000,-77.345400000000,38.994600000000,-77.336500000000,0.630168,43
110N05707,VA-7,EASTBOUND,RESTON PKWY,VA,FAIRFAX COUNTY,20170,38.994600000000,-77.336500000000,38.994500000000,-77.336400000000,0.009041,43.1
110-05706,VA-7,EASTBOUND,SPRINGVALE RD,VA,FAIRFAX COUNTY,20170,38.994500000000,-77.336400000000,38.977800000000,-77.315700000000,1.616830,44
110N05706,VA-7,EASTBOUND,SPRINGVALE RD,VA,FAIRFAX COUNTY,22182,38.977800000000,-77.315700000000,38.977300000000,-77.314700000000,0.066453,45
110-05705,VA-7,EASTBOUND,COLVIN FOREST DR,VA,FAIRFAX COUNTY,22182,38.977300000000,-77.314700000000,38.973800000000,-77.303900000000,0.629957,46
110-05704,VA-7,EASTBOUND,COLVIN RUN RD,VA,FAIRFAX COUNTY,22182,38.973800000000,-77.303900000000,38.967200000000,-77.291500000000,0.811698,47
