,_vatmc_code,measurement_tstamp,speed,reference_speed
0,110-05695,2015-04-01 00:00:00,31.0,31.0
1,110+05696,2015-04-01 00:00:00,32.0,32.0
2,110P05699,2015-04-01 00:00:00,36.0,36.0
3,110+05704,2015-04-01 00:00:00,50.0,50.0
4,110+05695,2015-04-01 00:00:00,31.0,31.0
5,110+05707,2015-04-01 00:00:00,48.0,48.0
6,110-05703,2015-04-01 00:00:00,50.0,50.0
7,110+05706,2015-04-01 00:00:00,48.0,48.0
8,110+05700,2015-04-01 00:00:00,40.0,40.0
9,110+05697,2015-04-01 00:00:00,42.0,36.0
10,110+05694,2015-04-01 00:00:00,31.0,31.0
11,110P05706,2015-04-01 00:00:00,48.0,48.0
12,110N05695,2015-04-01 00:00:00,33.0,33.0
13,110P05707,2015-04-01 00:00:00,45.0,45.0
14,110-05707,2015-04-01 00:00:00,50.0,50.0
15,110+05709,2015-04-01 00:00:00,47.0,47.0
16,110-05702,2015-04-01 00:00:00,48.0,48.0
17,110-05708,2015-04-01 00:00:00,48.0,48.0
18,110+05699,2015-04-01 00:00:00,35.0,35.0
19,110+05698,2015-04-01 00:00:00,35.0,35.0
20,110-05698,2015-04-01 00:00:00,33.77,30.0
21,110P05694,2015-04-01 00:00:00,31.0,31.0
22,110N05692,2015-04-01 00:00:00,33.0,33.0
23,110+05703,2015-04-01 00:00:00,48.0,48.0
24,110P05697,2015-04-01 00:00:00,39.0,35.0
25,110P05692,2015-04-01 00:00:00,29.0,29.0
26,110N05696,2015-04-01 00:00:00,25.0,25.0
27,110+05701,2015-04-01 00:00:00,42.0,42.0
28,110-05710,2015-04-01 00:00:00,44.0,44.0
29,110N05711,2015-04-01 00:00:00,44.0,44.0
30,110N05697,2015-04-01 00:00:00,32.0,32.0
31,110N05699,2015-04-01 00:00:00,36.0,36.0
32,110N05694,2015-04-01 00:00:00,30.0,30.0
33,110-05699,2015-04-01 00:00:00,40.0,40.0
34,110+05702,2015-04-01 00:00:00,47.0,47.0
35,110+05711,2015-04-01 00:00:00,41.0,41.0
36,110-05704,2015-04-01 00:00:00,50.0,50.0
37,110+05708,2015-04-01 00:00:00,45.0,45.0
38,110P05696,2015-04-01 00:00:00,42.0,31.0
39,110N05707,2015-04-01 00:00:00,50.0,50.0
40,110N05698,2015-04-01 00:00:00,33.77,30.0
41,110-05693,2015-04-01 00:00:00,30.0,30.0
42,110N05706,2015-04-01 00:00:00,41.0,41.0
43,110-05697,2015-04-01 00:00:00,33.77,30.0
44,110+05693,2015-04-01 00:00:00,31.0,31.0
45,110-05705,2015-04-01 00:00:00,50.0,50.0
46,110-05706,2015-04-01 00:00:00,48.0,48.0
47,110P05710,2015-04-01 00:00:00,49.0,49.0
48,110N05710,2015-04-01 00:00:00,49.0,49.0
49,110-05701,2015-04-01 00:00:00,47.0,47.0
50,110P05695,2015-04-01 00:00:00,35.0,35.0
51,110+05705,2015-04-01 00:00:00,48.0,48.0
52,110-05709,2015-04-01 00:00:00,48.0,48.0
