name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,77,5565454,18046,13088,1,238.51311548173268,1,59,,motorway,1,"LINESTRING (-112.1148898 33.6420933, -112.1149666 33.6422813, -112.1150283 33.6424543, -112.1150871 33.6426574, -112.1151228 33.6428195, -112.1151355 33.6429249, -112.1151465 33.6430133, -112.1151575 33.6431437, -112.1151625 33.6434665, -112.1151462 33.6437758, -112.1151735 33.6442095)",auto,0
,80,5567209,13081,13084,1,288.98664869969355,2,59,,motorway,1,"LINESTRING (-112.1159268 33.6346955, -112.1157912 33.6352773, -112.1157605 33.6356867, -112.1157233 33.6360646, -112.1156541 33.6366448, -112.1155806 33.6370543, -112.1155219 33.6372686)",auto,0
,119,5571406,103,104,1,535.7030732805076,1,59,,motorway,1,"LINESTRING (-112.2401327 33.6149958, -112.2403664 33.6146905, -112.2406067 33.6143082, -112.2408067 33.6139873, -112.2412844 33.6133985, -112.2415695 33.613072, -112.2417905 33.6128515, -112.2421998 33.6125035, -112.2426193 33.6122142, -112.2432668 33.6118294, -112.2439537 33.6115045)",auto,0
,126,5573783,63,23283,1,239.84346916710427,1,59,,motorway,1,"LINESTRING (-112.1154567 33.6442126, -112.1155568 33.6438109, -112.1156093 33.6431796, -112.1156202 33.6429884, -112.1156511 33.6428258, -112.1157045 33.6426299, -112.1157723 33.6424387, -112.1159042 33.6421664, -112.1159399 33.6421097)",auto,0
,156,5578002,13073,22773,1,331.18592881983494,1,59,,motorway,1,"LINESTRING (-112.1169256 33.6224553, -112.1168657 33.6218635, -112.1168288 33.6212411, -112.1168284 33.6209711, -112.1168277 33.6206835, -112.1168357 33.6196092, -112.1167526 33.6194998)",auto,0
,159,5578745,164,163,1,320.7127737180249,1,59,,motorway,1,"LINESTRING (-112.1164902 33.6308527, -112.1165684 33.6307397, -112.1166559 33.629795, -112.1167313 33.6292855, -112.1167841 33.6288298, -112.1168454 33.6283193, -112.1169062 33.6280012)",auto,0
,162,5579990,13469,13334,1,497.46078416322194,1,59,,motorway,1,"LINESTRING (-112.2491263 33.6058345, -112.2488143 33.6059926, -112.2484682 33.6062351, -112.2479036 33.6066227, -112.2473481 33.6070254, -112.2468878 33.6072957, -112.2464718 33.6074988, -112.2461688 33.6076301, -112.2458227 33.6077623, -112.2446243 33.6082197)",auto,0
,191,5581640,15271,15274,1,743.4921801965488,1,50,,motorway,1,"LINESTRING (-112.2319396 33.6553839, -112.2319576 33.6564052, -112.2319825 33.658572, -112.2319611 33.6589426, -112.2319181 33.6594025, -112.2318269 33.6599115, -112.2317357 33.6603312, -112.2316116 33.6607556, -112.2314927 33.6611406, -112.2314214 33.6613265, -112.231316 33.661587, -112.2311987 33.6619958)",auto,0
,192,5581682,14887,13072,1,94.18707076631395,1,59,,motorway,1,"LINESTRING (-112.1163637 33.6136884, -112.116419 33.6139772, -112.1164447 33.6141878, -112.1165043 33.6145271)",auto,0
,193,5581684,189,11631,1,371.63786745280817,1,59,,motorway,1,"LINESTRING (-112.1167826 33.6160745, -112.1168652 33.6156501, -112.116888 33.6147712, -112.1169141 33.6142102, -112.1170297 33.613262, -112.1170576 33.6129995, -112.1171349 33.6127526)",auto,0
,206,5583975,206,16781,1,185.47214042293567,2,59,,motorway,1,"LINESTRING (-112.1172559 33.6099079, -112.1172127 33.6097547, -112.1171356 33.6090506, -112.1171074 33.6088328, -112.1170791 33.608615, -112.1170348 33.6082514)",auto,0
,235,5585960,234,15953,1,457.8779774587397,1,59,,motorway,1,"LINESTRING (-112.1161558 33.6278839, -112.1161929 33.6282965, -112.1162036 33.628563, -112.1161987 33.6292016, -112.1161753 33.6297532, -112.1161484 33.6302788, -112.1160822 33.6315091, -112.116069 33.6317765, -112.1161187 33.6319942)",auto,0
Agua Fria Freeway,13008,5630345,13065,13491,1,1113.6742515272306,4,65,,motorway,1,"LINESTRING (-112.1133522 33.6688513, -112.1143726 33.6688514, -112.1176034 33.6688513, -112.1189996 33.668861, -112.1208828 33.6688535, -112.1219093 33.6688503, -112.1226659 33.6688491, -112.1253863 33.6688484)",auto,0
Pima Freeway,29256,14926107,13069,13446,1,497.98663188171344,3,65,,motorway,1,"LINESTRING (-112.1133621 33.6686404, -112.11282 33.6686427, -112.112401 33.6686445, -112.1114247 33.6686438, -112.1110683 33.6686472, -112.1106354 33.6686481, -112.1103278 33.6686466, -112.110038 33.6686452, -112.1095672 33.6686476, -112.1090584 33.668645, -112.1079815 33.6686182)",auto,0
Pima Freeway,29257,14926107,13446,13068,1,199.83228944749774,3,65,,motorway,1,"LINESTRING (-112.1079815 33.6686182, -112.1068751 33.6686268, -112.1058222 33.6686277)",auto,0
,29260,23724676,21515,236,1,374.48862717429495,1,59,,motorway,1,"LINESTRING (-112.1165022 33.6194886, -112.1164189 33.6196258, -112.1164043 33.6207475, -112.1163775 33.6212672, -112.1163085 33.6220341, -112.1162668 33.6224675, -112.1161864 33.6228297)",auto,0
,29261,23724842,13086,18036,1,101.79525542078345,2,59,,motorway,1,"LINESTRING (-112.1170254 33.638928, -112.1168865 33.6387719, -112.1166717 33.6384491, -112.1165704 33.6382679, -112.1164978 33.6381281)",auto,0
,29263,23725356,13092,23284,1,256.6431816613493,1,59,,motorway,1,"LINESTRING (-112.1146441 33.6578152, -112.1146419 33.6573509, -112.1146682 33.6569199, -112.1147043 33.6564328, -112.1147549 33.6557976, -112.1147698 33.6555103)",auto,0
,29264,23725360,13096,13095,1,216.92896195099155,1,59,,motorway,1,"LINESTRING (-112.1150895 33.6539164, -112.1150608 33.653829, -112.1150586 33.6534669, -112.1150703 33.6530144, -112.1150602 33.6525401, -112.1150568 33.6520941, -112.1150389 33.6519698)",auto,0
,29265,23725379,13099,18014,1,150.86137698283463,1,59,,motorway,1,"LINESTRING (-112.1145226 33.6509407, -112.1144781 33.6511424, -112.114445 33.6514047, -112.1143786 33.6519613, -112.1143265 33.652287)",auto,0
,29266,23725387,13099,18015,1,150.79581730485683,1,59,,motorway,1,"LINESTRING (-112.1145226 33.6509407, -112.1145218 33.6511462, -112.1144899 33.6514037, -112.114425 33.6519795, -112.1143958 33.652292)",auto,0
