link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,length,grade,facility_type,capacity,free_speed,lanes
100000001,115N04140,AZ-101-LOOP_EASTBOUND,14.0,100000001,100000084,1,,"LINESTRING (-112.11639 33.66864,-112.09772 33.66952)",1,1.077861,,,,,
100000002,115+04140,AZ-101-LOOP_WESTBOUND,21.0,100000002,100000003,1,,"LINESTRING (-112.0943 33.66976,-112.1003 33.66944)",1,0.346227,,,,,
100000003,115+04380,AZ-101-LOOP_WESTBOUND,5.0,100000004,100000086,1,,"LINESTRING (-111.91411000000001 33.65597,-111.919 33.65699)",1,0.289879,,,,,
100000004,115P05163,AZ-101-LOOP_WESTBOUND,12.0,100000005,100000006,1,,"LINESTRING (-111.98857 33.67302,-112.00941999999999 33.67293)",1,1.20979,,,,,
100000005,115P05164,AZ-101-LOOP_WESTBOUND,4.0,100000007,100000004,1,,"LINESTRING (-111.9015 33.65314,-111.91411000000001 33.65597)",1,0.751632,,,,,
100000006,115N04380,AZ-101-LOOP_EASTBOUND,30.0,100000008,100000009,1,,"LINESTRING (-111.93121000000001 33.65932,-111.91911999999999 33.65682)",1,0.7163010000000001,,,,,
100000007,115N04374,AZ-101-LOOP_EASTBOUND,16.0,100000010,100000087,1,,"LINESTRING (-112.09523999999999 33.66959,-112.09151000000001 33.66939)",1,0.21506599999999998,,,,,
100000008,115+04136,AZ-101-LOOP_WESTBOUND,29.0,100000011,100000012,1,,"LINESTRING (-112.1766 33.66845,-112.18048 33.668440000000004)",1,0.223073,,,,,
100000009,115+04378,AZ-101-LOOP_WESTBOUND,9.0,100000013,100000056,1,,"LINESTRING (-111.96457 33.67013,-111.97089 33.67259)",1,0.402386,,,,,
100000010,115+04137,AZ-101-LOOP_WESTBOUND,27.0,100000014,100000065,1,,"LINESTRING (-112.1401 33.669740000000004,-112.16288 33.669509999999995)",1,1.3099379999999998,,,,,
100000011,115N04373,AZ-101-LOOP_SOUTHBOUND,32.0,100000015,100000016,1,,"LINESTRING (-111.89787 33.6511,-111.89072 33.6413)",1,0.8105720000000001,,,,,
100000012,115+04379,AZ-101-LOOP_WESTBOUND,7.0,100000017,100000064,1,,"LINESTRING (-111.93113999999998 33.65951,-111.95401000000001 33.66519)",1,1.376025,,,,,
100000013,115+04376,AZ-101-LOOP_WESTBOUND,15.0,100000018,100000073,1,,"LINESTRING (-112.03833 33.67009,-112.05912 33.66917)",1,1.204628,,,,,
100000014,115+04134,AZ-101-LOOP_WESTBOUND,33.0,100000019,100000071,1,,"LINESTRING (-112.20983000000001 33.66778,-112.21383999999999 33.667790000000004)",1,0.230589,,,,,
100000015,115N04372,AZ-101-LOOP_SOUTHBOUND,34.0,100000020,100000021,1,,"LINESTRING (-111.89045 33.63808,-111.89056000000001 33.6296)",1,0.585847,,,,,
100000016,115+04377,AZ-101-LOOP_WESTBOUND,13.0,100000006,100000059,1,,"LINESTRING (-112.00941999999999 33.67293,-112.02378999999999 33.67283)",1,0.8261809999999999,,,,,
100000017,115+04135,AZ-101-LOOP_WESTBOUND,31.0,100000023,100000024,1,,"LINESTRING (-112.19294 33.66837,-112.19671000000001 33.66832)",1,0.21679600000000002,,,,,
100000018,115N04378,AZ-101-LOOP_EASTBOUND,26.0,100000025,100000026,1,,"LINESTRING (-111.98383999999999 33.67283,-111.97086999999999 33.67237)",1,0.7489020000000001,,,,,
100000019,115N04136,AZ-101-LOOP_EASTBOUND,6.0,100000027,100000028,1,,"LINESTRING (-112.19323 33.66819,-112.18051000000001 33.66826)",1,0.73161,,,,,
