name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,name_base,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
115-04134,AZ-101-LOOP_CLOCKWISE,0,100000001,100000002,1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",Agua Fria Freeway,46032,15274,13339,1,"LINESTRING (-112.2311987 33.6619958, -112.230919 33.6624555, -112.2305842 33.6629556, -112.2300263 33.6636557, -112.2296561 33.6640453, -112.2294371 33.6642725, -112.228928 33.6647209, -112.2286686 33.6649401, -112.228241 33.6652559, -112.2277649 33.6655923, -112.2272644 33.6658995, -112.2268235 33.666137, -112.226401 33.6663387)","MULTILINESTRING ((-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996), (-112.2311987 33.6619958, -112.230919 33.6624555, -112.2305842 33.6629556, -112.2300263 33.6636557, -112.2296561 33.6640453, -112.2294371 33.6642725, -112.228928 33.6647209, -112.2286686 33.6649401, -112.228241 33.6652559, -112.2277649 33.6655923, -112.2272644 33.6658995, -112.2268235 33.666137, -112.226401 33.6663387))",4.546086228563111e-05
115-04134,AZ-101-LOOP_CLOCKWISE,0,100000001,100000002,1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",Agua Fria Freeway,47231,13339,13340,1,"LINESTRING (-112.226401 33.6663387, -112.225709 33.666656, -112.2252287 33.6668415, -112.2248475 33.6669647, -112.2243023 33.6671277, -112.2238208 33.6672418, -112.2232117 33.6673733, -112.2227793 33.6674502, -112.2222779 33.6675332, -112.221865 33.6675892)","MULTILINESTRING ((-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996), (-112.226401 33.6663387, -112.225709 33.666656, -112.2252287 33.6668415, -112.2248475 33.6669647, -112.2243023 33.6671277, -112.2238208 33.6672418, -112.2232117 33.6673733, -112.2227793 33.6674502, -112.2222779 33.6675332, -112.221865 33.6675892))",3.084575976741902e-05
115-04134,AZ-101-LOOP_CLOCKWISE,0,100000001,100000002,1,"LINESTRING (-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996)",Agua Fria Freeway,46026,13340,18431,1,"LINESTRING (-112.221865 33.6675892, -112.2212823 33.6676688, -112.2209785 33.6676922, -112.2205669 33.6677193, -112.2203707 33.6677283, -112.2200891 33.6677308, -112.2196843 33.6677301, -112.2193026 33.6677225, -112.2177524 33.6676918, -112.216285 33.6676455, -112.2156413 33.6676317, -112.2144993 33.6675919, -112.2140335 33.6675855, -112.2134331 33.6675708, -112.2128514 33.6675591, -112.2123082 33.6675563)","MULTILINESTRING ((-112.22641999999999 33.66638,-112.21453999999999 33.667629999999996), (-112.221865 33.6675892, -112.2212823 33.6676688, -112.2209785 33.6676922, -112.2205669 33.6677193, -112.2203707 33.6677283, -112.2200891 33.6677308, -112.2196843 33.6677301, -112.2193026 33.6677225, -112.2177524 33.6676918, -112.216285 33.6676455, -112.2156413 33.6676317, -112.2144993 33.6675919, -112.2140335 33.6675855, -112.2134331 33.6675708, -112.2128514 33.6675591, -112.2123082 33.6675563))",0.0007293376265700403
115N04134,AZ-101-LOOP_CLOCKWISE,1,100000002,100000003,2,"LINESTRING (-112.21453999999999 33.667629999999996,-112.21385 33.6676)",Agua Fria Freeway,46026,13340,18431,2,"LINESTRING (-112.221865 33.6675892, -112.2212823 33.6676688, -112.2209785 33.6676922, -112.2205669 33.6677193, -112.2203707 33.6677283, -112.2200891 33.6677308, -112.2196843 33.6677301, -112.2193026 33.6677225, -112.2177524 33.6676918, -112.216285 33.6676455, -112.2156413 33.6676317, -112.2144993 33.6675919, -112.2140335 33.6675855, -112.2134331 33.6675708, -112.2128514 33.6675591, -112.2123082 33.6675563)","MULTILINESTRING ((-112.21453999999999 33.667629999999996,-112.21385 33.6676), (-112.221865 33.6675892, -112.2212823 33.6676688, -112.2209785 33.6676922, -112.2205669 33.6677193, -112.2203707 33.6677283, -112.2200891 33.6677308, -112.2196843 33.6677301, -112.2193026 33.6677225, -112.2177524 33.6676918, -112.216285 33.6676455, -112.2156413 33.6676317, -112.2144993 33.6675919, -112.2140335 33.6675855, -112.2134331 33.6675708, -112.2128514 33.6675591, -112.2123082 33.6675563))",3.665930219509705e-05
115-04135,AZ-101-LOOP_CLOCKWISE,2,100000003,100000004,3,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",Agua Fria Freeway,46026,13340,18431,3,"LINESTRING (-112.221865 33.6675892, -112.2212823 33.6676688, -112.2209785 33.6676922, -112.2205669 33.6677193, -112.2203707 33.6677283, -112.2200891 33.6677308, -112.2196843 33.6677301, -112.2193026 33.6677225, -112.2177524 33.6676918, -112.216285 33.6676455, -112.2156413 33.6676317, -112.2144993 33.6675919, -112.2140335 33.6675855, -112.2134331 33.6675708, -112.2128514 33.6675591, -112.2123082 33.6675563)","MULTILINESTRING ((-112.21385 33.6676,-112.2095 33.667609999999996), (-112.221865 33.6675892, -112.2212823 33.6676688, -112.2209785 33.6676922, -112.2205669 33.6677193, -112.2203707 33.6677283, -112.2200891 33.6677308, -112.2196843 33.6677301, -112.2193026 33.6677225, -112.2177524 33.6676918, -112.216285 33.6676455, -112.2156413 33.6676317, -112.2144993 33.6675919, -112.2140335 33.6675855, -112.2134331 33.6675708, -112.2128514 33.6675591, -112.2123082 33.6675563))",1.8987064779761568e-05
115-04135,AZ-101-LOOP_CLOCKWISE,2,100000003,100000004,3,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",Agua Fria Freeway,47228,18431,13457,3,"LINESTRING (-112.2123082 33.6675563, -112.2111779 33.6675632, -112.2101533 33.6675875)","MULTILINESTRING ((-112.21385 33.6676,-112.2095 33.667609999999996), (-112.2123082 33.6675563, -112.2111779 33.6675632, -112.2101533 33.6675875))",4.715139074814608e-05
115-04135,AZ-101-LOOP_CLOCKWISE,2,100000003,100000004,3,"LINESTRING (-112.21385 33.6676,-112.2095 33.667609999999996)",Agua Fria Freeway,46028,13457,13341,3,"LINESTRING (-112.2101533 33.6675875, -112.207161 33.6676775, -112.2033172 33.6678374, -112.2027619 33.6678596, -112.1967281 33.668103)","MULTILINESTRING ((-112.21385 33.6676,-112.2095 33.667609999999996), (-112.2101533 33.6675875, -112.207161 33.6676775, -112.2033172 33.6678374, -112.2027619 33.6678596, -112.1967281 33.668103))",1.9758644924432373e-05
115N04135,AZ-101-LOOP_CLOCKWISE,3,100000004,100000005,4,"LINESTRING (-112.2095 33.667609999999996,-112.19649 33.66815)",Agua Fria Freeway,46028,13457,13341,4,"LINESTRING (-112.2101533 33.6675875, -112.207161 33.6676775, -112.2033172 33.6678374, -112.2027619 33.6678596, -112.1967281 33.668103)","MULTILINESTRING ((-112.2095 33.667609999999996,-112.19649 33.66815), (-112.2101533 33.6675875, -112.207161 33.6676775, -112.2033172 33.6678374, -112.2027619 33.6678596, -112.1967281 33.668103))",2.8492779559277066e-06
115-04136,AZ-101-LOOP_CLOCKWISE,4,100000005,100000006,5,"LINESTRING (-112.19649 33.66815,-112.19323 33.66819)",Agua Fria Freeway,46030,13341,13342,5,"LINESTRING (-112.1967281 33.668103, -112.1954537 33.6681418, -112.1940721 33.6681579)","MULTILINESTRING ((-112.19649 33.66815,-112.19323 33.66819), (-112.1967281 33.668103, -112.1954537 33.6681418, -112.1940721 33.6681579))",3.973246828558996e-05
115-04136,AZ-101-LOOP_CLOCKWISE,4,100000005,100000006,5,"LINESTRING (-112.19649 33.66815,-112.19323 33.66819)",Agua Fria Freeway,46025,13342,13343,5,"LINESTRING (-112.1940721 33.6681579, -112.192759 33.6681574, -112.1915185 33.6681368, -112.1903848 33.6681145, -112.1889854 33.668087, -112.1871457 33.6680679, -112.1864723 33.668075, -112.1858315 33.6680784, -112.1848687 33.6681068, -112.1832564 33.6681543, -112.1810447 33.6682195, -112.1802672 33.6682334, -112.179182 33.6682334, -112.1789042 33.6682349)","MULTILINESTRING ((-112.19649 33.66815,-112.19323 33.66819), (-112.1940721 33.6681579, -112.192759 33.6681574, -112.1915185 33.6681368, -112.1903848 33.6681145, -112.1889854 33.668087, -112.1871457 33.6680679, -112.1864723 33.668075, -112.1858315 33.6680784, -112.1848687 33.6681068, -112.1832564 33.6681543, -112.1810447 33.6682195, -112.1802672 33.6682334, -112.179182 33.6682334, -112.1789042 33.6682349))",2.252273083943172e-05
