name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,13365812,,,0,,,,-111.9259305,33.6582103,,,
,1,41191945,,,0,,,,-112.0313816,33.6509981,,,
,2,41191946,,,0,,,,-112.0348953,33.6509874,,,
,3,41191954,,,0,,,,-112.030863,33.6504442,,,
,4,41191956,,,0,,,,-112.031384,33.650479,,,
,5,41191959,,,0,,,,-112.0348915,33.6504459,,,
,6,41195658,,,0,,,,-111.9194548,33.6086506,,,
,7,41195661,,,0,,,,-111.9206715,33.6086613,,,
,8,41197706,,,0,,,,-112.1982361,33.6358627,,,
,9,41197710,turning_circle,,0,,,,-112.1983005,33.6359806,,,
,10,41197715,,,0,,,,-112.1966844,33.6313276,,,
,11,41197718,turning_circle,,0,,,,-112.1968614,33.6315062,,,
,12,41200245,,,0,,,,-111.9491346,33.6322904,,,
,13,41200248,turning_circle,,0,,,,-111.9488665,33.6323668,,,
,14,41202593,,,0,,,,-111.9033569,33.6751654,,,
,15,41202596,,,0,,,,-111.9042527,33.6741163,,,
,16,41202604,,,0,,,,-111.9060208,33.6730626,,,
,17,41202608,,,0,,,,-111.9063287,33.6728127,,,
,18,41202640,,,0,,,,-111.9026742,33.6756251,,,
,19,41208998,,,0,,,,-112.1774773,33.6684651,,,
,21,41209007,motorway_junction,,0,,,,-112.1624334,33.6695704,,,
,22,41211089,,,0,,,,-112.1805586,33.6251727,,,
,23,41211137,,,0,,,,-112.1840399,33.6206203,,,
,24,41211451,,,0,,,,-111.8842748,33.6174758,,,
,25,41211453,turning_circle,,0,,,,-111.8841377,33.6175729,,,
,26,41215083,motorway_junction,,0,,,,-112.2353197,33.6438651,,,
,27,41228062,,,0,,,,-111.9378019,33.6266109,,,
,28,41228065,,,0,,,,-111.938463,33.6267698,,,
,29,41228078,,,0,,,,-111.9384457,33.6279099,,,
,30,41231536,,,0,,,,-112.0161663,33.6376292,,,
,31,41231542,,,0,,,,-112.0160032,33.6379848,,,
,32,41231592,,,0,,,,-112.0165263,33.6379869,,,
,33,41233194,,,0,,,,-112.063322,33.6515759,,,
,34,41233195,,,0,,,,-112.0633412,33.651928,,,
,35,41237421,,,0,,,,-112.2212341,33.6630514,,,
,36,41237423,turning_circle,,0,,,,-112.2211151,33.6631348,,,
,37,41238647,,,0,,,,-112.2339393,33.6470575,,,
,38,41238654,,,0,,,,-112.233041,33.6528302,,,
,39,41238662,,,0,,,,-112.2325358,33.6559592,,,
,40,41243033,,,0,,,,-112.0201551,33.6356343,,,
,41,41243034,,,0,,,,-112.0201591,33.6361776,,,
,42,41243038,,,0,,,,-112.0210262,33.6359634,,,
,43,41243039,,,0,,,,-112.0210262,33.6361748,,,
,44,41243043,,,0,,,,-112.0198286,33.6347319,,,
,45,41243051,,,0,,,,-112.0198248,33.6344309,,,
,46,41243861,,,0,,,,-112.0628692,33.6529937,,,
,47,41243863,,,0,,,,-112.0628716,33.653368,,,
,48,41243864,,,0,,,,-112.0628646,33.6537287,,,
,49,41243866,,,0,,,,-112.0628606,33.6540765,,,
,50,41243868,,,0,,,,-112.0628385,33.6544212,,,
,51,41243870,,,0,,,,-112.0633461,33.6522747,,,
,52,41243871,,,0,,,,-112.0633233,33.6526175,,,
,53,41245532,,,0,,,,-112.028598,33.6353253,,,
,54,41248889,,,0,,,,-112.0089074,33.6072703,,,
,55,41251613,,,0,,,,-112.0190269,33.6344342,,,
,56,41253049,turning_circle,,0,,,,-111.9761752,33.6279361,,,
,57,41253052,,,0,,,,-111.9761778,33.6283371,,,
,58,41256897,,,0,,,,-112.0049867,33.633174,,,
,59,41256898,,,0,,,,-112.004987,33.6329821,,,
,60,41256901,,,0,,,,-112.0049873,33.6327989,,,
,61,41256920,,,0,,,,-112.0047863,33.6329818,,,
,62,41258675,,,0,,,,-111.8962953,33.6285122,,,
,63,41263216,motorway_junction,,0,,,,-112.1154567,33.6442126,,,
,64,41265916,,,0,,,,-112.2166742,33.609806,,,
,65,41265918,,,0,,,,-112.2166841,33.6103901,,,
,66,41271454,,,0,,,,-112.1839562,33.6081001,,,
,67,41278432,,,0,,,,-112.1160577,33.6363761,,,
,68,41281783,,,0,,,,-112.0199829,33.6377851,,,
,69,41281785,,,0,,,,-112.0196089,33.6377714,,,
,70,41281846,,,0,,,,-112.1994822,33.666781,,,
,71,41281850,turning_circle,,0,,,,-112.1995772,33.6669377,,,
,72,41283698,,,0,,,,-112.0089691,33.6189764,,,
,73,41288220,,,0,,,,-111.9185184,33.6139736,,,
,74,41288784,,,0,,,,-111.8829182,33.6701972,,,
,75,41291597,,,0,,,,-112.0549291,33.6404371,,,
,76,41291685,,,0,,,,-112.0181998,33.6381847,,,
,77,41294325,,,0,,,,-112.2006817,33.6154337,,,
,78,41294326,turning_circle,,0,,,,-112.200716,33.6156316,,,
,79,41294329,,,0,,,,-112.1889242,33.6160655,,,
,80,41294331,turning_circle,,0,,,,-112.1889269,33.6157901,,,
,81,41296510,,,0,,,,-112.108458,33.6544382,,,
,82,41298712,,,0,,,,-112.0365996,33.6545306,,,
,83,41301837,,,0,,,,-112.199382,33.6542142,,,
,84,41305266,,,0,,,,-112.1884846,33.6185148,,,
,85,41305268,turning_circle,,0,,,,-112.1884723,33.6182561,,,
,86,41305273,,,0,,,,-112.1865421,33.6181511,,,
,87,41305276,turning_circle,,0,,,,-112.186385,33.6181672,,,
,88,41305281,,,0,,,,-112.1864338,33.6178188,,,
,89,41305284,turning_circle,,0,,,,-112.1866725,33.617792,,,
,90,41305767,,,0,,,,-112.0093078,33.6575171,,,
,91,41309395,turning_circle,,0,,,,-112.1807016,33.6746142,,,
,92,41309397,,,0,,,,-112.1802681,33.6746391,,,
,93,41311809,,,0,,,,-112.0156558,33.6379834,,,
,94,41311845,,,0,,,,-112.1911439,33.6718746,,,
,95,41311846,turning_circle,,0,,,,-112.1910717,33.6717698,,,
,96,41311851,,,0,,,,-112.2031116,33.6740222,,,
,97,41315422,,,0,,,,-112.1909054,33.6228388,,,
,98,41315424,turning_circle,,0,,,,-112.1907012,33.6226432,,,
,99,41315428,,,0,,,,-112.193642,33.6216332,,,
,100,41315429,turning_circle,,0,,,,-112.1937519,33.6217909,,,
,101,41315924,,,0,,,,-112.1967022,33.6203261,,,
,102,41315925,turning_circle,,0,,,,-112.1969448,33.6203642,,,
,103,41316003,motorway_junction,,0,,,,-112.2401327,33.6149958,,,
,104,41316007,,,0,,,,-112.2439537,33.6115045,,,
,105,41316011,,,0,,,,-112.2451905,33.6105543,,,
,106,41316132,,,0,,,,-112.1144165,33.6506373,,,
,107,41319248,,,0,,,,-111.9778068,33.6063111,,,
,108,41319905,,,0,,,,-112.2462635,33.6067301,,,
,109,41319908,turning_circle,,0,,,,-112.2462867,33.6059995,,,
,110,41326892,,,0,,,,-111.9290012,33.6258754,,,
,112,41332345,,,0,,,,-111.8911628,33.625244,,,
,113,41332348,,,0,,,,-111.8997307,33.6126605,,,
,114,41334802,,,0,,,,-112.0914899,33.6296112,,,
