node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,geometry
100000001,115-04134,-112.22641999999999,33.66638,,tmc_start,,,POINT (-112.22641999999999 33.66638)
100000002,115N04134,-112.21453999999999,33.667629999999996,,tmc_start,,,POINT (-112.21453999999999 33.667629999999996)
100000003,115-04135,-112.21385,33.6676,,tmc_start,,,POINT (-112.21385 33.6676)
100000004,115N04135,-112.2095,33.667609999999996,,tmc_start,,,POINT (-112.2095 33.667609999999996)
100000005,115-04136,-112.19649,33.66815,,tmc_start,,,POINT (-112.19649 33.66815)
100000006,115N04136,-112.19323,33.66819,,tmc_start,,,POINT (-112.19323 33.66819)
100000007,115-04137,-112.18051000000001,33.66826,,tmc_start,,,POINT (-112.18051000000001 33.66826)
100000008,115N04137,-112.1766,33.668279999999996,,tmc_start,,,POINT (-112.1766 33.668279999999996)
100000009,115-04138,-112.161,33.66935,,tmc_start,,,POINT (-112.161 33.66935)
100000010,115N04138,-112.14013999999999,33.669540000000005,,tmc_start,,,POINT (-112.14013999999999 33.669540000000005)
100000011,115-04139,-112.13467,33.669090000000004,,tmc_start,,,POINT (-112.13467 33.669090000000004)
100000012,115N04139,-112.12732,33.66864,,tmc_start,,,POINT (-112.12732 33.66864)
100000013,115-04140,-112.11697,33.66865,,tmc_start,,,POINT (-112.11697 33.66865)
100000014,115N04140,-112.11639,33.66864,,tmc_start,,,POINT (-112.11639 33.66864)
100000015,115-04374,-112.09772,33.66952,,tmc_start,,,POINT (-112.09772 33.66952)
100000016,115N04374,-112.09523999999999,33.66959,,tmc_start,,,POINT (-112.09523999999999 33.66959)
100000017,115-04375,-112.09151000000001,33.66939,,tmc_start,,,POINT (-112.09151000000001 33.66939)
100000018,115N04375,-112.09007,33.66921,,tmc_start,,,POINT (-112.09007 33.66921)
100000019,115-04376,-112.07713000000001,33.66871,,tmc_start,,,POINT (-112.07713000000001 33.66871)
100000020,115N04376,-112.07275,33.66876,,tmc_start,,,POINT (-112.07275 33.66876)
100000021,115-04377,-112.05848999999999,33.66898,,tmc_start,,,POINT (-112.05848999999999 33.66898)
100000022,115N04377,-112.03737,33.6702,,tmc_start,,,POINT (-112.03737 33.6702)
100000023,115-05163,-112.02306000000002,33.67265,,tmc_start,,,POINT (-112.02306000000002 33.67265)
100000024,115N05163,-112.00683000000001,33.67265,,tmc_start,,,POINT (-112.00683000000001 33.67265)
100000025,115-04378,-111.98856,33.6728,,tmc_start,,,POINT (-111.98856 33.6728)
100000026,115N04378,-111.98383999999999,33.67283,,tmc_start,,,POINT (-111.98383999999999 33.67283)
100000027,115-04379,-111.97086999999999,33.67237,,tmc_start,,,POINT (-111.97086999999999 33.67237)
100000028,115N04379,-111.96503999999999,33.67009,,tmc_start,,,POINT (-111.96503999999999 33.67009)
100000029,115-04380,-111.95459,33.665209999999995,,tmc_start,,,POINT (-111.95459 33.665209999999995)
100000030,115N04380,-111.93121000000001,33.65932,,tmc_start,,,POINT (-111.93121000000001 33.65932)
100000031,115-05164,-111.91911999999999,33.65682,,tmc_start,,,POINT (-111.91911999999999 33.65682)
100000032,115N05164,-111.91423,33.6558,,tmc_start,,,POINT (-111.91423 33.6558)
100000033,115-04373,-111.90167,33.65295,,tmc_start,,,POINT (-111.90167 33.65295)
100000034,115N04373,-111.89787,33.6511,,tmc_start,,,POINT (-111.89787 33.6511)
100000035,115-04372,-111.89072,33.6413,,tmc_start,,,POINT (-111.89072 33.6413)
100000036,115N04372,-111.89045,33.63808,,tmc_start,,,POINT (-111.89045 33.63808)
100000037,115N04372END,-111.89056000000001,33.6296,,tmc_end,,,POINT (-111.89056000000001 33.6296)
100000038,115+04372,-111.89128999999998,33.61779,,tmc_start,,,POINT (-111.89128999999998 33.61779)
100000039,115P04372,-111.89023999999999,33.6296,,tmc_start,,,POINT (-111.89023999999999 33.6296)
100000040,115+04373,-111.8902,33.63686,,tmc_start,,,POINT (-111.8902 33.63686)
100000041,115P04373,-111.89029,33.640609999999995,,tmc_start,,,POINT (-111.89029 33.640609999999995)
