name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
Leesburg Pike,3097,8810199,10992,12628,1,15.134541434451249,2,35,,trunk,2,"LINESTRING (-77.19028350000001 38.8946975, -77.1904157 38.8947866)",auto,0
Leesburg Pike,3098,8810199,12628,10994,1,162.8454942428981,2,35,,trunk,2,"LINESTRING (-77.1904157 38.8947866, -77.1904744 38.8948236, -77.19167280000001 38.8955799, -77.1918787 38.8957076)",auto,0
Leesburg Pike,18484,38166809,2481,9736,1,154.705355939321,6,35,,trunk,2,"LINESTRING (-77.21855739999999 38.9108106, -77.2177296 38.9103636, -77.21708959999999 38.9100161)",auto,0
Leesburg Pike,18485,38166812,9736,13902,1,58.60027815900346,6,35,,trunk,2,"LINESTRING (-77.21708959999999 38.9100161, -77.21674729999999 38.9098283, -77.2165361 38.9097124)",auto,0
Leesburg Pike,18488,38168243,1894,2494,1,131.30545573693968,4,35,,trunk,2,"LINESTRING (-77.2472387 38.9346714, -77.24631549999999 38.933734)",auto,0
Leesburg Pike,18489,38168244,2494,849,1,22.33028593495721,4,35,,trunk,2,"LINESTRING (-77.24631549999999 38.933734, -77.24616760000001 38.9335694)",auto,0
Leesburg Pike,18490,38168245,9738,1893,1,130.68356839570743,4,35,,trunk,2,"LINESTRING (-77.2461172 38.9337781, -77.2470368 38.9347106)",auto,0
Leesburg Pike,18491,38168246,1893,1892,1,5.475791565986775,3,35,,trunk,2,"LINESTRING (-77.2470368 38.9347106, -77.247073 38.934751)",auto,0
Leesburg Pike,18653,42713538,9641,9642,1,212.4944195152077,3,45,,trunk,2,"LINESTRING (-77.37091289999999 39.0140956, -77.3705497 39.0139079, -77.3703474 39.0138027, -77.3703184 39.0137875, -77.3695608 39.0133917, -77.36887400000001 39.0130269)",auto,0
Leesburg Pike,18695,44538239,1439,12503,1,78.78648313959565,2,45,,trunk,2,"LINESTRING (-77.2532817 38.9410976, -77.253828 38.9416646)",auto,0
Leesburg Pike,18809,46963169,9999,10000,1,59.54624486828188,2,55,,trunk,2,"LINESTRING (-77.2882578 38.9661171, -77.28763050000001 38.965896)",auto,0
Leesburg Pike,18810,46963170,10059,10001,1,513.5247531938727,2,55,,trunk,2,"LINESTRING (-77.2853089 38.9650606, -77.284654 38.9648303, -77.28462949999999 38.9648216, -77.2844446 38.964756, -77.2842512 38.9646771, -77.28405840000001 38.9645879, -77.2838903 38.9645053, -77.283655 38.9643758, -77.28343889999999 38.9642396, -77.2829706 38.9639099, -77.28221259999999 38.9633599, -77.2813168 38.962707, -77.2806724 38.962234)",auto,0
Leesburg Pike,18812,46963172,2460,2461,1,54.914948089944744,2,55,,trunk,2,"LINESTRING (-77.28762519999999 38.9660167, -77.28820469999999 38.9662189)",auto,0
Leesburg Pike,19074,59763007,10237,10238,1,201.55326213812532,5,45,,trunk,2,"LINESTRING (-77.36883159999999 39.0133369, -77.3693938 39.0136206, -77.3701944 39.0140295, -77.3706317 39.0142504, -77.37078390000001 39.0143291)",auto,0
Leesburg Pike,19075,59763011,9644,12392,1,406.03738183841324,3,55,,trunk,2,"LINESTRING (-77.36452420000001 39.0108146, -77.36354 39.0102784, -77.3618448 39.0093343, -77.361046 39.0088848, -77.3606994 39.0086931)",auto,0
Leesburg Pike,19076,59763011,12392,9992,1,292.4428394975471,3,55,,trunk,2,"LINESTRING (-77.3606994 39.0086931, -77.3603746 39.0085126, -77.3599172 39.0082584, -77.3594521 39.0080039, -77.35813280000001 39.0072698, -77.3579458 39.0071639)",auto,0
Leesburg Pike,19077,59763019,10236,10237,1,36.059643802626816,3,45,,trunk,2,"LINESTRING (-77.3684813 39.0131606, -77.36883159999999 39.0133369)",auto,0
Leesburg Pike,19078,59763021,9642,9643,1,41.06023798847311,4,45,,trunk,2,"LINESTRING (-77.36887400000001 39.0130269, -77.368475 39.0128263)",auto,0
Leesburg Pike,19877,116044073,784,9831,1,202.7608227638581,4,35,,trunk,2,"LINESTRING (-77.2442832 38.931392, -77.2438873 38.930989, -77.243785 38.9308816, -77.24354150000001 38.9306378, -77.24337970000001 38.9304678, -77.24303209999999 38.9300977, -77.24300270000001 38.9300665, -77.2428767 38.9299334)",auto,0
Leesburg Pike,19878,116044193,1892,462,1,126.54800607538236,3,35,,trunk,2,"LINESTRING (-77.247073 38.934751, -77.247208 38.934869, -77.247619 38.935289, -77.247694 38.93536, -77.2479759 38.935646)",auto,0
Leesburg Pike,19883,116044264,604,9737,1,147.98327671636636,3,35,,trunk,2,"LINESTRING (-77.2171743 38.9102822, -77.2185758 38.911045)",auto,0
Leesburg Pike,19884,116044298,1772,13741,1,180.95935767994004,3,35,,trunk,2,"LINESTRING (-77.2206675 38.9119664, -77.2189573 38.9110296)",auto,0
Leesburg Pike,19890,116044404,9992,13666,1,274.0012122536621,3,55,,trunk,2,"LINESTRING (-77.3579458 39.0071639, -77.3573033 39.0068166, -77.3553556 39.0057424)",auto,0
Leesburg Pike,19891,116044404,13666,9993,1,552.9339859645298,3,55,,trunk,2,"LINESTRING (-77.3553556 39.0057424, -77.3543732 39.0051996, -77.35133039999999 39.0035185, -77.35014839999999 39.0028523)",auto,0
Leesburg Pike,19892,116044404,9993,9988,1,86.88727761386852,3,55,,trunk,2,"LINESTRING (-77.35014839999999 39.0028523, -77.3493028 39.0024295)",auto,0
Leesburg Pike,19987,119518205,11008,11007,1,63.65537107514349,3,35,,trunk,2,"LINESTRING (-77.20285509999999 38.9025641, -77.20229399999999 38.9021939)",auto,0
Leesburg Pike,19988,119518205,11007,13218,1,166.29569611847901,3,35,,trunk,2,"LINESTRING (-77.20229399999999 38.9021939, -77.2017122 38.9018398, -77.20079 38.901263)",auto,0
Leesburg Pike,19989,119518206,11015,11014,1,95.00966527643855,4,35,,trunk,2,"LINESTRING (-77.2075557 38.9065452, -77.207157 38.906353, -77.20680950000001 38.9061383, -77.2066784 38.9060364)",auto,0
Leesburg Pike,21041,171847991,2483,1772,1,78.32799692297145,4,35,,trunk,2,"LINESTRING (-77.2214031 38.912377, -77.2206675 38.9119664)",auto,0
Leesburg Pike,21042,171848081,11072,11104,1,52.87874162322406,3,45,,trunk,2,"LINESTRING (-77.22648479999999 38.9156308, -77.2265773 38.9156903, -77.2269548 38.9159348)",auto,0
Leesburg Pike,21067,171851488,1773,11153,1,86.94958460744749,3,35,,trunk,2,"LINESTRING (-77.2155229 38.9093383, -77.2162524 38.9097373, -77.216345 38.909788)",auto,0
Leesburg Pike,21068,171851491,11028,14355,1,39.60418612976555,4,35,,trunk,2,"LINESTRING (-77.2158058 38.9092945, -77.2154348 38.9090859)",auto,0
Leesburg Pike,23185,173565317,2467,2468,1,711.0574176509916,2,55,,trunk,2,"LINESTRING (-77.31512429999999 38.9777887, -77.3152862 38.9778695, -77.315932 38.9781917, -77.3166908 38.9785984, -77.3170657 38.9788087, -77.3175157 38.9790876, -77.3177282 38.9792288, -77.3179202 38.9793658, -77.31819969999999 38.9795672, -77.3184921 38.9797987, -77.31878709999999 38.9800363, -77.31903389999999 38.9802615, -77.319294 38.9805097, -77.31959980000001 38.9807953, -77.3198948 38.9811164, -77.3201818 38.98145, -77.32046080000001 38.9817982, -77.3208068 38.9822903)",auto,0
Leesburg Pike,23186,173565317,2468,2469,1,243.8445659780712,2,55,,trunk,2,"LINESTRING (-77.3208068 38.9822903, -77.3210509 38.982628, -77.3214783 38.9832609, -77.3221467 38.98422)",auto,0
Leesburg Pike,23187,173565317,2469,2470,1,261.33406844976736,2,55,,trunk,2,"LINESTRING (-77.3221467 38.98422, -77.32248010000001 38.9847114, -77.3225997 38.9848669, -77.3227809 38.9851042, -77.3230404 38.985401, -77.32333130000001 38.9857068, -77.3236101 38.9859834, -77.32381770000001 38.9861704)",auto,0
Leesburg Pike,23188,173565317,2470,2471,1,296.00895460128675,2,55,,trunk,2,"LINESTRING (-77.32381770000001 38.9861704, -77.3240823 38.9863836, -77.3243939 38.9866148, -77.324727 38.986853, -77.3249562 38.9869938, -77.32533239999999 38.9872233, -77.32559929999999 38.9873811, -77.326448 38.9878677)",auto,0
Leesburg Pike,23189,173565317,2471,10055,1,317.8037332773926,2,55,,trunk,2,"LINESTRING (-77.326448 38.9878677, -77.3277037 38.9885891, -77.32842049999999 38.9889967, -77.3291636 38.9894304, -77.3294045 38.989567)",auto,0
Leesburg Pike,23192,173565321,12412,12410,1,286.6503621955308,2,55,,trunk,2,"LINESTRING (-77.3079924 38.9752704, -77.3072926 38.9750703, -77.30635289999999 38.9748022, -77.30587629999999 38.9746602, -77.30544930000001 38.9745245, -77.3051581 38.9744225, -77.3049099 38.9743247)",auto,0
Leesburg Pike,23196,173566549,10373,10984,1,72.96832307026612,2,55,,trunk,2,"LINESTRING (-77.3362712 38.9946492, -77.33688549999999 38.9950994)",auto,0
Leesburg Pike,23197,173566549,10984,11252,1,179.44432962873933,2,55,,trunk,2,"LINESTRING (-77.33688549999999 38.9950994, -77.33842490000001 38.9961824)",auto,0
Leesburg Pike,23198,173566549,11252,2475,1,305.1754517265386,2,55,,trunk,2,"LINESTRING (-77.33842490000001 38.9961824, -77.3390995 38.9966481, -77.3398183 38.9971463, -77.34038959999999 38.9975487, -77.3410604 38.9980091)",auto,0
Leesburg Pike,23210,173566554,10387,10389,1,7.359738220186709,2,55,,trunk,2,"LINESTRING (-77.3364558 38.99453, -77.33639030000001 38.9944877)",auto,0
Leesburg Pike,23211,173566554,10389,10056,1,824.8671490432886,2,55,,trunk,2,"LINESTRING (-77.33639030000001 38.9944877, -77.3358781 38.9941237, -77.3355402 38.9938902, -77.3344139 38.9931044, -77.3335886 38.992529, -77.3329069 38.9920436, -77.3325416 38.9917625, -77.332201 38.9914872, -77.33132639999999 38.9907757, -77.330838 38.9903757, -77.33066049999999 38.990234, -77.3301704 38.9898479, -77.3297493 38.989554, -77.3296122 38.9894615, -77.3294827 38.9893751)",auto,0
Leesburg Pike,23825,174029285,9987,9991,1,623.3954894483826,2,55,,trunk,2,"LINESTRING (-77.3427521 38.998953, -77.3423288 38.9986555, -77.3414679 38.9980489, -77.34064979999999 38.9974799, -77.3398854 38.996942, -77.33887420000001 38.9962312, -77.3384772 38.9959519, -77.3373976 38.9951962)",auto,0
Leesburg Pike,23842,174029298,13668,2477,1,124.37749522385263,4,55,,trunk,2,"LINESTRING (-77.3436038 38.9997872, -77.3438979 38.9999657, -77.3440813 39.0000655, -77.3442869 39.0001751, -77.34438129999999 39.0002243, -77.3445309 39.0003023, -77.3447831 39.0004273)",auto,0
Leesburg Pike,23849,174033415,9989,9990,1,199.73983934159781,4,55,,trunk,2,"LINESTRING (-77.3454053 39.0005053, -77.3448448 39.0002189, -77.3446036 39.0000944, -77.3441863 38.9998791, -77.3439422 38.9997374, -77.34351839999999 38.9994705)",auto,0
Leesburg Pike,23851,174033425,9988,9989,1,399.01454091950063,4,55,,trunk,2,"LINESTRING (-77.3493028 39.0024295, -77.3477374 39.0016567, -77.3456048 39.0006041, -77.34556670000001 39.0005868, -77.3454053 39.0005053)",auto,0
Leesburg Pike,23852,174033426,989,12387,1,7.5341262249912955,3,55,,trunk,2,"LINESTRING (-77.3452551 39.0006506, -77.3453288 39.0006868)",auto,0
Leesburg Pike,23860,174033431,2479,12397,1,336.3834297709719,3,55,,trunk,2,"LINESTRING (-77.3578304 39.0073823, -77.35798010000001 39.0074649, -77.3592683 39.0081894, -77.36011790000001 39.0086596, -77.360985 39.009155)",auto,0
Leesburg Pike,23861,174033431,12397,12828,1,345.577686603858,3,55,,trunk,2,"LINESTRING (-77.360985 39.009155, -77.3614358 39.0093861, -77.3634407 39.0105056, -77.3642456 39.0109544)",auto,0
Leesburg Pike,23901,174193795,10056,10054,1,309.9301716910296,2,55,,trunk,2,"LINESTRING (-77.3294827 38.9893751, -77.3293055 38.9892645, -77.32872740000001 38.9889265, -77.3271878 38.9880446, -77.32660490000001 38.9877124)",auto,0
Leesburg Pike,23902,174193795,10054,10053,1,549.4044206762568,2,55,,trunk,2,"LINESTRING (-77.32660490000001 38.9877124, -77.3260612 38.9874025, -77.3252593 38.9869375, -77.3248462 38.9866644, -77.3243956 38.9863454, -77.32416430000001 38.9861672, -77.3239404 38.9859725, -77.3237202 38.9857713, -77.32351989999999 38.9855705, -77.32334 38.9853865, -77.3231414 38.9851698, -77.3229408 38.9849261, -77.3227926 38.9847215, -77.3223636 38.9841173)",auto,0
Leesburg Pike,23903,174193795,10053,9994,1,845.5030339844487,2,55,,trunk,2,"LINESTRING (-77.3223636 38.9841173, -77.3222123 38.983904, -77.32179960000001 38.9833018, -77.3217799 38.9832733, -77.3210187 38.9821735, -77.32067809999999 38.9816939, -77.3203884 38.9813395, -77.3199163 38.9807932, -77.3194496 38.9803241, -77.3189507 38.9798862, -77.3187076 38.979686, -77.3184679 38.9794942, -77.3181663 38.9792674, -77.31792299999999 38.9790946, -77.31752109999999 38.9788291, -77.3170061 38.9785184, -77.3164254 38.9782025)",auto,0
Leesburg Pike,23904,174193800,10055,2472,1,712.8320570994645,2,55,,trunk,2,"LINESTRING (-77.3294045 38.989567, -77.3295346 38.9896617, -77.3297127 38.9897795, -77.3300721 38.9900465, -77.33051039999999 38.9903969, -77.3308231 38.9906435, -77.3323615 38.991885, -77.33286990000001 38.9922784, -77.3332151 38.992527, -77.33368729999999 38.9928567, -77.3346044 38.9934964, -77.33534040000001 38.9940131)",auto,0
Leesburg Pike,24051,174388857,10023,13719,1,275.94994285537996,2,55,,trunk,2,"LINESTRING (-77.29526180000001 38.9689376, -77.294661 38.9685945, -77.2942223 38.9683536, -77.2938529 38.9681685, -77.2934048 38.9679711, -77.29291720000001 38.967781, -77.2925461 38.9676466)",auto,0
Leesburg Pike,24052,174388858,2463,2464,1,924.9617508008099,2,55,,trunk,2,"LINESTRING (-77.2951068 38.9691004, -77.29660199999999 38.9699502, -77.2972565 38.9703151, -77.29746179999999 38.9704396, -77.2982611 38.9708984, -77.2989221 38.9712681, -77.3002572 38.9720264, -77.3027913 38.9734696, -77.3032257 38.9737135, -77.30355 38.9739055, -77.3037442 38.9740092)",auto,0
Leesburg Pike,24054,174388862,10058,9999,1,304.7401572102533,2,55,,trunk,2,"LINESTRING (-77.2914593 38.9672636, -77.2912381 38.9671855, -77.2909283 38.9670762, -77.2904544 38.9669013, -77.2897007 38.9666302, -77.28870879999999 38.9662797, -77.2882578 38.9661171)",auto,0
Leesburg Pike,24061,174388866,2464,12411,1,33.8692761967603,2,55,,trunk,2,"LINESTRING (-77.3037442 38.9740092, -77.3040699 38.9741785)",auto,0
Leesburg Pike,24062,174388866,12411,2465,1,285.70947152750443,2,55,,trunk,2,"LINESTRING (-77.3040699 38.9741785, -77.3041315 38.9742104, -77.3044283 38.974347, -77.3046602 38.9744498, -77.3048998 38.9745414, -77.30511 38.9746191, -77.3053311 38.9747022, -77.30563650000001 38.9748022, -77.306099 38.9749437, -77.30699420000001 38.975197, -77.3070814 38.9752217)",auto,0
Leesburg Pike,24069,174389600,10015,10016,1,87.93064929323765,4,55,,trunk,2,"LINESTRING (-77.2652343 38.9517516, -77.2647353 38.9514378, -77.2644459 38.9512522)",auto,0
Leesburg Pike,24070,174389601,2457,12414,1,216.11724697402352,2,55,,trunk,2,"LINESTRING (-77.279443 38.9615074, -77.2805303 38.9622851, -77.28123859999999 38.9628024, -77.28127550000001 38.9628292)",auto,0
Leesburg Pike,24071,174389601,12414,2458,1,338.5060519915697,2,55,,trunk,2,"LINESTRING (-77.28127550000001 38.9628292, -77.2820296 38.9633768, -77.2832408 38.9642538, -77.2834672 38.9643987, -77.2835602 38.9644576, -77.283816 38.9646011, -77.28400790000001 38.9646973, -77.2842448 38.9648003)",auto,0
Leesburg Pike,24111,174392805,2447,2448,1,141.32383160921,2,55,,trunk,2,"LINESTRING (-77.2668513 38.9529281, -77.2670471 38.9530475, -77.2674947 38.953341, -77.2681109 38.9537378)",auto,0
Leesburg Pike,24130,174392812,10016,10017,1,167.3502066719102,2,55,,trunk,2,"LINESTRING (-77.2644459 38.9512522, -77.2641266 38.9510507, -77.26339729999999 38.9505906, -77.2629421 38.9503049)",auto,0
Leesburg Pike,24154,174394961,1514,14283,1,2.6356096992409714,2,55,,trunk,2,"LINESTRING (-77.262197 38.9499269, -77.2622185 38.9499437)",auto,0
Leesburg Pike,24155,174394961,14283,13733,1,151.49232973010382,2,55,,trunk,2,"LINESTRING (-77.2622185 38.9499437, -77.262336 38.9500359, -77.2628016 38.9503596, -77.26321059999999 38.9506176, -77.26354739999999 38.9508302)",auto,0
Leesburg Pike,24165,174394979,10018,13732,1,318.43803813770853,2,55,,trunk,2,"LINESTRING (-77.26230390000001 38.9498285, -77.2621575 38.9497129, -77.2619128 38.9495079, -77.2615239 38.949149, -77.26111330000001 38.948729, -77.2609179 38.9485408, -77.26067500000001 38.9482869, -77.25999299999999 38.9476017)",auto,0
Leesburg Pike,24292,174423120,12491,13376,1,151.66232084305113,3,45,,trunk,2,"LINESTRING (-77.2552158 38.9427678, -77.2545014 38.9420423, -77.2541488 38.9416854)",auto,0
Leesburg Pike,24301,174423133,1477,13730,1,272.04566559693484,2,45,,trunk,2,"LINESTRING (-77.25511849999999 38.9429677, -77.25520880000001 38.9430589, -77.25597689999999 38.943834, -77.25674170000001 38.9445982, -77.2570436 38.9449026)",auto,0
Leesburg Pike,24305,174423140,12502,13377,1,192.87288345367168,2,45,,trunk,2,"LINESTRING (-77.25345369999999 38.9409798, -77.2533347 38.9408601, -77.2530716 38.9406022, -77.252455 38.939985, -77.25232099999999 38.939829, -77.25218 38.939681, -77.25210199999999 38.9396008)",auto,0
Leesburg Pike,24314,174423164,10021,10022,1,128.67755666610276,4,45,,trunk,2,"LINESTRING (-77.2574438 38.9450128, -77.25653370000001 38.9440973)",auto,0
Leesburg Pike,24317,174426424,9817,13379,1,156.2759610656403,3,45,,trunk,2,"LINESTRING (-77.2496422 38.9370697, -77.2494689 38.9368825, -77.2493767 38.9367834, -77.24872329999999 38.9361105, -77.2485611 38.9359437)",auto,0
Leesburg Pike,24757,227892588,2442,13403,1,223.52177795291,4,35,,trunk,2,"LINESTRING (-77.2424735 38.9301642, -77.2426043 38.9302943, -77.2429746 38.9306432, -77.24344600000001 38.9310788, -77.2436773 38.9312982, -77.2438685 38.931487, -77.2441003 38.9317256)",auto,0
Leesburg Pike,24758,227892589,2491,813,1,578.2240591636323,4,35,,trunk,2,"LINESTRING (-77.2367996 38.9237276, -77.2366473 38.9235684, -77.23572420000001 38.9226184, -77.23507840000001 38.9219527, -77.2345174 38.9213789, -77.2343576 38.9212149, -77.2340511 38.9208939, -77.2333687 38.9201978, -77.23331229999999 38.9201483, -77.2330434 38.919912, -77.23266289999999 38.9196537)",auto,0
Leesburg Pike,24759,227892589,813,12639,1,45.47084628244482,4,35,,trunk,2,"LINESTRING (-77.23266289999999 38.9196537, -77.2322271 38.9194251)",auto,0
Leesburg Pike,24764,227892597,9831,14128,1,175.69243720500066,6,35,,trunk,2,"LINESTRING (-77.2428767 38.9299334, -77.24275299999999 38.9298066, -77.2426091 38.9296557, -77.2423074 38.9293548, -77.2421483 38.9291886, -77.24182999999999 38.9288673, -77.2416389 38.9286808)",auto,0
Leesburg Pike,24767,227892599,2492,13390,1,425.4615707222143,4,35,,trunk,2,"LINESTRING (-77.2412824 38.9283283, -77.2411713 38.9282166, -77.24073919999999 38.9278077, -77.24058460000001 38.9276557, -77.24008430000001 38.9271494, -77.2398919 38.926952, -77.239631 38.9266885, -77.2395343 38.9265855, -77.23935899999999 38.9264047, -77.23895210000001 38.9259931, -77.2387825 38.9258215, -77.2386782 38.9257143, -77.23828930000001 38.9252929)",auto,0
Leesburg Pike,24768,227892681,2489,11149,1,102.44477592767076,5,35,,trunk,2,"LINESTRING (-77.229878 38.9175813, -77.22964469999999 38.917408, -77.2294273 38.917255, -77.229157 38.9170786, -77.229118 38.9170545, -77.228988 38.9169744)",auto,0
Leesburg Pike,24769,227892683,499,7531,1,71.20954969385444,3,35,,trunk,2,"LINESTRING (-77.2320904 38.9195938, -77.2321736 38.9196738, -77.2326135 38.9200019, -77.23267060000001 38.9200471)",auto,0
Leesburg Pike,24770,227892683,7531,2438,1,118.75550014757519,3,35,,trunk,2,"LINESTRING (-77.23267060000001 38.9200471, -77.23273260000001 38.9200962, -77.232872 38.9202102, -77.23307459999999 38.9203905, -77.2331461 38.9204579, -77.23330660000001 38.9206174, -77.233548 38.920867)",auto,0
Leesburg Pike,24771,227892683,2438,13545,1,47.75229772864061,3,35,,trunk,2,"LINESTRING (-77.233548 38.920867, -77.2338709 38.9212153)",auto,0
Leesburg Pike,25376,237173209,11001,10999,1,144.9964723980035,3,35,,trunk,2,"LINESTRING (-77.1955878 38.8979485, -77.1943041 38.8971105)",auto,0
Leesburg Pike,25377,237173209,10999,10997,1,44.367201893691615,3,35,,trunk,2,"LINESTRING (-77.1943041 38.8971105, -77.19391709999999 38.8968488)",auto,0
Leesburg Pike,25378,237173209,10997,13738,1,29.49477424875261,3,35,,trunk,2,"LINESTRING (-77.19391709999999 38.8968488, -77.1936558 38.8966785)",auto,0
Leesburg Pike,25383,237173229,11024,2432,1,11.124019589344618,3,35,,trunk,2,"LINESTRING (-77.2144851 38.9087421, -77.2145864 38.9088037)",auto,0
Leesburg Pike,25491,268118910,12828,12388,1,398.936674045025,3,45,,trunk,2,"LINESTRING (-77.3642456 39.0109544, -77.3648274 39.0112788, -77.3656032 39.0117001, -77.36675649999999 39.0122856, -77.3680805 39.0129514)",auto,0
Leesburg Pike,25492,268118910,12388,10236,1,41.716431210261476,3,45,,trunk,2,"LINESTRING (-77.3680805 39.0129514, -77.3684813 39.0131606)",auto,0
Leesburg Pike,25619,294591893,2444,13731,1,183.2712408921136,2,55,,trunk,2,"LINESTRING (-77.25768960000001 38.9455514, -77.2582974 38.9461585, -77.25876890000001 38.9466254, -77.2589953 38.9468496)",auto,0
Leesburg Pike,25628,294597722,12504,1299,1,66.55307661197985,4,35,,trunk,2,"LINESTRING (-77.2481587 38.9355398, -77.24767249999999 38.9350759)",auto,0
Leesburg Pike,25629,294597722,1299,1894,1,58.57380088408822,4,35,,trunk,2,"LINESTRING (-77.24767249999999 38.9350759, -77.2472387 38.9346714)",auto,0
Leesburg Pike,25630,294597723,462,10028,1,146.55740217574387,2,45,,trunk,2,"LINESTRING (-77.2479759 38.935646, -77.24864100000001 38.936337, -77.24899139999999 38.9367011)",auto,0
Leesburg Pike,25631,294597723,10028,2443,1,478.76051212796096,2,45,,trunk,2,"LINESTRING (-77.24899139999999 38.9367011, -77.2493674 38.9370862, -77.249701 38.937428, -77.250832 38.938593, -77.251914 38.939699, -77.2523375 38.940131)",auto,0
Leesburg Pike,25849,318555365,13903,11028,1,70.21507796217654,3,35,,trunk,2,"LINESTRING (-77.2164588 38.9096694, -77.2158058 38.9092945)",auto,0
Leesburg Pike,25850,318555366,11153,604,1,90.37987968240326,2,35,,trunk,2,"LINESTRING (-77.216345 38.909788, -77.2171743 38.9102822)",auto,0
