link_id,name,corridor_id,corridor_link_order,from_node_id,to_node_id,directed,geometry_id,geometry,dir_flag,parent_link_id,length,grade,facility_type,capacity,free_speed,lanes
100000001,89398,Silk Street,1,100000001,100000002,,,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",,,,primary,,,48.0,1.0
100000002,89399,Silk Street,2,100000002,100000003,,,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",,,,primary,,,48.0,1.0
100000003,89400,Silk Street,3,100000003,100000004,,,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",,,,primary,,,48.0,1.0
100000004,89401,Silk Street,4,100000004,100000005,,,"LINESTRING (-2.264374 53.48719000000001,-2.26386 53.48749599999999)",,,,primary,,,48.0,1.0
100000005,89402,Silk Street,5,100000005,100000006,,,"LINESTRING (-2.26386 53.48749599999999,-2.262872 53.487956)",,,,primary,,,48.0,1.0
100000006,89403,Silk Street,6,100000006,100000007,,,"LINESTRING (-2.262872 53.487956,-2.260317 53.489087)",,,,primary,,,48.0,1.0
100000007,89404,Silk Street,7,100000007,100000008,,,"LINESTRING (-2.260317 53.489087,-2.259142 53.48960600000001)",,,,primary,,,48.0,1.0
100000008,89405,Silk Street,8,100000008,100000009,,,"LINESTRING (-2.259142 53.48960600000001,-2.259101 53.48961800000001)",,,,primary,,,48.0,1.0
100000009,89407,Broughton Bridge,1,100000010,100000011,,,"LINESTRING (-2.258739 53.48959,-2.259055 53.48982700000001)",,,,primary,,,48.0,1.0
100000010,89408,Broughton Bridge,2,100000011,100000012,,,"LINESTRING (-2.259055 53.48982700000001,-2.259402 53.490302)",,,,primary,,,48.0,1.0
100000011,89409,Broughton Bridge,3,100000012,100000013,,,"LINESTRING (-2.259402 53.490302,-2.25952 53.49061999999999)",,,,primary,,,48.0,1.0
100000012,89410,Broughton Bridge,4,100000013,100000014,,,"LINESTRING (-2.25952 53.49061999999999,-2.2595650000000003 53.490836)",,,,primary,,,48.0,1.0
100000013,89411,Broughton Bridge,5,100000014,100000015,,,"LINESTRING (-2.2595650000000003 53.490836,-2.259553 53.490999)",,,,primary,,,48.0,1.0
100000014,89412,Broughton Bridge,6,100000015,100000016,,,"LINESTRING (-2.259553 53.490999,-2.2595400000000003 53.491315)",,,,primary,,,48.0,1.0
100000015,89414,St Simon Street,1,100000017,100000018,,,"LINESTRING (-2.255877 53.488614,-2.255944 53.48876)",,,,residential,,,0.0,1.0
100000016,89415,St Simon Street,2,100000018,100000019,,,"LINESTRING (-2.255944 53.48876,-2.256221 53.488947)",,,,residential,,,0.0,1.0
100000017,89416,St Simon Street,3,100000019,100000020,,,"LINESTRING (-2.256221 53.488947,-2.256212 53.48931)",,,,residential,,,0.0,1.0
