,long,lat,order,piece,linkid,group,citycode
89398,-2.264742,53.485628000000005,1,1,0,0.1,manchester
89399,-2.264694,53.486187,2,1,0,0.1,manchester
89400,-2.264653,53.486819999999994,3,1,0,0.1,manchester
89401,-2.264374,53.487190000000005,4,1,0,0.1,manchester
89402,-2.2638599999999998,53.48749599999999,5,1,0,0.1,manchester
89403,-2.262872,53.487956000000004,6,1,0,0.1,manchester
89404,-2.2603169999999997,53.489087,7,1,0,0.1,manchester
89405,-2.2591419999999998,53.48960600000001,8,1,0,0.1,manchester
89406,-2.259101,53.48961800000001,9,1,0,0.1,manchester
89407,-2.258739,53.48959,1,1,1,1.1,manchester
89408,-2.259055,53.489827000000005,2,1,1,1.1,manchester
89409,-2.259402,53.490302,3,1,1,1.1,manchester
89410,-2.25952,53.49061999999999,4,1,1,1.1,manchester
89411,-2.2595650000000003,53.490836,5,1,1,1.1,manchester
89412,-2.259553,53.490999,6,1,1,1.1,manchester
89413,-2.2595400000000003,53.491315,7,1,1,1.1,manchester
89414,-2.255877,53.488614,1,1,2,2.1,manchester
89415,-2.255944,53.48876,2,1,2,2.1,manchester
89416,-2.256221,53.488946999999996,3,1,2,2.1,manchester
89417,-2.256212,53.489309999999996,4,1,2,2.1,manchester
89418,-2.256164,53.489373,5,1,2,2.1,manchester
89419,-2.256186,53.489706999999996,6,1,2,2.1,manchester
89420,-2.256333,53.489842,7,1,2,2.1,manchester
89421,-2.256532,53.489897,8,1,2,2.1,manchester
89422,-2.2578650000000002,53.48991899999999,9,1,2,2.1,manchester
89423,-2.258251,53.489922,10,1,2,2.1,manchester
89424,-2.258384,53.489911,11,1,2,2.1,manchester
89425,-2.258546,53.489856,12,1,2,2.1,manchester
89426,-2.2587,53.489803,13,1,2,2.1,manchester
89427,-2.253664,53.486829,1,1,3,3.1,manchester
89428,-2.2543860000000002,53.487227000000004,2,1,3,3.1,manchester
89429,-2.2551740000000002,53.487697999999995,3,1,3,3.1,manchester
89430,-2.2561560000000003,53.488339,4,1,3,3.1,manchester
89431,-2.257531,53.488960999999996,5,1,3,3.1,manchester
89432,-2.25812,53.489245999999994,6,1,3,3.1,manchester
89433,-2.258739,53.48959,7,1,3,3.1,manchester
89434,-2.258999,53.48986800000001,1,1,4,4.1,manchester
89435,-2.258436,53.489495999999995,2,1,4,4.1,manchester
89436,-2.257706,53.489105,3,1,4,4.1,manchester
89437,-2.2570740000000002,53.488791000000006,4,1,4,4.1,manchester
89438,-2.256006,53.488314,5,1,4,4.1,manchester
89439,-2.255248,53.487797,6,1,4,4.1,manchester
89440,-2.2535380000000003,53.48686,7,1,4,4.1,manchester
89441,-2.2535380000000003,53.48686,1,1,5,5.1,manchester
89442,-2.2533380000000003,53.487007,2,1,5,5.1,manchester
89443,-2.2526,53.487372,3,1,5,5.1,manchester
89444,-2.2518569999999998,53.487712,4,1,5,5.1,manchester
89445,-2.251307,53.48791,5,1,5,5.1,manchester
89446,-2.251208,53.487846,1,1,6,6.1,manchester
89447,-2.251292,53.487818999999995,2,1,6,6.1,manchester
89448,-2.252377,53.48734,3,1,6,6.1,manchester
89449,-2.253273,53.486872,4,1,6,6.1,manchester
89450,-2.253434,53.486802000000004,5,1,6,6.1,manchester
89451,-2.251232,53.487864,1,1,7,7.1,manchester
89452,-2.252605,53.487275,2,1,7,7.1,manchester
89453,-2.252798,53.487187,3,1,7,7.1,manchester
89454,-2.253575,53.486802000000004,4,1,7,7.1,manchester
89455,-2.2557810000000003,53.485393,1,1,8,8.1,manchester
89456,-2.255578,53.485577,2,1,8,8.1,manchester
89457,-2.255067,53.486012,3,1,8,8.1,manchester
89458,-2.25463,53.486288,4,1,8,8.1,manchester
89459,-2.253664,53.486829,5,1,8,8.1,manchester
89460,-2.254571,53.486318999999995,1,1,9,9.1,manchester
