name_tmc,corridor_id_tmc,link_id_tmc,from_node_id_tmc,to_node_id_tmc,category_id_tmc,geometry_tmc,name_base,link_id_base,from_node_id_base,to_node_id_base,category_id_base,geometry_base,geometry_tmc_base,distance
110N05711,VA-7_EASTBOUND,100000001,100000001,100000002,1,"LINESTRING (-77.3715 39.0144,-77.3709 39.0141)",Leesburg Pike,28048,13131,9641,1,"LINESTRING (-77.3710543 39.0141705, -77.37091289999999 39.0140956)","MULTILINESTRING ((-77.3715 39.0144,-77.3709 39.0141), (-77.3710543 39.0141705, -77.37091289999999 39.0140956))",0.0005013170054981846
110-05710,VA-7_EASTBOUND,100000002,100000002,100000003,2,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",Leesburg Pike,18653,9641,9642,2,"LINESTRING (-77.37091289999999 39.0140956, -77.3705497 39.0139079, -77.3703474 39.0138027, -77.3703184 39.0137875, -77.3695608 39.0133917, -77.36887400000001 39.0130269)","MULTILINESTRING ((-77.3709 39.0141,-77.3684 39.0127), (-77.37091289999999 39.0140956, -77.3705497 39.0139079, -77.3703474 39.0138027, -77.3703184 39.0137875, -77.3695608 39.0133917, -77.36887400000001 39.0130269))",9.831390016549014e-06
110-05710,VA-7_EASTBOUND,100000002,100000002,100000003,2,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",Leesburg Pike,19078,9642,9643,2,"LINESTRING (-77.36887400000001 39.0130269, -77.368475 39.0128263)","MULTILINESTRING ((-77.3709 39.0141,-77.3684 39.0127), (-77.36887400000001 39.0130269, -77.368475 39.0128263))",5.613824694100232e-05
110-05710,VA-7_EASTBOUND,100000002,100000002,100000003,2,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",Leesburg Pike,29356,9643,9644,2,"LINESTRING (-77.368475 39.0128263, -77.3679666 39.0125694, -77.36651860000001 39.0118337, -77.3655452 39.0113424, -77.36452420000001 39.0108146)","MULTILINESTRING ((-77.3709 39.0141,-77.3684 39.0127), (-77.368475 39.0128263, -77.3679666 39.0125694, -77.36651860000001 39.0118337, -77.3655452 39.0113424, -77.36452420000001 39.0108146))",7.401941709668274e-05
110N05710,VA-7_EASTBOUND,100000003,100000003,100000004,3,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",Leesburg Pike,29356,9643,9644,3,"LINESTRING (-77.368475 39.0128263, -77.3679666 39.0125694, -77.36651860000001 39.0118337, -77.3655452 39.0113424, -77.36452420000001 39.0108146)","MULTILINESTRING ((-77.3684 39.0127,-77.3605 39.0086), (-77.368475 39.0128263, -77.3679666 39.0125694, -77.36651860000001 39.0118337, -77.3655452 39.0113424, -77.36452420000001 39.0108146))",7.890055671264752e-05
110N05710,VA-7_EASTBOUND,100000003,100000003,100000004,3,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",Leesburg Pike,19075,9644,12392,3,"LINESTRING (-77.36452420000001 39.0108146, -77.36354 39.0102784, -77.3618448 39.0093343, -77.361046 39.0088848, -77.3606994 39.0086931)","MULTILINESTRING ((-77.3684 39.0127,-77.3605 39.0086), (-77.36452420000001 39.0108146, -77.36354 39.0102784, -77.3618448 39.0093343, -77.361046 39.0088848, -77.3606994 39.0086931))",0.00010904252667232282
110N05710,VA-7_EASTBOUND,100000003,100000003,100000004,3,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",Leesburg Pike,19076,12392,9992,3,"LINESTRING (-77.3606994 39.0086931, -77.3603746 39.0085126, -77.3599172 39.0082584, -77.3594521 39.0080039, -77.35813280000001 39.0072698, -77.3579458 39.0071639)","MULTILINESTRING ((-77.3684 39.0127,-77.3605 39.0086), (-77.3606994 39.0086931, -77.3603746 39.0085126, -77.3599172 39.0082584, -77.3594521 39.0080039, -77.35813280000001 39.0072698, -77.3579458 39.0071639))",1.0407905892842745e-05
110-05709,VA-7_EASTBOUND,100000004,100000004,100000005,4,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",Leesburg Pike,19076,12392,9992,4,"LINESTRING (-77.3606994 39.0086931, -77.3603746 39.0085126, -77.3599172 39.0082584, -77.3594521 39.0080039, -77.35813280000001 39.0072698, -77.3579458 39.0071639)","MULTILINESTRING ((-77.3605 39.0086,-77.3502 39.0028), (-77.3606994 39.0086931, -77.3603746 39.0085126, -77.3599172 39.0082584, -77.3594521 39.0080039, -77.35813280000001 39.0072698, -77.3579458 39.0071639))",1.548184815194793e-05
110-05709,VA-7_EASTBOUND,100000004,100000004,100000005,4,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",Leesburg Pike,19890,9992,13666,4,"LINESTRING (-77.3579458 39.0071639, -77.3573033 39.0068166, -77.3553556 39.0057424)","MULTILINESTRING ((-77.3605 39.0086,-77.3502 39.0028), (-77.3579458 39.0071639, -77.3573033 39.0068166, -77.3553556 39.0057424))",4.3814236397067185e-06
110-05709,VA-7_EASTBOUND,100000004,100000004,100000005,4,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",Leesburg Pike,19891,13666,9993,4,"LINESTRING (-77.3553556 39.0057424, -77.3543732 39.0051996, -77.35133039999999 39.0035185, -77.35014839999999 39.0028523)","MULTILINESTRING ((-77.3605 39.0086,-77.3502 39.0028), (-77.3553556 39.0057424, -77.3543732 39.0051996, -77.35133039999999 39.0035185, -77.35014839999999 39.0028523))",3.440368451172888e-05
