,link_id,from_node_id,to_node_id,lanes,length,time_period,date,geometry,volume,speed
0,2460.0,1368.0,1369.0,,57.0,2310_2325,2017-09-29,"LINESTRING (-2.2630822 53.4842625, -2.2630836 53.4847707)",240.0,40.0
1,2460.0,1368.0,1369.0,,57.0,2325_2340,2017-09-29,"LINESTRING (-2.2630822 53.4842625, -2.2630836 53.4847707)",228.0,36.0
0,2256.0,1369.0,1498.0,,112.0,2310_2325,2017-09-29,"LINESTRING (-2.2630836 53.4847707, -2.2633385 53.484748, -2.2647708 53.4847242)",240.0,40.0
1,2256.0,1369.0,1498.0,,112.0,2325_2340,2017-09-29,"LINESTRING (-2.2630836 53.4847707, -2.2633385 53.484748, -2.2647708 53.4847242)",228.0,36.0
0,2050.0,1498.0,250.0,,131.0,2310_2325,2017-09-29,"LINESTRING (-2.2647708 53.4847242, -2.2647338 53.4859066)",240.0,40.0
1,2050.0,1498.0,250.0,,131.0,2325_2340,2017-09-29,"LINESTRING (-2.2647708 53.4847242, -2.2647338 53.4859066)",228.0,36.0
0,2051.0,250.0,251.0,,144.0,2310_2325,2017-09-29,"LINESTRING (-2.2647338 53.4859066, -2.2646622 53.4866887, -2.2646558 53.4867592, -2.2646215 53.4868613, -2.2645536 53.4869656, -2.264448 53.487079, -2.2643488 53.4871558)",240.0,40.0
1,2051.0,250.0,251.0,,144.0,2325_2340,2017-09-29,"LINESTRING (-2.2647338 53.4859066, -2.2646622 53.4866887, -2.2646558 53.4867592, -2.2646215 53.4868613, -2.2645536 53.4869656, -2.264448 53.487079, -2.2643488 53.4871558)",228.0,36.0
0,2249.0,251.0,523.0,,43.0,2310_2325,2017-09-29,"LINESTRING (-2.2643488 53.4871558, -2.2641002 53.4873177, -2.2639029 53.4874361)",240.0,40.0
1,2249.0,251.0,523.0,,43.0,2325_2340,2017-09-29,"LINESTRING (-2.2643488 53.4871558, -2.2641002 53.4873177, -2.2639029 53.4874361)",228.0,36.0
0,2251.0,523.0,947.0,,67.0,2310_2325,2017-09-29,"LINESTRING (-2.2639029 53.4874361, -2.2639913 53.4877647, -2.2640054 53.4878647, -2.2640239 53.4880309)",240.0,40.0
