tmc_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000001,VA-7_EASTBOUND,38.0,100000001,100000002,0000_0015,2015-04-01,"LINESTRING (-77.3715 39.0144,-77.3709 39.0141)",,,44,,,,
100000001,VA-7_EASTBOUND,38.0,100000001,100000002,0015_0030,2015-04-01,"LINESTRING (-77.3715 39.0144,-77.3709 39.0141)",,,44,,,,
100000001,VA-7_EASTBOUND,38.0,100000001,100000002,,,"LINESTRING (-77.3715 39.0144,-77.3709 39.0141)",,,,,,,
100000002,VA-7_EASTBOUND,39.0,100000002,100000003,0000_0015,2015-04-01,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",,,44,,,,
100000002,VA-7_EASTBOUND,39.0,100000002,100000003,0015_0030,2015-04-01,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",,,44,,,,
100000002,VA-7_EASTBOUND,39.0,100000002,100000003,,,"LINESTRING (-77.3709 39.0141,-77.3684 39.0127)",,,,,,,
100000003,VA-7_EASTBOUND,40.0,100000003,100000004,0000_0015,2015-04-01,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",,,49,,,,
100000003,VA-7_EASTBOUND,40.0,100000003,100000004,0015_0030,2015-04-01,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",,,49,,,,
100000003,VA-7_EASTBOUND,40.0,100000003,100000004,,,"LINESTRING (-77.3684 39.0127,-77.3605 39.0086)",,,,,,,
100000004,VA-7_EASTBOUND,41.0,100000004,100000005,0000_0015,2015-04-01,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",,,48,,,,
100000004,VA-7_EASTBOUND,41.0,100000004,100000005,0015_0030,2015-04-01,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",,,48,,,,
100000004,VA-7_EASTBOUND,41.0,100000004,100000005,,,"LINESTRING (-77.3605 39.0086,-77.3502 39.0028)",,,,,,,
100000005,VA-7_EASTBOUND,42.0,100000005,100000006,0000_0015,2015-04-01,"LINESTRING (-77.3502 39.0028,-77.3455 39.0005)",,,48,,,,
100000005,VA-7_EASTBOUND,42.0,100000005,100000006,0015_0030,2015-04-01,"LINESTRING (-77.3502 39.0028,-77.3455 39.0005)",,,48,,,,
100000005,VA-7_EASTBOUND,42.0,100000005,100000006,,,"LINESTRING (-77.3502 39.0028,-77.3455 39.0005)",,,,,,,
100000006,VA-7_EASTBOUND,42.1,100000006,100000007,,,"LINESTRING (-77.3455 39.0005,-77.3454 39.0005)",,,,,,,
100000007,VA-7_EASTBOUND,43.0,100000007,100000008,0000_0015,2015-04-01,"LINESTRING (-77.3454 39.0005,-77.3365 38.9946)",,,50,,,,
100000007,VA-7_EASTBOUND,43.0,100000007,100000008,0015_0030,2015-04-01,"LINESTRING (-77.3454 39.0005,-77.3365 38.9946)",,,50,,,,
100000007,VA-7_EASTBOUND,43.0,100000007,100000008,,,"LINESTRING (-77.3454 39.0005,-77.3365 38.9946)",,,,,,,
100000008,VA-7_EASTBOUND,43.1,100000008,100000009,0000_0015,2015-04-01,"LINESTRING (-77.3365 38.9946,-77.3364 38.9945)",,,50,,,,
100000008,VA-7_EASTBOUND,43.1,100000008,100000009,0015_0030,2015-04-01,"LINESTRING (-77.3365 38.9946,-77.3364 38.9945)",,,50,,,,
100000008,VA-7_EASTBOUND,43.1,100000008,100000009,,,"LINESTRING (-77.3365 38.9946,-77.3364 38.9945)",,,,,,,
100000009,VA-7_EASTBOUND,44.0,100000009,100000010,0000_0015,2015-04-01,"LINESTRING (-77.3364 38.9945,-77.3157 38.9778)",,,48,,,,
100000009,VA-7_EASTBOUND,44.0,100000009,100000010,0015_0030,2015-04-01,"LINESTRING (-77.3364 38.9945,-77.3157 38.9778)",,,48,,,,
100000009,VA-7_EASTBOUND,44.0,100000009,100000010,,,"LINESTRING (-77.3364 38.9945,-77.3157 38.9778)",,,,,,,
100000010,VA-7_EASTBOUND,45.0,100000010,100000011,0000_0015,2015-04-01,"LINESTRING (-77.3157 38.9778,-77.3147 38.9773)",,,41,,,,
100000010,VA-7_EASTBOUND,45.0,100000010,100000011,0015_0030,2015-04-01,"LINESTRING (-77.3157 38.9778,-77.3147 38.9773)",,,41,,,,
100000010,VA-7_EASTBOUND,45.0,100000010,100000011,,,"LINESTRING (-77.3157 38.9778,-77.3147 38.9773)",,,,,,,
100000011,VA-7_EASTBOUND,46.0,100000011,100000012,0000_0015,2015-04-01,"LINESTRING (-77.3147 38.9773,-77.3039 38.9738)",,,50,,,,
100000011,VA-7_EASTBOUND,46.0,100000011,100000012,0015_0030,2015-04-01,"LINESTRING (-77.3147 38.9773,-77.3039 38.9738)",,,50,,,,
100000011,VA-7_EASTBOUND,46.0,100000011,100000012,,,"LINESTRING (-77.3147 38.9773,-77.3039 38.9738)",,,,,,,
100000012,VA-7_EASTBOUND,47.0,100000012,100000013,0000_0015,2015-04-01,"LINESTRING (-77.3039 38.9738,-77.2915 38.9672)",,,50,,,,
100000012,VA-7_EASTBOUND,47.0,100000012,100000013,0015_0030,2015-04-01,"LINESTRING (-77.3039 38.9738,-77.2915 38.9672)",,,50,,,,
100000012,VA-7_EASTBOUND,47.0,100000012,100000013,,,"LINESTRING (-77.3039 38.9738,-77.2915 38.9672)",,,,,,,
100000013,VA-7_EASTBOUND,48.0,100000013,100000014,0000_0015,2015-04-01,"LINESTRING (-77.2915 38.9672,-77.2769 38.9597)",,,50,,,,
100000013,VA-7_EASTBOUND,48.0,100000013,100000014,0015_0030,2015-04-01,"LINESTRING (-77.2915 38.9672,-77.2769 38.9597)",,,50,,,,
100000013,VA-7_EASTBOUND,48.0,100000013,100000014,,,"LINESTRING (-77.2915 38.9672,-77.2769 38.9597)",,,,,,,
100000014,VA-7_EASTBOUND,49.0,100000014,100000015,0000_0015,2015-04-01,"LINESTRING (-77.2769 38.9597,-77.2747 38.958)",,,48,,,,
100000014,VA-7_EASTBOUND,49.0,100000014,100000015,0015_0030,2015-04-01,"LINESTRING (-77.2769 38.9597,-77.2747 38.958)",,,48,,,,
100000014,VA-7_EASTBOUND,49.0,100000014,100000015,,,"LINESTRING (-77.2769 38.9597,-77.2747 38.958)",,,,,,,
100000015,VA-7_EASTBOUND,50.0,100000015,100000016,0000_0015,2015-04-01,"LINESTRING (-77.2747 38.958,-77.2645 38.9514)",,,47,,,,
100000015,VA-7_EASTBOUND,50.0,100000015,100000016,0015_0030,2015-04-01,"LINESTRING (-77.2747 38.958,-77.2645 38.9514)",,,47,,,,
100000015,VA-7_EASTBOUND,50.0,100000015,100000016,,,"LINESTRING (-77.2747 38.958,-77.2645 38.9514)",,,,,,,
100000016,VA-7_EASTBOUND,51.0,100000016,100000017,0000_0015,2015-04-01,"LINESTRING (-77.2645 38.9514,-77.2552 38.9428)",,,43,,,,
100000016,VA-7_EASTBOUND,51.0,100000016,100000017,0015_0030,2015-04-01,"LINESTRING (-77.2645 38.9514,-77.2552 38.9428)",,,43,,,,
100000016,VA-7_EASTBOUND,51.0,100000016,100000017,,,"LINESTRING (-77.2645 38.9514,-77.2552 38.9428)",,,,,,,
100000017,VA-7_EASTBOUND,52.0,100000017,100000018,0000_0015,2015-04-01,"LINESTRING (-77.2552 38.9428,-77.2477 38.9351)",,,40,,,,
100000017,VA-7_EASTBOUND,52.0,100000017,100000018,0015_0030,2015-04-01,"LINESTRING (-77.2552 38.9428,-77.2477 38.9351)",,,40,,,,
100000017,VA-7_EASTBOUND,52.0,100000017,100000018,,,"LINESTRING (-77.2552 38.9428,-77.2477 38.9351)",,,,,,,
100000018,VA-7_EASTBOUND,53.0,100000018,100000019,0000_0015,2015-04-01,"LINESTRING (-77.2477 38.9351,-77.2435 38.9307)",,,36,,,,
100000018,VA-7_EASTBOUND,53.0,100000018,100000019,0015_0030,2015-04-01,"LINESTRING (-77.2477 38.9351,-77.2435 38.9307)",,,36,,,,
100000018,VA-7_EASTBOUND,53.0,100000018,100000019,,,"LINESTRING (-77.2477 38.9351,-77.2435 38.9307)",,,,,,,
100000019,VA-7_EASTBOUND,54.0,100000019,100000020,0000_0015,2015-04-01,"LINESTRING (-77.2435 38.9307,-77.2369 38.9238)",,,31,,,,
100000019,VA-7_EASTBOUND,54.0,100000019,100000020,0015_0030,2015-04-01,"LINESTRING (-77.2435 38.9307,-77.2369 38.9238)",,,35,,,,
100000019,VA-7_EASTBOUND,54.0,100000019,100000020,,,"LINESTRING (-77.2435 38.9307,-77.2369 38.9238)",,,,,,,
100000020,VA-7_EASTBOUND,55.0,100000020,100000021,0000_0015,2015-04-01,"LINESTRING (-77.2369 38.9238,-77.2368 38.9237)",,,31,,,,
100000020,VA-7_EASTBOUND,55.0,100000020,100000021,0015_0030,2015-04-01,"LINESTRING (-77.2369 38.9238,-77.2368 38.9237)",,,36,,,,
100000020,VA-7_EASTBOUND,55.0,100000020,100000021,,,"LINESTRING (-77.2369 38.9238,-77.2368 38.9237)",,,,,,,
100000021,VA-7_EASTBOUND,56.0,100000021,100000022,0000_0015,2015-04-01,"LINESTRING (-77.2368 38.9237,-77.2326 38.9196)",,,31,,,,
100000021,VA-7_EASTBOUND,56.0,100000021,100000022,0015_0030,2015-04-01,"LINESTRING (-77.2368 38.9237,-77.2326 38.9196)",,,37,,,,
100000021,VA-7_EASTBOUND,56.0,100000021,100000022,,,"LINESTRING (-77.2368 38.9237,-77.2326 38.9196)",,,,,,,
100000022,VA-7_EASTBOUND,57.0,100000022,100000023,0000_0015,2015-04-01,"LINESTRING (-77.2326 38.9196,-77.2302 38.9178)",,,32,,,,
100000022,VA-7_EASTBOUND,57.0,100000022,100000023,0015_0030,2015-04-01,"LINESTRING (-77.2326 38.9196,-77.2302 38.9178)",,,38,,,,
100000022,VA-7_EASTBOUND,57.0,100000022,100000023,,,"LINESTRING (-77.2326 38.9196,-77.2302 38.9178)",,,,,,,
100000023,VA-7_EASTBOUND,58.0,100000023,100000024,0000_0015,2015-04-01,"LINESTRING (-77.2302 38.9178,-77.227 38.9158)",,,29,,,,
100000023,VA-7_EASTBOUND,58.0,100000023,100000024,0015_0030,2015-04-01,"LINESTRING (-77.2302 38.9178,-77.227 38.9158)",,,37,,,,
100000023,VA-7_EASTBOUND,58.0,100000023,100000024,,,"LINESTRING (-77.2302 38.9178,-77.227 38.9158)",,,,,,,
100000024,VA-7_EASTBOUND,59.0,100000024,100000025,0000_0015,2015-04-01,"LINESTRING (-77.227 38.9158,-77.2262 38.9152)",,,25,,,,
100000024,VA-7_EASTBOUND,59.0,100000024,100000025,0015_0030,2015-04-01,"LINESTRING (-77.227 38.9158,-77.2262 38.9152)",,,31,,,,
100000024,VA-7_EASTBOUND,59.0,100000024,100000025,,,"LINESTRING (-77.227 38.9158,-77.2262 38.9152)",,,,,,,
100000025,VA-7_EASTBOUND,60.0,100000025,100000026,0000_0015,2015-04-01,"LINESTRING (-77.2262 38.9152,-77.2204 38.9119)",,,31,,,,
100000025,VA-7_EASTBOUND,60.0,100000025,100000026,0015_0030,2015-04-01,"LINESTRING (-77.2262 38.9152,-77.2204 38.9119)",,,34,,,,
100000025,VA-7_EASTBOUND,60.0,100000025,100000026,,,"LINESTRING (-77.2262 38.9152,-77.2204 38.9119)",,,,,,,
100000026,VA-7_EASTBOUND,61.0,100000026,100000027,0000_0015,2015-04-01,"LINESTRING (-77.2204 38.9119,-77.2152 38.9089)",,,33,,,,
100000026,VA-7_EASTBOUND,61.0,100000026,100000027,0015_0030,2015-04-01,"LINESTRING (-77.2204 38.9119,-77.2152 38.9089)",,,37,,,,
100000026,VA-7_EASTBOUND,61.0,100000026,100000027,,,"LINESTRING (-77.2204 38.9119,-77.2152 38.9089)",,,,,,,
100000027,VA-7_EASTBOUND,62.0,100000027,100000028,0000_0015,2015-04-01,"LINESTRING (-77.2152 38.9089,-77.2149 38.9088)",,,31,,,,
100000027,VA-7_EASTBOUND,62.0,100000027,100000028,0015_0030,2015-04-01,"LINESTRING (-77.2152 38.9089,-77.2149 38.9088)",,,35,,,,
100000027,VA-7_EASTBOUND,62.0,100000027,100000028,,,"LINESTRING (-77.2152 38.9089,-77.2149 38.9088)",,,,,,,
100000028,VA-7_EASTBOUND,62.1,100000028,100000029,0000_0015,2015-04-01,"LINESTRING (-77.2149 38.9088,-77.2146 38.9086)",,,30,,,,
100000028,VA-7_EASTBOUND,62.1,100000028,100000029,0015_0030,2015-04-01,"LINESTRING (-77.2149 38.9088,-77.2146 38.9086)",,,35,,,,
100000028,VA-7_EASTBOUND,62.1,100000028,100000029,,,"LINESTRING (-77.2149 38.9088,-77.2146 38.9086)",,,,,,,
100000029,VA-7_EASTBOUND,63.0,100000029,100000030,0000_0015,2015-04-01,"LINESTRING (-77.2146 38.9086,-77.1997 38.9006)",,,30,,,,
100000029,VA-7_EASTBOUND,63.0,100000029,100000030,0015_0030,2015-04-01,"LINESTRING (-77.2146 38.9086,-77.1997 38.9006)",,,30,,,,
100000029,VA-7_EASTBOUND,63.0,100000029,100000030,,,"LINESTRING (-77.2146 38.9086,-77.1997 38.9006)",,,,,,,
100000030,VA-7_EASTBOUND,64.0,100000030,100000031,,,"LINESTRING (-77.1997 38.9006,-77.1996 38.9005)",,,,,,,
