utd_link_id,corridor_id,corridor_link_order,from_node_id,to_node_id,time_period,date,geometry,volume,travel_time,speed,reference_speed,density,queue,notes
100000001,Silk Street,1,100000001,100000002,2310_2325,2017-09-29,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",240.0,,40,,,,
100000001,Silk Street,1,100000001,100000002,2325_2340,2017-09-29,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",228.0,,36,,,,
100000001,Silk Street,1,100000001,100000002,2340_2355,2017-09-29,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",204.0,,45,,,,
100000001,Silk Street,1,100000001,100000002,2355_0010,2017-09-29,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",168.0,,48,,,,
100000001,Silk Street,1,100000001,100000002,0010_0025,2017-09-30,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",210.0,,43,,,,
100000001,Silk Street,1,100000001,100000002,,,"LINESTRING (-2.264742 53.48562800000001,-2.264694 53.486187)",,,,,,,
100000002,Silk Street,2,100000002,100000003,2310_2325,2017-09-29,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",240.0,,40,,,,
100000002,Silk Street,2,100000002,100000003,2325_2340,2017-09-29,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",228.0,,36,,,,
100000002,Silk Street,2,100000002,100000003,2340_2355,2017-09-29,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",204.0,,45,,,,
100000002,Silk Street,2,100000002,100000003,2355_0010,2017-09-29,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",168.0,,48,,,,
100000002,Silk Street,2,100000002,100000003,0010_0025,2017-09-30,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",210.0,,43,,,,
100000002,Silk Street,2,100000002,100000003,,,"LINESTRING (-2.264694 53.486187,-2.264653 53.48682)",,,,,,,
100000003,Silk Street,3,100000003,100000004,2310_2325,2017-09-29,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",240.0,,40,,,,
100000003,Silk Street,3,100000003,100000004,2325_2340,2017-09-29,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",228.0,,36,,,,
100000003,Silk Street,3,100000003,100000004,2340_2355,2017-09-29,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",204.0,,45,,,,
100000003,Silk Street,3,100000003,100000004,2355_0010,2017-09-29,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",168.0,,48,,,,
100000003,Silk Street,3,100000003,100000004,0010_0025,2017-09-30,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",210.0,,43,,,,
100000003,Silk Street,3,100000003,100000004,,,"LINESTRING (-2.264653 53.48682,-2.264374 53.48719000000001)",,,,,,,
100000004,Silk Street,4,100000004,100000005,2310_2325,2017-09-29,"LINESTRING (-2.264374 53.48719000000001,-2.26386 53.48749599999999)",240.0,,40,,,,
100000004,Silk Street,4,100000004,100000005,2325_2340,2017-09-29,"LINESTRING (-2.264374 53.48719000000001,-2.26386 53.48749599999999)",228.0,,36,,,,
100000004,Silk Street,4,100000004,100000005,2340_2355,2017-09-29,"LINESTRING (-2.264374 53.48719000000001,-2.26386 53.48749599999999)",204.0,,45,,,,
100000004,Silk Street,4,100000004,100000005,2355_0010,2017-09-29,"LINESTRING (-2.264374 53.48719000000001,-2.26386 53.48749599999999)",168.0,,48,,,,
