,name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,detid,utd_link_id,matched_from_node_id,matched_to_node_id
0,Cobourg Street,0,796758,110,109,1,84.37646350471941,1,30,,residential,6,"LINESTRING (-2.2331957 53.4759624, -2.2332846 53.4760858, -2.2336846 53.4766632)",auto,0,N06271L,100000402.0,100000507.0,100000508.0
1,South Pump Street,1,797061,1891,117,1,36.92888747612575,1,30,,residential,6,"LINESTRING (-2.2320231 53.4765284, -2.2318448 53.4762137)",auto,1,N06271L,100000402.0,100000507.0,100000508.0
2,South Pump Street,2,797061,117,1891,1,36.92888747612575,1,30,,residential,6,"LINESTRING (-2.2318448 53.4762137, -2.2320231 53.4765284)",auto,1,N06271L,100000402.0,100000507.0,100000508.0
3,Echo Street,3,797062,118,1899,1,3.911961405283681,1,29,,unclassified,11,"LINESTRING (-2.2316462 53.4757191, -2.2316626 53.4757529)",auto,0,N06211F,100000385.0,100000486.0,100000487.0
4,Granby Row,4,797065,98,1450,1,61.506079383603115,1,20,,residential,6,"LINESTRING (-2.2377205 53.4748575, -2.2370128 53.475028, -2.236859 53.475065)",auto,1,N06211F,100000381.0,100000482.0,100000483.0
5,Granby Row,5,797065,1450,98,1,61.506079383603115,1,20,,residential,6,"LINESTRING (-2.236859 53.475065, -2.2370128 53.475028, -2.2377205 53.4748575)",auto,1,N06211F,100000381.0,100000482.0,100000483.0
6,Granby Row,6,797065,1450,114,1,111.3781274880488,1,20,,residential,6,"LINESTRING (-2.236859 53.475065, -2.2362343 53.4752083, -2.2356801 53.4753355, -2.2352902 53.4754276)",auto,1,N06211F,100000383.0,100000484.0,100000485.0
7,Granby Row,7,797065,114,1450,1,111.3781274880488,1,20,,residential,6,"LINESTRING (-2.2352902 53.4754276, -2.2356801 53.4753355, -2.2362343 53.4752083, -2.236859 53.475065)",auto,1,N06211F,100000383.0,100000484.0,100000485.0
8,Temperance Street,8,797574,111,81,1,166.57032048809813,1,29,,residential,6,"LINESTRING (-2.2254442 53.4759425, -2.2233497 53.4751118)",auto,1,N06211G,100000363.0,100000463.0,100000464.0
9,Temperance Street,9,797574,81,111,1,166.57032048809813,1,29,,residential,6,"LINESTRING (-2.2233497 53.4751118, -2.2254442 53.4759425)",auto,1,N06211G,100000363.0,100000463.0,100000464.0
10,Temperance Street,10,797574,81,79,1,99.45435695904943,1,29,,residential,6,"LINESTRING (-2.2233497 53.4751118, -2.2220851 53.4746286)",auto,1,N06211G,100000364.0,100000464.0,100000465.0
11,Temperance Street,11,797574,79,81,1,99.45435695904943,1,29,,residential,6,"LINESTRING (-2.2220851 53.4746286, -2.2233497 53.4751118)",auto,1,N06211G,100000364.0,100000464.0,100000465.0
12,Temperance Street,12,797574,79,2020,1,84.22477517176547,1,29,,residential,6,"LINESTRING (-2.2220851 53.4746286, -2.2210047 53.4742283)",auto,1,N06211F,100000393.0,100000494.0,100000495.0
13,Temperance Street,13,797574,2020,79,1,84.22477517176547,1,29,,residential,6,"LINESTRING (-2.2210047 53.4742283, -2.2220851 53.4746286)",auto,1,N06211F,100000393.0,100000494.0,100000495.0
14,North Western Street,14,797575,121,82,1,12.694260550969169,1,29,,residential,6,"LINESTRING (-2.2228606 53.4757198, -2.2228532 53.4756387, -2.2228279 53.4756094)",auto,1,N06211G,100000364.0,100000464.0,100000465.0
15,North Western Street,15,797575,82,121,1,12.694260550969169,1,29,,residential,6,"LINESTRING (-2.2228279 53.4756094, -2.2228532 53.4756387, -2.2228606 53.4757198)",auto,1,N06211G,100000364.0,100000464.0,100000465.0
16,North Western Street,16,797575,82,83,1,97.23562275802976,1,29,,residential,6,"LINESTRING (-2.2228279 53.4756094, -2.2219774 53.4752692, -2.2216087 53.4751214)",auto,1,N06211G,100000364.0,100000464.0,100000465.0
17,North Western Street,17,797575,83,82,1,97.23562275802976,1,29,,residential,6,"LINESTRING (-2.2216087 53.4751214, -2.2219774 53.4752692, -2.2228279 53.4756094)",auto,1,N06211G,100000364.0,100000464.0,100000465.0
18,North Western Street,18,797575,83,84,1,43.22736044509866,1,29,,residential,6,"LINESTRING (-2.2216087 53.4751214, -2.2213362 53.4750136, -2.221203 53.4749515, -2.2210821 53.4748921)",auto,1,N06211G,100000365.0,100000465.0,100000466.0
19,North Western Street,19,797575,84,83,1,43.22736044509866,1,29,,residential,6,"LINESTRING (-2.2210821 53.4748921, -2.221203 53.4749515, -2.2213362 53.4750136, -2.2216087 53.4751214)",auto,1,N06211G,100000365.0,100000465.0,100000466.0
20,North Western Street,20,797575,84,2306,1,23.867501860954608,1,29,,residential,6,"LINESTRING (-2.2210821 53.4748921, -2.2208243 53.474742)",auto,1,N06211F,100000393.0,100000494.0,100000495.0
21,North Western Street,21,797575,2306,84,1,23.867501860954608,1,29,,residential,6,"LINESTRING (-2.2208243 53.474742, -2.2210821 53.4748921)",auto,1,N06211F,100000393.0,100000494.0,100000495.0
22,Rachel Street,22,797577,77,78,1,70.99445454855868,1,29,,residential,6,"LINESTRING (-2.2231281 53.4741108, -2.2220554 53.4741148)",auto,1,N06211F,100000390.0,100000491.0,100000492.0
23,Rachel Street,23,797577,78,77,1,70.99445454855868,1,29,,residential,6,"LINESTRING (-2.2220554 53.4741148, -2.2231281 53.4741108)",auto,1,N06211F,100000390.0,100000491.0,100000492.0
