name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,0,643132,traffic_signals,,1,,,,-2.2425781,53.4761993,,,
,1,643136,,,0,,,,-2.2405309,53.473947,,,
,2,643142,,,0,,,,-2.2401635,53.4775092,,,
,3,673994,,,0,,,,-2.2280734,53.4821788,,,
,4,674003,traffic_signals,,1,,,,-2.2544858,53.4792282,,,
,5,674004,,,0,,,,-2.2495485,53.4783077,,,
,6,3342936,,,0,,,,-2.2617179,53.4754398,,,
,7,3342951,,,0,,,,-2.2612426,53.4753475,,,
,8,3342971,,,0,,,,-2.2613486,53.4763636,,,
,9,3346142,,,0,,,,-2.2601107,53.4766403,,,
,10,3346146,,,0,,,,-2.2590931,53.477242,,,
,11,3346147,,,0,,,,-2.2580065,53.4770694,,,
,12,3346148,,,0,,,,-2.2568766,53.4768724,,,
,13,3346154,,,0,,,,-2.2589167,53.4755962,,,
,14,3346159,,,0,,,,-2.2593161,53.4759385,,,
,15,3346162,,,0,,,,-2.2544017,53.4764658,,,
,16,3346163,,,0,,,,-2.2541601,53.4764295,,,
,17,3346165,,,0,,,,-2.2544889,53.4760216,,,
,18,3346166,,,0,,,,-2.254834,53.4756266,,,
,19,3346170,,,0,,,,-2.2559373,53.4763026,,,
,20,3346171,,,0,,,,-2.2538881,53.4758109,,,
,21,3346172,,,0,,,,-2.2545748,53.4759386,,,
,22,3346173,,,0,,,,-2.2536152,53.4763338,,,
,23,3346176,,,0,,,,-2.2581873,53.4779905,,,
,24,3346180,,,0,,,,-2.2561785,53.4794456,,,
,25,3346181,,,0,,,,-2.2616406,53.4767678,,,
,26,3346183,,,0,,,,-2.2617138,53.4775952,,,
,27,3346193,,,0,,,,-2.2614971,53.4767838,,,
,28,3346195,,,0,,,,-2.2615583,53.4775796,,,
,29,3346214,,,0,,,,-2.2594207,53.4789962,,,
,30,3346232,,,0,,,,-2.257277,53.481342,,,
,31,3346233,,,0,,,,-2.2568155,53.4814782,,,
,32,3346236,,,0,,,,-2.2567766,53.4815745,,,
,33,3346247,,,0,,,,-2.2572973,53.4837807,,,
,34,3346252,,,0,,,,-2.2575211,53.4833713,,,
,35,3346273,,,0,,,,-2.2535484,53.4867498,,,
,37,3346298,,,0,,,,-2.2491361,53.4881752,,,
,38,3346302,,,0,,,,-2.2458381,53.4884315,,,
,39,3346317,,,0,,,,-2.2414068,53.4890924,,,
,40,3346321,,,0,,,,-2.2421408,53.4892737,,,
,41,3346325,,,0,,,,-2.2448735,53.4886057,,,
,42,3346328,,,0,,,,-2.2603116,53.4739188,,,
,43,3346329,,,0,,,,-2.2599319,53.4735279,,,
,44,3346336,,,0,,,,-2.2605577,53.4738432,,,
,45,3351339,,,0,,,,-2.2318657,53.4734079,,,
,46,3351356,,,0,,,,-2.2255369,53.473582,,,
,47,3351357,,,0,,,,-2.2263453,53.4736807,,,
,48,3351358,,,0,,,,-2.2263632,53.4735978,,,
,49,3351359,,,0,,,,-2.2254554,53.4734897,,,
,50,3351374,,,0,,,,-2.2207223,53.4741635,,,
,51,3351375,,,0,,,,-2.220854,53.4742155,,,
,52,3351378,,,0,,,,-2.2205343,53.4745051,,,
,53,3351379,,,0,,,,-2.220416,53.4744354,,,
,54,3351380,,,0,,,,-2.2198887,53.4751259,,,
,55,3351381,,,0,,,,-2.2195259,53.475445,,,
,56,3351382,,,0,,,,-2.2193325,53.4754278,,,
,57,3351753,,,0,,,,-2.2181234,53.4762285,,,
,58,3351754,,,0,,,,-2.2179417,53.476457,,,
,59,3351756,,,0,,,,-2.2178489,53.4769842,,,
,60,3351759,,,0,,,,-2.2180207,53.4761458,,,
,61,3351762,,,0,,,,-2.2181393,53.4773868,,,
,62,3351775,,,0,,,,-2.2178615,53.4770252,,,
,63,3351781,,,0,,,,-2.2186462,53.4780724,,,
,64,3353174,,,0,,,,-2.2298371,53.4740732,,,
,65,3353182,,,0,,,,-2.227875,53.4740142,,,
,66,3353193,,,0,,,,-2.2279253,53.4752126,,,
,67,3353196,,,0,,,,-2.2273541,53.4744334,,,
,68,3353200,,,0,,,,-2.2300446,53.475035,,,
,69,3353206,,,0,,,,-2.2294605,53.4733461,,,
,70,3353211,,,0,,,,-2.2296483,53.4733224,,,
,71,3353217,,,0,,,,-2.2268279,53.4731428,,,
,72,3353218,,,0,,,,-2.2271874,53.4735502,,,
,73,3353220,,,0,,,,-2.225697,53.473307,,,
,74,3353221,,,0,,,,-2.2245012,53.4730163,,,
,75,3353222,,,0,,,,-2.2243717,53.4732336,,,
,76,3353233,,,0,,,,-2.2231126,53.4734184,,,
,77,3353236,,,0,,,,-2.2231281,53.4741108,,,
,78,3353237,,,0,,,,-2.2220554,53.4741148,,,
,79,3353238,,,0,,,,-2.2220851,53.4746286,,,
,80,3353239,,,0,,,,-2.2232175,53.4746115,,,
,81,3353247,,,0,,,,-2.2233497,53.4751118,,,
,82,3353248,,,0,,,,-2.2228279,53.4756094,,,
,83,3353250,,,0,,,,-2.2216087,53.4751214,,,
,84,3353252,,,0,,,,-2.2210821,53.4748921,,,
,85,3353253,,,0,,,,-2.2205477,53.4755164,,,
,86,3353257,,,0,,,,-2.2201556,53.4754777,,,
,87,3356250,,,0,,,,-2.2447595,53.4868603,,,
,88,3356254,,,0,,,,-2.2430487,53.4873594,,,
,89,3356255,,,0,,,,-2.2415901,53.485743,,,
,90,3356262,,,0,,,,-2.2420408,53.4864523,,,
,91,3356277,traffic_signals,,1,,,,-2.244515,53.4798787,,,
,92,3356331,,,0,,,,-2.2339783,53.4731049,,,
,93,3356334,,,0,,,,-2.2348048,53.4745885,,,
,94,3356338,traffic_signals,,1,,,,-2.23724,53.4742114,,,
,95,3356352,,,0,,,,-2.2398088,53.4738681,,,
,96,3356358,,,0,,,,-2.2365061,53.4732425,,,
,97,3356359,,,0,,,,-2.23803,53.4756586,,,
,98,3356361,,,0,,,,-2.2377205,53.4748575,,,
,99,3356363,,,0,,,,-2.2399535,53.4733011,,,
,100,3365244,,,0,,,,-2.2389983,53.4764738,,,
,101,3365245,,,0,,,,-2.2395345,53.4769381,,,
,102,3374065,,,0,,,,-2.216623,53.474938,,,
,103,3389224,,,0,,,,-2.2492971,53.4861392,,,
,104,3389225,,,0,,,,-2.2526811,53.4865993,,,
,105,3389226,,,0,,,,-2.2491709,53.4865703,,,
,106,3450656,,,0,,,,-2.2446092,53.4817048,,,
,107,3450657,traffic_signals,,1,,,,-2.2448165,53.4810914,,,
,108,3450923,traffic_signals,,1,,,,-2.2344596,53.476671,,,
,109,3450925,,,0,,,,-2.2336846,53.4766632,,,
,110,3450926,,,0,,,,-2.2331957,53.4759624,,,
,111,3450932,,,0,,,,-2.2254442,53.4759425,,,
,112,3450933,,,0,,,,-2.2284672,53.475905,,,
,113,3450935,,,0,,,,-2.2295779,53.4756075,,,
,114,3560125,,,0,,,,-2.2352902,53.4754276,,,
,115,3560606,,,0,,,,-2.2215179,53.475601,,,
,116,3634977,,,0,,,,-2.2322584,53.4761259,,,
,117,3634978,,,0,,,,-2.2318448,53.4762137,,,
,118,3636168,,,0,,,,-2.2316462,53.4757191,,,
,119,3636531,,,0,,,,-2.2231635,53.4735003,,,
,120,3689581,,,0,,,,-2.2323956,53.4762981,,,
,121,3692923,,,0,,,,-2.2228606,53.4757198,,,
,122,3695858,,,0,,,,-2.2294023,53.4748939,,,
,123,3695860,,,0,,,,-2.2293381,53.4744335,,,
,124,3792802,,,0,,,,-2.2531712,53.4789117,,,
,125,3822177,,,0,,,,-2.2537574,53.4751591,,,
,126,3823244,,,0,,,,-2.2533057,53.4755413,,,
,127,3823246,,,0,,,,-2.2515195,53.4750184,,,
,128,3823247,,,0,,,,-2.2513924,53.475238,,,
,129,3823249,,,0,,,,-2.2498649,53.4749349,,,
,130,3823250,,,0,,,,-2.2523645,53.4774617,,,
,131,3823251,,,0,,,,-2.2517953,53.4786783,,,
,132,3823253,,,0,,,,-2.2519616,53.4783162,,,
,133,4037938,,,0,,,,-2.265003,53.4760103,,,
,134,4037939,,,0,,,,-2.2651066,53.4759027,,,
,135,4037944,,,0,,,,-2.2630623,53.4755881,,,
,136,4037946,,,0,,,,-2.263693,53.475805,,,
,137,4037948,,,0,,,,-2.2630182,53.4757002,,,
,138,4044320,,,0,,,,-2.2204889,53.4783216,,,
,139,4044322,,,0,,,,-2.2194937,53.4781841,,,
,140,4830020,,,0,,,,-2.2366075,53.4818476,,,
,141,4830021,,,0,,,,-2.2359492,53.4816635,,,
,142,4830023,,,0,,,,-2.2345988,53.4819716,,,
,143,4830024,,,0,,,,-2.2353106,53.4814775,,,
,144,4830025,,,0,,,,-2.2346428,53.4812902,,,
,145,4830026,,,0,,,,-2.2340642,53.481706,,,
,146,4830027,traffic_signals,,1,,,,-2.2335188,53.4814434,,,
,147,4830035,,,0,,,,-2.2343132,53.4828386,,,
,148,4830039,,,0,,,,-2.2321305,53.4837533,,,
,149,4830040,,,0,,,,-2.231602,53.4834788,,,
,150,4830041,,,0,,,,-2.2310439,53.4832159,,,
,151,4830043,,,0,,,,-2.230499,53.4829512,,,
,152,4830776,,,0,,,,-2.2311403,53.4838119,,,
,154,4830778,,,0,,,,-2.2321704,53.4843693,,,
,155,4830781,,,0,,,,-2.2292869,53.4828985,,,
,156,4830782,,,0,,,,-2.2299541,53.482652,,,
,157,4830789,,,0,,,,-2.2326613,53.4789993,,,
,158,4830791,,,0,,,,-2.2381746,53.478761,,,
,159,4830792,,,0,,,,-2.2376188,53.4791639,,,
