node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,parent_node_id,geometry
100000001,89398,-2.264742,53.48562800000001,,0,,,,POINT (-2.264742 53.48562800000001)
100000002,89399,-2.264694,53.486187,,0,,,,POINT (-2.264694 53.486187)
100000003,89400,-2.264653,53.48682,,0,,,,POINT (-2.264653 53.48682)
100000004,89401,-2.264374,53.48719000000001,,0,,,,POINT (-2.264374 53.48719000000001)
100000005,89402,-2.26386,53.48749599999999,,0,,,,POINT (-2.26386 53.48749599999999)
100000006,89403,-2.262872,53.487956,,0,,,,POINT (-2.262872 53.487956)
100000007,89404,-2.260317,53.489087,,0,,,,POINT (-2.260317 53.489087)
100000008,89405,-2.259142,53.48960600000001,,0,,,,POINT (-2.259142 53.48960600000001)
100000009,89406,-2.259101,53.48961800000001,,0,,,,POINT (-2.259101 53.48961800000001)
100000010,89407,-2.258739,53.48959,,1,,,,POINT (-2.258739 53.48959)
100000011,89408,-2.259055,53.48982700000001,,1,,,,POINT (-2.259055 53.48982700000001)
100000012,89409,-2.259402,53.490302,,1,,,,POINT (-2.259402 53.490302)
100000013,89410,-2.25952,53.49061999999999,,1,,,,POINT (-2.25952 53.49061999999999)
100000014,89411,-2.2595650000000003,53.490836,,1,,,,POINT (-2.2595650000000003 53.490836)
100000015,89412,-2.259553,53.490999,,1,,,,POINT (-2.259553 53.490999)
100000016,89413,-2.2595400000000003,53.491315,,1,,,,POINT (-2.2595400000000003 53.491315)
100000017,89414,-2.255877,53.488614,,2,,,,POINT (-2.255877 53.488614)
100000018,89415,-2.255944,53.48876,,2,,,,POINT (-2.255944 53.48876)
100000019,89416,-2.256221,53.488947,,2,,,,POINT (-2.256221 53.488947)
100000020,89417,-2.256212,53.48931,,2,,,,POINT (-2.256212 53.48931)
100000021,89418,-2.256164,53.489373,,2,,,,POINT (-2.256164 53.489373)
100000022,89419,-2.256186,53.489707,,2,,,,POINT (-2.256186 53.489707)
100000023,89420,-2.256333,53.489842,,2,,,,POINT (-2.256333 53.489842)
100000024,89421,-2.256532,53.489897,,2,,,,POINT (-2.256532 53.489897)
100000025,89422,-2.257865,53.48991899999999,,2,,,,POINT (-2.257865 53.48991899999999)
100000026,89423,-2.258251,53.489922,,2,,,,POINT (-2.258251 53.489922)
100000027,89424,-2.258384,53.489911,,2,,,,POINT (-2.258384 53.489911)
100000028,89425,-2.258546,53.489856,,2,,,,POINT (-2.258546 53.489856)
100000029,89426,-2.2587,53.489803,,2,,,,POINT (-2.2587 53.489803)
100000030,89427,-2.253664,53.486829,,3,,,,POINT (-2.253664 53.486829)
100000031,89428,-2.254386,53.487227,,3,,,,POINT (-2.254386 53.487227)
100000032,89429,-2.255174,53.487698,,3,,,,POINT (-2.255174 53.487698)
100000033,89430,-2.2561560000000003,53.488339,,3,,,,POINT (-2.2561560000000003 53.488339)
100000034,89431,-2.257531,53.488961,,3,,,,POINT (-2.257531 53.488961)
100000035,89432,-2.25812,53.489246,,3,,,,POINT (-2.25812 53.489246)
100000036,89433,-2.258739,53.48959,,3,,,,POINT (-2.258739 53.48959)
100000037,89434,-2.258999,53.48986800000001,,4,,,,POINT (-2.258999 53.48986800000001)
100000038,89435,-2.258436,53.489496,,4,,,,POINT (-2.258436 53.489496)
100000039,89436,-2.257706,53.489105,,4,,,,POINT (-2.257706 53.489105)
100000040,89437,-2.257074,53.488791000000006,,4,,,,POINT (-2.257074 53.488791000000006)
100000041,89438,-2.256006,53.488314,,4,,,,POINT (-2.256006 53.488314)
