agent_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,geometry
1,1368,1369,0,56.51,0000:00,0,0,0,"LINESTRING (-2.2630822 53.4842625, -2.2630836 53.4847707)"
1,1369,1498,0,168.37,0000:00,0,0,0,"LINESTRING (-2.2630836 53.4847707, -2.2633385 53.484748, -2.2647708 53.4847242)"
1,1498,250,0,299.87,0000:00,0,0,0,"LINESTRING (-2.2647708 53.4847242, -2.2647338 53.4859066)"
1,250,251,0,444.01,0000:00,0,0,0,"LINESTRING (-2.2647338 53.4859066, -2.2646622 53.4866887, -2.2646558 53.4867592, -2.2646215 53.4868613, -2.2645536 53.4869656, -2.264448 53.487079, -2.2643488 53.4871558)"
1,251,523,0,486.94,0000:00,3,0,0,"LINESTRING (-2.2643488 53.4871558, -2.2641002 53.4873177, -2.2639029 53.4874361)"
1,523,947,0,553.62,0000:00,4,0,0,"LINESTRING (-2.2639029 53.4874361, -2.2639913 53.4877647, -2.2640054 53.4878647, -2.2640239 53.4880309)"
1,947,1543,0,642.40,0000:00,4,0,0,"LINESTRING (-2.2640239 53.4880309, -2.2640142 53.4882784, -2.2639951 53.4884876, -2.2639786 53.4885902, -2.2639514 53.4887104, -2.2638943 53.4888223)"
1,1543,1545,0,686.61,0000:00,4,0,0,"LINESTRING (-2.2638943 53.4888223, -2.2637635 53.4888254, -2.263502 53.4888513, -2.2632381 53.4888911)"
1,1545,1547,0,737.32,0000:00,5,0,0,"LINESTRING (-2.2632381 53.4888911, -2.2625331 53.4890701)"
1,1547,620,0,755.87,0000:00,5,0,0,"LINESTRING (-2.2625331 53.4890701, -2.2625049 53.4890413, -2.2624629 53.4890191, -2.2624115 53.4890058, -2.2623557 53.4890027, -2.262301 53.4890101)"
1,620,619,0,830.56,0000:00,5,0,0,"LINESTRING (-2.262301 53.4890101, -2.2622152 53.4888899, -2.2619997 53.4886568, -2.2617266 53.4884348)"
1,619,1495,0,931.11,0000:00,5,0,0,"LINESTRING (-2.2617266 53.4884348, -2.2629491 53.4878976)"
1,1495,1983,0,1035.74,0000:00,5,0,0,"LINESTRING (-2.2629491 53.4878976, -2.2626369 53.4869752)"
1,1983,548,0,1147.80,0000:00,5,0,0,"LINESTRING (-2.2626369 53.4869752, -2.2617445 53.487261, -2.2612933 53.487564)"
1,548,1527,0,1268.65,0000:00,5,0,0,"LINESTRING (-2.2612933 53.487564, -2.2611737 53.4876445, -2.2601373 53.4883536, -2.2600936 53.4883835)"
1,1527,1739,0,1344.32,0000:00,6,0,0,"LINESTRING (-2.2600936 53.4883835, -2.2599972 53.4883253, -2.2593041 53.4878911)"
1,1739,1525,0,1423.34,0000:00,6,0,0,"LINESTRING (-2.2593041 53.4878911, -2.2584816 53.4873758)"
1,1525,1731,0,1449.89,0000:00,7,0,0,"LINESTRING (-2.2584816 53.4873758, -2.2581917 53.4875409)"
1,1731,1738,0,1496.64,0000:00,7,0,0,"LINESTRING (-2.2581917 53.4875409, -2.2578942 53.4877103, -2.2577079 53.4878462)"
1,1738,1457,0,1595.76,0000:00,7,0,0,"LINESTRING (-2.2577079 53.4878462, -2.2575401 53.4880551, -2.2574942 53.4881405, -2.2574744 53.4881775, -2.2573679 53.4883758, -2.2572982 53.4885929, -2.2572762 53.4886341, -2.2572367 53.4886882)"
