corridor_id,agent_id,date,utd,trace_id,hh,mm,ss,y_coord,x_coord
Silk Street,1,,89398,0,,None,,53.48562800000001,-2.264742
Silk Street,1,,89399,1,,None,,53.486187,-2.264694
Silk Street,1,,89400,2,,None,,53.48682,-2.264653
Silk Street,1,,89401,3,,None,,53.48719000000001,-2.264374
Silk Street,1,,89402,4,,None,,53.48749599999999,-2.26386
Silk Street,1,,89403,5,,None,,53.487956,-2.262872
Silk Street,1,,89404,6,,None,,53.489087,-2.260317
Silk Street,1,,89405,7,,None,,53.48960600000001,-2.259142
Silk Street,1,,89406,8,,None,,53.48961800000001,-2.259101
Broughton Bridge,2,,89407,0,,None,,53.48959,-2.258739
Broughton Bridge,2,,89408,1,,None,,53.48982700000001,-2.259055
Broughton Bridge,2,,89409,2,,None,,53.490302,-2.259402
Broughton Bridge,2,,89410,3,,None,,53.49061999999999,-2.25952
Broughton Bridge,2,,89411,4,,None,,53.490836,-2.2595650000000003
Broughton Bridge,2,,89412,5,,None,,53.490999,-2.259553
Broughton Bridge,2,,89413,6,,None,,53.491315,-2.2595400000000003
St Simon Street,3,,89414,0,,None,,53.488614,-2.255877
St Simon Street,3,,89415,1,,None,,53.48876,-2.255944
St Simon Street,3,,89416,2,,None,,53.488947,-2.256221
St Simon Street,3,,89417,3,,None,,53.48931,-2.256212
St Simon Street,3,,89418,4,,None,,53.489373,-2.256164
St Simon Street,3,,89419,5,,None,,53.489707,-2.256186
St Simon Street,3,,89420,6,,None,,53.489842,-2.256333
St Simon Street,3,,89421,7,,None,,53.489897,-2.256532
St Simon Street,3,,89422,8,,None,,53.48991899999999,-2.257865
St Simon Street,3,,89423,9,,None,,53.489922,-2.258251
St Simon Street,3,,89424,10,,None,,53.489911,-2.258384
St Simon Street,3,,89425,11,,None,,53.489856,-2.258546
St Simon Street,3,,89426,12,,None,,53.489803,-2.2587
Blackfriars Road,4,,89427,0,,None,,53.486829,-2.253664
Blackfriars Road,4,,89428,1,,None,,53.487227,-2.254386
Blackfriars Road,4,,89429,2,,None,,53.487698,-2.255174
Blackfriars Road,4,,89430,3,,None,,53.488339,-2.2561560000000003
Blackfriars Road,4,,89431,4,,None,,53.488961,-2.257531
Blackfriars Road,4,,89432,5,,None,,53.489246,-2.25812
Blackfriars Road,4,,89433,6,,None,,53.48959,-2.258739
Blackfriars Road,5,,89434,0,,None,,53.48986800000001,-2.258999
Blackfriars Road,5,,89435,1,,None,,53.489496,-2.258436
Blackfriars Road,5,,89436,2,,None,,53.489105,-2.257706
Blackfriars Road,5,,89437,3,,None,,53.488791000000006,-2.257074
Blackfriars Road,5,,89438,4,,None,,53.488314,-2.256006
Blackfriars Road,5,,89439,5,,None,,53.487797,-2.255248
Blackfriars Road,5,,89440,6,,None,,53.48686,-2.2535380000000003
Trinity Way,6,,89441,0,,None,,53.48686,-2.2535380000000003
Trinity Way,6,,89442,1,,None,,53.487007,-2.2533380000000003
Trinity Way,6,,89443,2,,None,,53.487372,-2.2526
Trinity Way,6,,89444,3,,None,,53.487712,-2.251857
Trinity Way,6,,89445,4,,None,,53.48791,-2.251307
Trinity Way,7,,89446,0,,None,,53.487846,-2.251208
Trinity Way,7,,89447,1,,None,,53.487819,-2.251292
Trinity Way,7,,89448,2,,None,,53.48734,-2.252377
Trinity Way,7,,89449,3,,None,,53.486872,-2.253273
Trinity Way,7,,89450,4,,None,,53.486802,-2.253434
Trinity Way,8,,89451,0,,None,,53.487864,-2.251232
Trinity Way,8,,89452,1,,None,,53.487275,-2.252605
Trinity Way,8,,89453,2,,None,,53.487187,-2.252798
Trinity Way,8,,89454,3,,None,,53.486802,-2.253575
Trinity Way,9,,89455,0,,None,,53.485393,-2.2557810000000003
Trinity Way,9,,89456,1,,None,,53.485577,-2.255578
Trinity Way,9,,89457,2,,None,,53.486012,-2.255067
Trinity Way,9,,89458,3,,None,,53.486288,-2.25463
Trinity Way,9,,89459,4,,None,,53.486829,-2.253664
Trinity Way,10,,89460,0,,None,,53.486319,-2.254571
Trinity Way,10,,89461,1,,None,,53.486408,-2.254314
Trinity Way,10,,89462,2,,None,,53.486439,-2.254263
Trinity Way,10,,89463,3,,None,,53.486802,-2.253575
Trinity Way,11,,89464,0,,None,,53.486802,-2.253434
Trinity Way,11,,89465,1,,None,,53.486637,-2.253718
Trinity Way,11,,89466,2,,None,,53.486398,-2.254173
Trinity Way,11,,89467,3,,None,,53.48601899999999,-2.254802
Trinity Way,11,,89468,4,,None,,53.48556899999999,-2.25533
Springfield Lane,12,,89469,0,,None,,53.48979300000001,-2.25124
Springfield Lane,12,,89470,1,,None,,53.489597,-2.251146
Springfield Lane,12,,89471,2,,None,,53.489172,-2.251114
Springfield Lane,12,,89472,3,,None,,53.488517,-2.251178
Springfield Lane,12,,89473,4,,None,,53.48824200000001,-2.25117
Springfield Lane,12,,89474,5,,None,,53.48810600000001,-2.2511
Trinity Way,13,,89475,0,,None,,53.488026,-2.250859
Trinity Way,13,,89476,1,,None,,53.488037,-2.250818
Trinity Way,13,,89477,2,,None,,53.488184,-2.250035
Trinity Way,13,,89478,3,,None,,53.488264,-2.2495
Trinity Way,13,,89479,4,,None,,53.48828100000001,-2.249089
Trinity Way,13,,89480,5,,None,,53.488302,-2.247739
Trinity Way,13,,89481,6,,None,,53.488354,-2.246801
Trinity Way,13,,89482,7,,None,,53.48846,-2.246194
