,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode
0,89398,-2.264742,53.48562800000001,1,1,0,0.1,manchester
1,89399,-2.264694,53.486187,2,1,0,0.1,manchester
2,89400,-2.264653,53.48682,3,1,0,0.1,manchester
3,89401,-2.264374,53.48719000000001,4,1,0,0.1,manchester
4,89402,-2.26386,53.48749599999999,5,1,0,0.1,manchester
5,89403,-2.262872,53.487956,6,1,0,0.1,manchester
6,89404,-2.260317,53.489087,7,1,0,0.1,manchester
7,89405,-2.259142,53.48960600000001,8,1,0,0.1,manchester
8,89406,-2.259101,53.48961800000001,9,1,0,0.1,manchester
9,89407,-2.258739,53.48959,1,1,1,1.1,manchester
10,89408,-2.259055,53.48982700000001,2,1,1,1.1,manchester
11,89409,-2.259402,53.490302,3,1,1,1.1,manchester
12,89410,-2.25952,53.49061999999999,4,1,1,1.1,manchester
13,89411,-2.2595650000000003,53.490836,5,1,1,1.1,manchester
14,89412,-2.259553,53.490999,6,1,1,1.1,manchester
15,89413,-2.2595400000000003,53.491315,7,1,1,1.1,manchester
16,89414,-2.255877,53.488614,1,1,2,2.1,manchester
17,89415,-2.255944,53.48876,2,1,2,2.1,manchester
18,89416,-2.256221,53.488947,3,1,2,2.1,manchester
19,89417,-2.256212,53.48931,4,1,2,2.1,manchester
20,89418,-2.256164,53.489373,5,1,2,2.1,manchester
21,89419,-2.256186,53.489707,6,1,2,2.1,manchester
22,89420,-2.256333,53.489842,7,1,2,2.1,manchester
23,89421,-2.256532,53.489897,8,1,2,2.1,manchester
24,89422,-2.257865,53.48991899999999,9,1,2,2.1,manchester
25,89423,-2.258251,53.489922,10,1,2,2.1,manchester
26,89424,-2.258384,53.489911,11,1,2,2.1,manchester
27,89425,-2.258546,53.489856,12,1,2,2.1,manchester
28,89426,-2.2587,53.489803,13,1,2,2.1,manchester
29,89427,-2.253664,53.486829,1,1,3,3.1,manchester
30,89428,-2.254386,53.487227,2,1,3,3.1,manchester
31,89429,-2.255174,53.487698,3,1,3,3.1,manchester
32,89430,-2.2561560000000003,53.488339,4,1,3,3.1,manchester
33,89431,-2.257531,53.488961,5,1,3,3.1,manchester
34,89432,-2.25812,53.489246,6,1,3,3.1,manchester
35,89433,-2.258739,53.48959,7,1,3,3.1,manchester
36,89434,-2.258999,53.48986800000001,1,1,4,4.1,manchester
37,89435,-2.258436,53.489496,2,1,4,4.1,manchester
38,89436,-2.257706,53.489105,3,1,4,4.1,manchester
39,89437,-2.257074,53.488791000000006,4,1,4,4.1,manchester
40,89438,-2.256006,53.488314,5,1,4,4.1,manchester
41,89439,-2.255248,53.487797,6,1,4,4.1,manchester
42,89440,-2.2535380000000003,53.48686,7,1,4,4.1,manchester
43,89441,-2.2535380000000003,53.48686,1,1,5,5.1,manchester
44,89442,-2.2533380000000003,53.487007,2,1,5,5.1,manchester
45,89443,-2.2526,53.487372,3,1,5,5.1,manchester
46,89444,-2.251857,53.487712,4,1,5,5.1,manchester
47,89445,-2.251307,53.48791,5,1,5,5.1,manchester
48,89446,-2.251208,53.487846,1,1,6,6.1,manchester
49,89447,-2.251292,53.487819,2,1,6,6.1,manchester
50,89448,-2.252377,53.48734,3,1,6,6.1,manchester
51,89449,-2.253273,53.486872,4,1,6,6.1,manchester
52,89450,-2.253434,53.486802,5,1,6,6.1,manchester
53,89451,-2.251232,53.487864,1,1,7,7.1,manchester
