,utd,utd_long,utd_lat,order,piece,linkid,group,utd_citycode,detectors,detid,detectors_length,pos,fclass,road,limit,detectors_citycode,lanes,detectors_long,detectors_lat
0,89398,-2.264742,53.48562800000001,1,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
1,89399,-2.264694,53.486187,2,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
2,89400,-2.264653,53.48682,3,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
3,89401,-2.264374,53.48719000000001,4,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
4,89402,-2.26386,53.48749599999999,5,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
5,89403,-2.262872,53.487956,6,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
6,89404,-2.260317,53.489087,7,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
7,89405,-2.259142,53.48960600000001,8,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
8,89406,-2.259101,53.48961800000001,9,1,0,0.1,manchester,15351.0,N31111S,0.6206433655558979,0.100083752452572,primary,Silk Street,48.0,manchester,1.0,-2.260317,53.489087
9,89407,-2.258739,53.48959,1,1,1,1.1,manchester,15354.0,N31122B,0.205177334684119,0.171477401556453,primary,Broughton Bridge,48.0,manchester,1.0,-2.259055,53.48982700000001
10,89408,-2.259055,53.48982700000001,2,1,1,1.1,manchester,15354.0,N31122B,0.205177334684119,0.171477401556453,primary,Broughton Bridge,48.0,manchester,1.0,-2.259055,53.48982700000001
11,89409,-2.259402,53.490302,3,1,1,1.1,manchester,15354.0,N31122B,0.205177334684119,0.171477401556453,primary,Broughton Bridge,48.0,manchester,1.0,-2.259055,53.48982700000001
12,89410,-2.25952,53.49061999999999,4,1,1,1.1,manchester,15354.0,N31122B,0.205177334684119,0.171477401556453,primary,Broughton Bridge,48.0,manchester,1.0,-2.259055,53.48982700000001
13,89411,-2.2595650000000003,53.490836,5,1,1,1.1,manchester,15354.0,N31122B,0.205177334684119,0.171477401556453,primary,Broughton Bridge,48.0,manchester,1.0,-2.259055,53.48982700000001
